0,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Luton and Dunstable Hospital,Luton and Dunstable Hospital,Luton and Dunstable Hospital,Luton and Dunstable Hospital,Luton and Dunstable Hospital,Luton and Dunstable Hospital,Luton and Dunstable Hospital,Luton and Dunstable Hospital,Luton and Dunstable Hospital,Luton and Dunstable Hospital,Luton and Dunstable Hospital,Luton and Dunstable Hospital,Luton and Dunstable Hospital,Luton and Dunstable Hospital
SSNAP level,A,B,B,C,D,C,C,C,B,B,B,B,C,C
SSNAP score,80.8,76.0,72.2,61.8,58.5,61.8,61.2,63.7,70.0,79.0,76.0,75.0,66.0,66.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,B,B,B,B,C,B,C,B,A,A,A,A,A,A
Combined Total Key Indicator level,A,B,B,C,C,C,C,C,B,B,B,B,C,C
Combined Total Key Indicator score,85.0,80.0,76.0,65.0,65.0,65.0,68.0,67.0,70.0,79.0,76.0,75.0,66.0,66.0
Number of records completed: Team-centred post-72h all teams cohort,180,166,190,189,178,131,188,209,204,189,207,209,210,229
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,D,E,E,E,E,E,E,D,C,D,D,D,E
Patient-centred Domain levels: 3) Thrombolysis,B,C,A,B,B,B,B,B,B,A,B,B,A,B
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,B,C,B,B,B,B,B,A,A,B,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,B,C,C,B,C,C,B,A,A,D,C
Patient-centred Domain levels: 6) Physiotherapy,A,A,B,C,B,C,B,C,C,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,B,C,C,D,D,C,D,C,C,C,D,D,E,D
Patient-centred Domain levels: 8) MDT working,C,C,D,E,E,D,D,D,D,C,C,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,B,B,B,B,B,B,B,C,B
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,B,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,A,B,B,C,C,C,B,C,B,B,B,B,C,C
Patient-centred KI level Patient-centred Total KI score,84.0,78.0,76.0,66.0,64.0,68.0,70.0,68.0,70.0,78.0,78.0,76.0,66.0,68.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,B,B,C,D,C,C,C,B,B,B,B,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,79.8,74.1,72.2,62.7,57.6,64.6,63.0,64.6,70.0,78.0,78.0,76.0,66.0,68.0
Team-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,D,E,E,E,E,E,E,D,C,D,D,D,E
Team-centred Domain levels: 3) Thrombolysis,B,C,B,B,B,B,B,B,B,A,B,B,A,B
Team-centred Domain levels: 4) Specialist Assessments,B,B,B,B,C,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,A,A,A,C,C,D,C,C,C,B,B,B,E,D
Team-centred Domain levels: 6) Physiotherapy,A,A,B,D,B,D,C,D,C,B,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,B,C,C,D,D,D,D,C,C,C,D,D,E,E
Team-centred Domain levels: 8) MDT working,B,B,C,D,D,D,D,D,D,B,C,C,D,D
Team-centred Domain levels: 9) Standards by discharge,B,A,B,B,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,B,A,A,A,A
Team-centred KI level Team-centred Total KI level,A,A,B,C,C,C,C,C,B,B,B,B,C,C
Team-centred KI level Team-centred Total KI score,86.0,82.0,76.0,64.0,66.0,62.0,66.0,66.0,70.0,80.0,74.0,74.0,66.0,64.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",A,B,B,C,D,D,D,C,B,B,B,B,C,C
Team-centred SSNAP level Team-centred SSNAP score,81.7,77.9,72.2,60.8,59.4,58.9,59.4,62.7,70.0,80.0,74.0,74.0,66.0,64.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),116,287,319,293,301,305,246,225,255,287,248,237,249,259
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),97%,99%,98%,98%,96%,93%,88%,87%,92%,92%,87%,83%,86%,87%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),19,31,22,17,22,58,62,55,66,114,116,121,92,74
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),16%,11%,7%,6%,7%,19%,25%,24%,26%,40%,47%,51%,37%,29%
