0,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit
SSNAP level,B,A,A,B,A,B,B,B,B,B,B,C,C,C,B,C,B,A,B,B,A
SSNAP score,70.7,90.7,80.5,74.1,83.5,77.4,77.8,78.9,72.4,76.5,74.9,68.5,68.1,68.1,70.3,69.4,73.7,88.3,80.0,78.8,80.8
Case ascertainment band,A,A,A,B,A,A,B,A,A,A,A,B,A,B,A,A,B,A,A,A,B
Audit compliance band,C,A,B,C,B,A,B,B,C,B,B,B,C,B,B,C,B,A,A,A,A
Combined Total Key Indicator level,B,A,A,A,A,B,A,A,A,A,B,B,B,B,B,B,A,A,B,B,A
Combined Total Key Indicator score,78.6,90.7,84.8,86.7,87.9,77.4,86.2,83.1,80.5,80.5,78.8,76.0,75.7,75.5,74.0,77.1,81.7,88.3,80.0,78.8,85.0
Number of records completed: Team-centred post-72h all teams cohort,31,30,36,37,36,35,35,41,45,41,46,36,40,51,46,39,46,45,44,41,46
Patient-centred Domain levels: 2) Stroke unit,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A
Patient-centred Domain levels: 5) Occupational therapy,B,A,B,B,A,B,A,A,A,A,A,C,B,C,C,B,A,A,B,B,B
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,B,B,B,B,B,B,B,C,C,C,B,C,B,A,A,A,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,B,A,A,B,A,B,A,B,C,C,B,B,B,B,C,C,B,B,B,A,A
Patient-centred Domain levels: 8) MDT working,D,A,D,C,D,E,C,C,E,E,E,E,E,D,D,D,D,E,C,D,D
Patient-centred Domain levels: 9) Standards by discharge,B,A,A,B,A,B,A,A,B,B,B,B,B,B,A,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,B,C,B,B,B,B,C,C,B,B,B,A,B,B,B,B,C,B,C,C,B
Patient-centred KI level Patient-centred Total KI level,B,A,A,B,A,B,A,A,B,B,B,C,B,B,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,77.1,91.4,82.9,80,85.7,71.4,85.7,82.9,74.3,74.3,74.3,68.6,71.4,74.3,71.4,74.3,80.0,80.0,80.0,74.3,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,A,B,C,A,B,B,B,C,B,B,C,C,C,C,C,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,69.4,91.4,78.7,68.4,81.4,71.4,77.4,78.7,66.9,70.6,70.6,61.9,64.3,67.0,67.9,66.9,72.2,80.0,80.0,74.3,76.0
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,B,A,B,A,B,B,A,A,A,A,A,B,B,C,C,C,B,A,B,B,B
Team-centred Domain levels: 6) Physiotherapy,B,B,C,A,B,B,B,B,C,B,B,C,C,C,C,B,B,A,B,B,A
Team-centred Domain levels: 7) Speech and Language therapy,C,A,A,B,A,B,B,B,B,C,C,C,B,B,C,C,A,A,B,A,A
Team-centred Domain levels: 9) Standards by discharge,B,A,A,A,A,B,A,B,A,A,B,A,B,B,A,A,B,A,B,B,B
Team-centred Domain levels: 10) Discharge processes,B,C,B,B,B,B,C,C,B,B,B,A,B,B,B,B,C,B,C,C,B
Team-centred KI level Team-centred Total KI level,B,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,B,A,A
