0,2014-07-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01
Team,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit
SSNAP level,D,D,C,D,D,D
SSNAP score,48,53,60.6,57.7,56.1,52.3
Case ascertainment band,B,A,A,A,B,B
Audit compliance band,E,E,E,E,E,D
Combined Total Key Indicator level,C,C,B,B,B,C
Combined Total Key Indicator score,63.1,66.2,75.7,72.1,73.8,64.8
Number of records completed: Team-centred post-72h all teams cohort,20,31,31,31,31,25
Patient-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,B,B,C
Patient-centred Domain levels: 6) Physiotherapy,D,C,C,B,B,C
Patient-centred Domain levels: 7) Speech and Language therapy,B,A,A,C,A,B
Patient-centred Domain levels: 8) MDT working,D,E,E,D,E,E
Patient-centred Domain levels: 9) Standards by discharge,C,B,B,B,C,C
Patient-centred Domain levels: 10) Discharge processes,C,D,B,B,B,C
Patient-centred KI level Patient-centred Total KI level,C,C,B,B,B,C
Patient-centred KI level Patient-centred Total KI score,62.9,65.7,71.4,74.3,74.3,62.9
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,47.8,52.6,57.1,59.4,56.5,50.8
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,B,B,B,C
Team-centred Domain levels: 6) Physiotherapy,E,D,D,B,C,C
Team-centred Domain levels: 7) Speech and Language therapy,A,A,A,E,B,B
Team-centred Domain levels: 9) Standards by discharge,D,C,B,C,D,D
Team-centred Domain levels: 10) Discharge processes,C,D,B,B,B,C
Team-centred KI level Team-centred Total KI level,C,C,B,B,B,C
Team-centred KI level Team-centred Total KI score,63.3,66.7,80,70,73.3,66.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,C,D,D,D
Team-centred SSNAP level Team-centred SSNAP score,48.1,53.3,64,56,55.7,53.8
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),5,47,58,67,75,84
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,1,1,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,0,0,0,0,1
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0,0,0,0,0.01
