0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01
Team,Princess Royal Hospital Haywards Heath,Princess Royal Hospital Haywards Heath,Princess Royal Hospital Haywards Heath,Princess Royal Hospital Haywards Heath,Princess Royal Hospital Haywards Heath,Princess Royal Hospital Haywards Heath,Princess Royal Hospital Haywards Heath,Princess Royal Hospital Haywards Heath,Princess Royal Hospital Haywards Heath,Princess Royal Hospital Haywards Heath,Royal Sussex County Hospital,Royal Sussex County Hospital,Royal Sussex County Hospital,Royal Sussex County Hospital,Royal Sussex County Hospital,Royal Sussex County Hospital,Royal Sussex County Hospital
SSNAP level,E,D,D,D,E,C,D,D,D,TFP,A,A,A,B,A,A,A
SSNAP score,35.7,45,53,50,37,61,50.3,53.2,47.5,.,92,83.6,82,79.8,85.5,88,84
Case ascertainment band,C,A,A,A,B,A,B,B,B,B,A,B,A,B,A,A,A
Audit compliance band,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A
Combined Total Key Indicator level,D,D,D,D,D,C,D,D,D,TFP,A,A,A,A,A,A,A
Combined Total Key Indicator score,42,45,53,50,41,61,53,56,50,.,92,88,82,84,90.0,88,84
Number of records completed: Team-centred post-72h all teams cohort,50,59,54,51,36,43,47,53,43,20,131,129,150,149,147,141,156
Patient-centred Domain levels: 1) Scanning,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,C,B,C,C,B,C,B,B,C,C,B,C,C,C,C,D
Patient-centred Domain levels: 3) Thrombolysis,D,B,C,B,D,B,D,C,E,A,B,D,D,D,C,C,C
Patient-centred Domain levels: 4) Specialist Assessments,E,D,D,D,D,B,D,D,D,C,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,Insufficient records,E,D,D,E,E,D,E,C,Too few to report,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,Insufficient records,D,D,C,D,C,B,C,D,Too few to report,A,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,Insufficient records,E,C,D,E,C,C,D,E,Too few to report,A,A,B,A,A,B,B
Patient-centred Domain levels: 8) MDT working,E,E,D,E,E,D,E,E,E,D,B,B,C,C,B,B,C
Patient-centred Domain levels: 9) Standards by discharge,Insufficient records,E,D,E,E,D,D,D,D,Too few to report,A,B,B,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,Insufficient records,D,E,C,C,C,C,B,C,Too few to report,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,D,C,D,D,D,TFP,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,44,44,52,52,40,62,54,54,48,.,92,88,82,86,90.0,88,84
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,D,E,C,D,D,D,TFP,A,A,A,A,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,37.4,44,52,52,36.1,62,51.3,51.3,45.6,.,92,83.6,82,81.7,85.5,88,84
Team-centred Domain levels: 1) Scanning,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,C,B,C,C,B,C,B,B,B,C,C,C,D,C,C,D
Team-centred Domain levels: 3) Thrombolysis,D,B,C,B,D,B,D,C,D,A,B,D,D,D,C,C,C
Team-centred Domain levels: 4) Specialist Assessments,E,D,D,D,D,C,D,D,D,C,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,E,E,E,E,E,E,E,E,C,E,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,D,C,C,D,D,C,B,B,D,C,A,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,C,E,C,C,D,D,C,A,A,B,B,A,B,B
Team-centred Domain levels: 8) MDT working,E,E,D,E,E,D,D,D,E,D,B,B,C,C,B,B,C
Team-centred Domain levels: 9) Standards by discharge,Insufficient records,E,D,E,E,D,E,D,D,Too few to report,A,A,B,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,Insufficient records,D,B,D,B,C,C,B,C,Too few to report,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,D,D,D,D,C,D,D,D,TFP,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,40,46,54,48,42,60,52,58,52,.,92,88,82,82,90.0,88,84
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,D,D,E,C,D,D,D,TFP,A,A,A,B,A,A,A
Team-centred SSNAP level Team-centred SSNAP score,34,46,54,48,37.9,60,49.4,55.1,49.4,.,92,83.6,82,77.9,85.5,88,84
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,81,75,86,87,105,115,101,88,73,260,235,203,206,231,231,224
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,1,1,1,1,0.97,0.97,0.98,97%,0.95,0.93
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,0,0,0,0,0,0,0,36,40,20,14,26,39,28
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0,0,0,0,0,0,0,0.14,0.17,0.1,0.07,11%,0.17,0.13
