0,2015-10-01,2016-01-01,2019-04-01,2019-07-01,2019-10-01,2022-04-01,2023-04-01,2023-10-01,2024-04-01,2024-07-01
Team,Charing Cross Neuro-rehabilitation Unit,Charing Cross Neuro-rehabilitation Unit,Edgware Community Hospital,Edgware Community Hospital,Holywell Rehabilitation Unit,Holywell Rehabilitation Unit,Holywell Rehabilitation Unit,Holywell Rehabilitation Unit,Holywell Rehabilitation Unit,Holywell Rehabilitation Unit
SSNAP level,TFP,TFP,B,A,A,B,D,C,TFP,C
SSNAP score,.,.,78.9,80.5,87.9,74.6,47.6,63.2,.,66.6
Audit compliance band,TFP,TFP,B,B,A,A,D,E,C,D
Combined Total Key Indicator level,TFP,TFP,A,A,A,B,B,A,TFP,A
Combined Total Key Indicator score,.,.,83.1,84.8,87.9,78.6,80.0,83.1,.,92.1
Number of records completed: Team-centred post-72h all teams cohort,Too few to report,Too few to report,21,20,27,21,22,23,22,22
Patient-centred Domain levels: 1) Scanning,Too few to report,Too few to report,,,,,,,,
Patient-centred Domain levels: 2) Stroke unit,Too few to report,Too few to report,A,B,A,A,A,B,Too few to report,B
Patient-centred Domain levels: 3) Thrombolysis,Too few to report,Too few to report,,,,,,,,
Patient-centred Domain levels: 4) Specialist Assessments,Too few to report,Too few to report,,,,,,,,
Patient-centred Domain levels: 5) Occupational therapy,Too few to report,Too few to report,A,A,A,A,A,B,Too few to report,A
Patient-centred Domain levels: 6) Physiotherapy,Too few to report,Too few to report,A,A,A,A,A,B,Too few to report,A
Patient-centred Domain levels: 7) Speech and Language therapy,Too few to report,Too few to report,A,A,A,C,C,B,Too few to report,A
Patient-centred Domain levels: 8) MDT working,Too few to report,Too few to report,D,D,D,E,D,C,Too few to report,B
Patient-centred Domain levels: 9) Standards by discharge,Too few to report,Too few to report,A,B,B,A,B,A,Too few to report,A
Patient-centred Domain levels: 10) Discharge processes,Too few to report,Too few to report,D,B,B,C,B,A,Too few to report,A
Patient-centred KI level Patient-centred Total KI level,TFP,TFP,A,A,A,B,B,A,TFP,A
Patient-centred KI level Patient-centred Total KI score,.,.,82.9,82.9,85.7,77.1,80.0,82.9,.,94.3
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",TFP,TFP,B,B,A,B,D,C,TFP,C
Patient-centred SSNAP level Patient-centred SSNAP score,.,.,78.7,78.7,85.7,73.3,47.6,63.0,.,68.1
Team-centred Domain levels: 2) Stroke unit,Too few to report,Too few to report,A,A,A,A,A,B,A,A
Team-centred Domain levels: 5) Occupational therapy,Too few to report,Too few to report,A,A,A,A,A,B,A,B
Team-centred Domain levels: 6) Physiotherapy,Too few to report,Too few to report,A,A,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,Too few to report,Too few to report,C,C,B,D,E,D,C,C
Team-centred Domain levels: 9) Standards by discharge,Too few to report,Too few to report,A,B,B,B,B,A,Too few to report,A
Team-centred Domain levels: 10) Discharge processes,Too few to report,Too few to report,D,B,B,C,B,A,Too few to report,A
Team-centred KI level Team-centred Total KI level,TFP,TFP,A,A,A,B,B,A,TFP,A
Team-centred KI level Team-centred Total KI score,.,.,83.3,86.7,90,80.0,80.0,83.3,.,90.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",TFP,TFP,B,A,A,B,D,C,TFP,C
Team-centred SSNAP level Team-centred SSNAP score,.,.,79.2,82.3,90,76.0,47.6,63.3,.,65.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.,.,30,38,52,61,43,55,55,46
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.,.,97%,0.97,0.98,100%,100%,100%,100%,96%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.,.,2,4,2,0,0,1,1,5
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.,.,7%,0.11,0.04,0%,0%,2%,2%,11%
Case ascertainment band,,,A,A,A,B,D,B,D,C
