0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01
Team,Manchester Royal Infirmary,Manchester Royal Infirmary,Manchester Royal Infirmary,Manchester Royal Infirmary,Manchester Royal Infirmary,Manchester Royal Infirmary,Manchester Royal Infirmary,Manchester Royal Infirmary,Manchester Royal Infirmary,Manchester Royal Infirmary
SSNAP level,D,E,D,E,D,D,B,C,C,C
SSNAP score,43.7,38.9,41.4,37.9,51.9,54.2,77.3,62.1,61.2,62.3
Case ascertainment band,A,A,A,B,A,A,A,B,A,B
Audit compliance band,B,B,C,B,B,B,B,C,D,B
Combined Total Key Indicator level,D,D,D,D,D,D,A,B,B,C
Combined Total Key Indicator score,46,41,46,42,54.7,57,81.3,72.7,72,69
Number of records completed: Team-centred post-72h all teams cohort,68,73,79,66,73,59,40,57,47,40
Patient-centred Domain levels: 1) Scanning,D,E,D,E,D,D,C,C,B,C
Patient-centred Domain levels: 2) Stroke unit,D,E,E,E,E,E,C,D,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,E,C,E,C,E,C,D,D,C
Patient-centred Domain levels: 4) Specialist Assessments,D,E,E,E,D,E,C,C,B,C
Patient-centred Domain levels: 5) Occupational therapy,C,D,C,C,A,A,A,B,A,A
Patient-centred Domain levels: 6) Physiotherapy,D,D,D,D,D,B,B,A,B,C
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,D,B,C,B,B,C
Patient-centred Domain levels: 8) MDT working,C,B,C,C,D,D,A,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,A,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,C,B,B,B,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,D,D,B,B,B,C
Patient-centred KI level Patient-centred Total KI score,50,42,48,42,56,58,76,72,74,68
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,E,D,E,D,D,B,C,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,47.5,39.9,43.2,37.9,53.2,55.1,72.2,61.6,62.9,61.4
Team-centred Domain levels: 1) Scanning,E,E,E,E,E,E,,,,
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,B,D,E,E
Team-centred Domain levels: 3) Thrombolysis,E,E,E,E,.,E,,,,
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,E,,,,
Team-centred Domain levels: 5) Occupational therapy,C,D,C,D,A,A,A,B,B,A
Team-centred Domain levels: 6) Physiotherapy,D,E,E,D,D,B,B,B,B,C
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,D,B,C,C,C,C
Team-centred Domain levels: 8) MDT working,B,B,B,B,C,D,,,,
Team-centred Domain levels: 9) Standards by discharge,B,B,A,B,B,B,A,B,B,B
Team-centred Domain levels: 10) Discharge processes,C,B,B,B,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,D,D,D,D,D,A,B,B,B
Team-centred KI level Team-centred Total KI score,42,40,44,42,53.3,56,86.7,73.3,70,70
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,E,E,D,D,A,C,D,C
Team-centred SSNAP level Team-centred SSNAP score,39.9,38,39.6,37.9,50.7,53.2,82.3,62.7,59.5,63.2
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,108,99,110,121,120,107,95,68,53
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.86,0.78,0.89,0.96,0.9,0.87,0.9,0.86,0.79
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,20,21,28,28,23,26,28,20,16
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.19,0.21,0.25,0.23,0.19,0.24,0.29,0.29,0.3
