0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01
Team,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital
SSNAP level,D,D,E,E,D,D,D,D,D,E,C,B,B,B
SSNAP score,42.5,42.5,37.4,39,43.6,45.1,52.2,55.8,47,39.3,66,80,80,75
Case ascertainment band,A,A,A,C,B,B,A,A,B,B,A,A,A,A
Audit compliance band,D,D,D,D,C,B,C,C,C,C,A,A,A,A
Combined Total Key Indicator level,D,D,D,D,D,D,D,C,D,D,C,B,B,B
Combined Total Key Indicator score,50,50,44,54,51,50,58,62,55,46,66,80,80,75
Number of records completed: Team-centred post-72h all teams cohort,144,136,136,111,125,135,135,150,125,133,217,209,211,172
Patient-centred Domain levels: 1) Scanning,C,C,C,B,C,D,C,C,C,B,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,C,C,C,B,C,C,C,B,B,C
Patient-centred Domain levels: 3) Thrombolysis,E,D,E,D,C,C,D,D,C,D,C,C,C,C
Patient-centred Domain levels: 4) Specialist Assessments,C,B,B,B,B,B,B,B,C,B,B,B,A,A
Patient-centred Domain levels: 5) Occupational therapy,E,E,E,D,D,E,C,B,C,D,C,A,B,C
Patient-centred Domain levels: 6) Physiotherapy,D,E,E,C,D,C,B,B,C,D,D,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E,E,C,C,E
Patient-centred Domain levels: 8) MDT working,D,D,D,D,D,D,D,D,D,D,B,B,B,A
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,C,D,D,D,D,D,E,C,C,C,B
Patient-centred Domain levels: 10) Discharge processes,A,B,D,C,B,B,A,A,B,D,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,D,D,D,C,D,D,C,B,B,B
Patient-centred KI level Patient-centred Total KI score,50,50,44,54,52,50,58,62,54,46,66,80,80,76
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,E,E,D,D,D,D,D,E,C,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,42.5,42.5,37.4,39,44.5,45.1,52.2,55.8,46.2,39.3,66,80,80,76
Team-centred Domain levels: 1) Scanning,C,C,C,C,C,D,C,C,C,B,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,C,C,C,C,C,C,B,C,C,C,B,B,C
Team-centred Domain levels: 3) Thrombolysis,E,D,E,D,C,C,D,D,C,D,C,C,C,C
Team-centred Domain levels: 4) Specialist Assessments,C,B,B,B,B,B,B,B,C,B,B,B,A,A
Team-centred Domain levels: 5) Occupational therapy,E,E,E,D,E,E,C,B,C,D,C,A,B,C
Team-centred Domain levels: 6) Physiotherapy,D,E,E,C,D,C,B,B,C,D,D,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E,E,C,C,E
Team-centred Domain levels: 8) MDT working,D,D,D,C,D,D,D,D,D,D,B,B,B,B
Team-centred Domain levels: 9) Standards by discharge,B,B,B,C,D,D,D,D,C,E,C,C,C,B
Team-centred Domain levels: 10) Discharge processes,A,B,D,C,B,B,A,A,B,D,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,D,D,D,D,D,D,C,D,D,C,B,B,B
Team-centred KI level Team-centred Total KI score,50,50,44,54,50,50,58,62,56,46,66,80,80,74
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,E,E,D,D,D,D,D,E,C,B,B,B
Team-centred SSNAP level Team-centred SSNAP score,42.5,42.5,37.4,39,42.8,45.1,52.2,55.8,47.9,39.3,66,80,80,74
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,218,203,179,193,172,154,174,210,204,286,280,324,352
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.94,0.98,0.98,0.95,0.9,0.92,0.94,0.96,1,0.99,0.99,0.99,0.99
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,90,89,62,78,81,68,37,12,11,14,9,8,15
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.41,0.44,0.35,0.4,0.47,0.44,0.21,0.06,0.05,0.05,0.03,0.02,0.04
