0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01
Team,Colchester General Hospital,Colchester General Hospital,Colchester General Hospital,Colchester General Hospital,Colchester General Hospital,Colchester General Hospital,Colchester General Hospital,Colchester General Hospital,Colchester General Hospital,Colchester General Hospital,Colchester General Hospital
SSNAP level,B,B,B,B,B,C,B,B,B,B,A
SSNAP score,73.8,75,74.7,77.9,78,68,72,79,79,72,86
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,B,C,B,A,A,A,A,A,A,A
Combined Total Key Indicator level,A,B,A,A,B,C,B,B,B,B,A
Combined Total Key Indicator score,82,79,83,82,78,68,72,79,79,72,86
Number of records completed: Team-centred post-72h all teams cohort,115,141,145,158,147,161,159,136,145,153,155
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,B,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,C,E,D,C,C,D,C
Patient-centred Domain levels: 3) Thrombolysis,B,B,B,B,B,C,B,B,B,C,B
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,C,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,B,B,A,A,B,A
Patient-centred Domain levels: 7) Speech and Language therapy,D,D,D,C,C,C,C,D,C,D,C
Patient-centred Domain levels: 8) MDT working,B,C,B,C,C,D,C,C,C,C,A
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,C,C,C,B,C,C,B
Patient-centred Domain levels: 10) Discharge processes,A,B,A,B,B,A,B,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,A,B,A,B,B,C,B,B,B,B,A
Patient-centred KI level Patient-centred Total KI score,82,78,82,80,78,66,74,78,80,72,86
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,B,B,B,B,C,B,B,B,B,A
Patient-centred SSNAP level Patient-centred SSNAP score,73.8,74.1,73.8,76,78,66,74,78,80,72,86
Team-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,B,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,C,C,C,C,E,D,C,C,D,C
Team-centred Domain levels: 3) Thrombolysis,B,B,B,B,B,C,C,B,B,C,B
Team-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,C,B,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,B,B,A,B,B,A
Team-centred Domain levels: 7) Speech and Language therapy,D,C,C,B,C,B,C,C,C,D,C
Team-centred Domain levels: 8) MDT working,B,C,B,B,C,C,C,C,C,C,A
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,C,C,C,B,C,C,B
Team-centred Domain levels: 10) Discharge processes,A,B,A,B,B,A,B,A,A,A,A
Team-centred KI level Team-centred Total KI level,A,B,A,A,B,B,B,B,B,B,A
Team-centred KI level Team-centred Total KI score,82,80,84,84,78,70,70,80,78,72,86
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,B,B,B,B,B,B,B,B,A
Team-centred SSNAP level Team-centred SSNAP score,73.8,76,75.6,79.8,78,70,70,80,78,72,86
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,191,199,180,152,151,147,126,151,154,143
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.95,0.93,0.94,0.87,0.79,0.73,0.7,0.77,0.82,0.67
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,20,15,21,65,63,69,61,72,108,127
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.1,0.08,0.12,0.43,0.42,0.47,0.48,0.48,0.7,0.89
