0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01
Team,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital
SSNAP level,E,D,D,D,D,D,D,D,D,D,C,C,B,C
SSNAP score,20.6,46.8,41.2,41.8,40,56,56.9,56,57.9,56,67,67.5,73,66
Case ascertainment band,D,A,C,A,A,A,B,A,A,A,A,A,A,A
Audit compliance band,B,C,B,B,A,B,B,B,B,B,A,B,A,A
Combined Total Key Indicator level,E,D,D,D,D,D,C,D,C,D,C,B,B,C
Combined Total Key Indicator score,31,52,51,44,40,59,63,59,61,59,67,71,73,66
Number of records completed: Team-centred post-72h all teams cohort,29,45,31,53,60,52,104,118,151,155,133,166,152,144
Patient-centred Domain levels: 1) Scanning,C,B,B,B,C,A,A,B,B,B,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,E,C,D,E,E,C,D,E,D,E,D,D,D,E
Patient-centred Domain levels: 3) Thrombolysis,D,C,D,D,D,D,D,E,E,E,D,D,C,C
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,D,D,E,D,E,D,D,C,D
Patient-centred Domain levels: 5) Occupational therapy,Insufficient records,C,A,A,C,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,Insufficient records,C,B,C,D,D,D,B,B,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,Insufficient records,E,E,E,E,E,E,E,D,D,C,B,D,D
Patient-centred Domain levels: 8) MDT working,E,D,D,E,E,D,C,D,D,D,C,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,Insufficient records,A,B,B,B,B,B,A,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,Insufficient records,D,D,E,D,D,B,A,B,B,C,B,B,C
Patient-centred KI level Patient-centred Total KI level,E,D,D,D,D,D,C,D,C,D,C,B,B,C
Patient-centred KI level Patient-centred Total KI score,32,54,54,46,40,56,60,58,60,56,66,72,72,66
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,D,D,D,D,D,D,D,C,C,B,C
Patient-centred SSNAP level Patient-centred SSNAP score,21.3,48.6,43.6,43.7,40,53.2,54.2,55.1,57,53.2,66,68.4,72,66
Team-centred Domain levels: 1) Scanning,C,B,B,B,C,A,A,B,B,B,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,E,C,D,E,E,C,D,E,D,E,C,D,D,E
Team-centred Domain levels: 3) Thrombolysis,D,C,D,D,D,D,D,E,E,E,D,D,C,C
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,D,D,E,D,E,D,D,C,D
Team-centred Domain levels: 5) Occupational therapy,E,D,D,B,C,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,D,D,B,D,D,D,C,B,B,B,B,B,A,A
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,D,D,D,C,C,C,D,D
Team-centred Domain levels: 8) MDT working,E,D,D,E,E,C,C,D,C,C,B,B,B,B
Team-centred Domain levels: 9) Standards by discharge,Insufficient records,A,B,B,B,A,B,A,B,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,Insufficient records,D,D,E,D,C,A,A,B,A,D,B,B,D
Team-centred KI level Team-centred Total KI level,E,D,D,D,D,C,C,C,C,C,C,B,B,C
Team-centred KI level Team-centred Total KI score,30,50,48,42,40,62,66,60,62,62,68,70,74,66
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,E,E,D,D,D,D,D,D,C,C,B,C
Team-centred SSNAP level Team-centred SSNAP score,19.9,45,38.8,39.9,40,58.9,59.6,57,58.9,58.9,68,66.5,74,66
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,11,35,68,66,63,93,95,89,126,191,151,151,172
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,1,1,1,0.9,0.89,0.89,0.91
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,27,45,44,62,69,69,102,176,143,146,165
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0.4,0.68,0.7,0.67,0.73,0.78,0.81,0.92,0.95,0.97,0.96
