0,2018-04-01
Team,Royal Derby Hospital
SSNAP level,D
SSNAP score,53.2
Case ascertainment band,A
Audit compliance band,B
Combined Total Key Indicator level,D
Combined Total Key Indicator score,56
Number of records completed: Team-centred post-72h all teams cohort,236
Patient-centred Domain levels: 1) Scanning,C
Patient-centred Domain levels: 2) Stroke unit,D
Patient-centred Domain levels: 3) Thrombolysis,C
Patient-centred Domain levels: 4) Specialist Assessments,C
Patient-centred Domain levels: 5) Occupational therapy,C
Patient-centred Domain levels: 6) Physiotherapy,C
Patient-centred Domain levels: 7) Speech and Language therapy,D
Patient-centred Domain levels: 8) MDT working,D
Patient-centred Domain levels: 9) Standards by discharge,D
Patient-centred Domain levels: 10) Discharge processes,B
Patient-centred KI level Patient-centred Total KI level,D
Patient-centred KI level Patient-centred Total KI score,54
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D
Patient-centred SSNAP level Patient-centred SSNAP score,51.3
Team-centred Domain levels: 1) Scanning,C
Team-centred Domain levels: 2) Stroke unit,D
Team-centred Domain levels: 3) Thrombolysis,C
Team-centred Domain levels: 4) Specialist Assessments,C
Team-centred Domain levels: 5) Occupational therapy,C
Team-centred Domain levels: 6) Physiotherapy,C
Team-centred Domain levels: 7) Speech and Language therapy,D
Team-centred Domain levels: 8) MDT working,B
Team-centred Domain levels: 9) Standards by discharge,D
Team-centred Domain levels: 10) Discharge processes,B
Team-centred KI level Team-centred Total KI level,D
Team-centred KI level Team-centred Total KI score,58
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D
Team-centred SSNAP level Team-centred SSNAP score,55.1
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),375
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0
