0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01
Team,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary
SSNAP level,D,D,D,D,D,D,C,B,B,A,B
SSNAP score,45.9,52.3,46.8,58.5,56.7,59.8,66.5,78,78,81,80
Case ascertainment band,A,A,B,A,A,A,A,A,A,A,A
Audit compliance band,C,B,D,C,C,B,B,A,A,A,A
Combined Total Key Indicator level,D,D,D,C,C,C,B,B,B,A,B
Combined Total Key Indicator score,51,55,58,65,63,63,70,78,78,81,80
Number of records completed: Team-centred post-72h all teams cohort,160,140,123,145,158,163,173,150,145,153,158
Patient-centred Domain levels: 1) Scanning,C,C,D,C,C,D,C,B,B,B,A
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,D,C,C,C,C
Patient-centred Domain levels: 3) Thrombolysis,D,D,D,D,E,E,D,C,C,D,C
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,D,D,D,C,C,D,B,B
Patient-centred Domain levels: 5) Occupational therapy,C,C,B,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,C,C,B,B,B,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,B,A,A,B,A,A,A,A,B
Patient-centred Domain levels: 8) MDT working,C,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,A,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,D,C,D,D,D,D,D,D,C,B,C
Patient-centred KI level Patient-centred Total KI level,D,D,D,C,C,C,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,50,54,56,64,62,62,70,76,76,80,80
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D,C,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,45,51.3,45.2,57.6,55.8,58.9,66.5,76,76,80,80
Team-centred Domain levels: 1) Scanning,C,C,D,C,C,D,C,B,B,B,A
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,D,C,C,C,C
Team-centred Domain levels: 3) Thrombolysis,D,D,D,D,E,E,D,C,C,D,C
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,D,D,D,C,C,C,B,B
Team-centred Domain levels: 5) Occupational therapy,C,C,B,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,B,B,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,C,C,A,A,A,A,A,A,A,A,B
Team-centred Domain levels: 8) MDT working,C,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,A,B,A,A,A,B
Team-centred Domain levels: 10) Discharge processes,D,C,D,D,D,D,D,C,C,B,C
Team-centred KI level Team-centred Total KI level,D,D,C,C,C,C,B,B,B,A,B
Team-centred KI level Team-centred Total KI score,52,56,60,66,64,64,70,80,80,82,80
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,D,D,C,C,B,B,A,B
Team-centred SSNAP level Team-centred SSNAP score,46.8,53.2,48.4,59.4,57.6,60.8,66.5,80,80,82,80
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,221,213,206,218,207,197,176,136,140,303
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.98,0.98,0.86,0.87,0.87,0.83,0.67,0.51,0.56,0.99
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,22,5,1,3,12,20,29,19,8,3
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.1,0.02,0,0.01,0.06,0.1,0.16,0.14,0.06,0.01
