0,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary,Doncaster Royal Infirmary
SSNAP level,B,A,B,B,B,A,B,A,B,C,B,B,B,B,C,B,B,B,B,C
SSNAP score,80,82,78,80.0,79,83,76.0,81.0,78.0,68.6,80.0,75.0,78.0,77.0,67.5,72.0,79.0,75.0,72.0,69.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A
Audit compliance band,A,A,A,A,A,A,A,A,A,B,A,B,A,A,C,A,A,A,A,A
Combined Total Key Indicator level,B,A,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,C
Combined Total Key Indicator score,80,82,78,80.0,79,83,76.0,81.0,78.0,76.0,80.0,79.0,78.0,77.0,79.0,72.0,79.0,75.0,72.0,69.0
Number of records completed: Team-centred post-72h all teams cohort,173,185,195,183,167,204,195,165,185,157,169,163,191,166,138,176,183,183,175,188
Patient-centred Domain levels: 1) Scanning,B,A,A,B,B,B,C,A,B,A,A,A,A,B,A,B,A,B,B,B
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,D,C,E,E,E,E,E,E,E,E,D,E,E,E,D,E
Patient-centred Domain levels: 3) Thrombolysis,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C
