0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01
Team,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital,Russells Hall Hospital
SSNAP level,D,D,C,B,C,B,C,B,C,C
SSNAP score,59.4,51.3,69.5,72.2,66.6,70.2,68.4,71.1,69.3,60.8
Case ascertainment band,A,A,B,B,A,A,A,A,A,A
Audit compliance band,C,B,B,B,C,C,C,C,B,B
Combined Total Key Indicator level,C,D,B,B,B,B,B,B,B,C
Combined Total Key Indicator score,66,54,77,80,74,78,76,79,73,64
Number of records completed: Team-centred post-72h all teams cohort,127,115,99,97,144,179,135,126,143,129
Patient-centred Domain levels: 1) Scanning,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 2) Stroke unit,B,B,B,B,C,C,B,B,C,E
Patient-centred Domain levels: 3) Thrombolysis,A,B,A,B,B,B,A,B,C,C
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,C,E,A,A,A,A,B,B,B,B
Patient-centred Domain levels: 6) Physiotherapy,D,E,A,A,A,B,B,B,A,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,C,B,D,B,C,B,E,C
Patient-centred Domain levels: 8) MDT working,B,B,B,A,B,B,B,A,B,B
Patient-centred Domain levels: 9) Standards by discharge,D,E,E,E,D,C,D,C,B,D
Patient-centred Domain levels: 10) Discharge processes,B,C,B,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI level,C,D,B,B,B,B,B,B,B,C
Patient-centred KI level Patient-centred Total KI score,66,54,78,80,74,78,76,80,72,66
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,B,B,C,B,C,B,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,59.4,51.3,70.4,72.2,66.6,70.2,68.4,72,68.4,62.7
Team-centred Domain levels: 1) Scanning,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 2) Stroke unit,B,B,B,B,C,C,B,B,C,E
Team-centred Domain levels: 3) Thrombolysis,A,B,B,B,B,B,A,B,C,C
Team-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,C,E,A,A,A,A,B,B,B,C
Team-centred Domain levels: 6) Physiotherapy,D,E,A,A,A,B,C,B,A,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,C,C,D,B,C,B,D,C
Team-centred Domain levels: 8) MDT working,B,B,B,A,B,B,A,B,B,C
Team-centred Domain levels: 9) Standards by discharge,D,E,E,D,D,C,D,C,B,D
Team-centred Domain levels: 10) Discharge processes,B,C,B,B,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI level,C,D,B,B,B,B,B,B,B,C
Team-centred KI level Team-centred Total KI score,66,54,76,80,74,78,76,78,74,62
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,C,B,C,B,C,B,B,D
Team-centred SSNAP level Team-centred SSNAP score,59.4,51.3,68.6,72.2,66.6,70.2,68.4,70.2,70.3,58.9
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,165,203,186,185,236,224,216,227,206
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,0.97,0.93,0.91,0.9,0.9,0.88,0.88,0.92
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,24,52,33,67,72,67,77,74
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0.12,0.28,0.18,0.28,0.32,0.31,0.34,0.36
