0,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital
SSNAP level,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,A,B,B,A
SSNAP score,76,70.3,81.7,74.1,83,90,94,90,89,88.0,86,85,86.0,88.0,88.0,83.6,73.1,73.1,79.8,77.9,85.0,84.0,83.6,78.8,79.8,87.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Audit compliance band,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,A,A,B,B,B,A
Combined Total Key Indicator level,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A
Combined Total Key Indicator score,80,74,86,78,83,90,94,90,89,88.0,86,85,86.0,88.0,88.0,88.0,81.0,77.0,84.0,82.0,85.0,84.0,88.0,83.0,84.0,87.0
Number of records completed: Team-centred post-72h all teams cohort,121,115,124,118,106,183,189,178,184,177,207,226,171,187,168,168,121,134,180,179,204,230,200,193,210,204
Patient-centred Domain levels: 1) Scanning,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,C,C,C,C,C,C,D,D,C,C,C,C,E,E,E,E,D,D,D,E,D,D
Patient-centred Domain levels: 3) Thrombolysis,A,B,B,B,B,B,B,C,C,C,C,C,C,B,A,B,B,C,B,C,B,B,B,B,A,A
Patient-centred Domain levels: 4) Specialist Assessments,A,A,A,B,B,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A
