0,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit
SSNAP level,B,D,B,B,B,C,D,D,C,C,D,B,A,C
SSNAP score,73.1,50.9,76.4,74.2,72.6,67.6,58.3,58.7,68.5,64.3,58.1,74.4,84.5,67.7
Case ascertainment band,B,C,A,A,A,A,C,A,A,A,A,A,A,A
Audit compliance band,A,D,A,B,B,D,C,D,B,A,C,B,A,C
Combined Total Key Indicator level,B,B,B,B,B,B,B,C,B,C,C,B,A,B
Combined Total Key Indicator score,76.9,70.5,76.4,78.1,76.4,79.5,76.2,69.0,72.1,64.3,64.5,78.3,84.5,75.2
Number of records completed: Team-centred post-72h all teams cohort,48,42,49,54,47,51,47,60,56,54,61,59,57,47
Patient-centred Domain levels: 2) Stroke unit,B,B,A,A,A,A,A,B,A,A,A,A,B,A
Patient-centred Domain levels: 5) Occupational therapy,A,B,B,B,B,B,B,C,C,C,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,C,C,C,C,D,C,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,B,C,C,C,C,C,C,C,C,C,C,C,B,D
Patient-centred Domain levels: 8) MDT working,C,D,C,B,B,A,A,B,C,C,D,B,A,C
Patient-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,A,A,B,B,E,E,B,A,A
Patient-centred Domain levels: 10) Discharge processes,D,B,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,B,A,A,A,A,A,B,B,C,C,B,A,B
Patient-centred KI level Patient-centred Total KI score,77.1,74.3,82.9,82.9,82.9,85.7,85.7,71.4,74.3,68.6,65.7,80.0,85.7,77.1
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,D,A,B,B,B,C,C,B,C,D,B,A,C
Patient-centred SSNAP level Patient-centred SSNAP score,73.3,53.7,82.9,78.7,78.7,72.9,65.6,60.7,70.6,68.6,59.1,76.0,85.7,69.4
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,C,C,C,C,C,C,C,C,C,C,C,C,C
Team-centred Domain levels: 6) Physiotherapy,B,C,D,D,D,C,D,D,D,C,C,C,C,C
Team-centred Domain levels: 7) Speech and Language therapy,D,E,E,D,E,E,E,E,D,E,D,C,B,E
Team-centred Domain levels: 9) Standards by discharge,A,B,A,A,A,A,B,B,B,E,E,B,A,A
Team-centred Domain levels: 10) Discharge processes,D,B,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,C,B,B,B,B,C,C,B,C,C,B,A,B
Team-centred KI level Team-centred Total KI score,76.7,66.7,70.0,73.3,70.0,73.3,66.7,66.7,70.0,60.0,63.3,76.7,83.3,73.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,D,B,C,C,C,D,D,C,C,D,B,A,C
Team-centred SSNAP level Team-centred SSNAP score,72.8,48.2,70.0,69.7,66.5,62.3,51.0,56.7,66.5,60.0,57.0,72.8,83.3,66.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),99,88,84,87,92,112,102,103,115,114,110,101,113,115
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),98%,85%,82%,93%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),1,20,18,17,14,24,19,14,19,17,19,10,18,27
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),1%,23%,21%,20%,15%,21%,19%,14%,17%,15%,17%,10%,16%,23%
