0,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2024-01-01,2024-04-01,2024-07-01
Team,Danesbury Neurological Centre,Danesbury Neurological Centre,Danesbury Neurological Centre,Holywell Rehabilitation Unit,Danesbury Neurological Centre,Danesbury Neurological Centre,Holywell Rehabilitation Unit,Danesbury Neurological Centre,Danesbury Neurological Centre,Danesbury Neurological Centre,Danesbury Neurological Centre,Danesbury Neurological Centre,Danesbury Neurological Centre,Danesbury Neurological Centre,Danesbury Neurological Centre,Danesbury Neurological Centre,Danesbury Neurological Centre,Danesbury Neurological Centre,Danesbury Neurological Centre
SSNAP level,C,D,B,A,A,B,A,B,TFP,A,A,C,C,TFP,C,C,C,B,C
SSNAP score,61,58.9,71.7,81.9,83.3,77.6,84.8,75.5,.,85.0,88.1,61.3,65.6,.,67.6,65.8,66.6,70.6,69.4
Case ascertainment band,B,A,A,A,A,A,A,A,,A,A,B,A,C,B,A,A,A,A
Audit compliance band,E,D,B,B,A,B,A,A,A,B,A,D,D,E,C,D,D,D,D
Combined Total Key Indicator level,A,C,B,A,A,A,A,B,TFP,A,A,B,B,TFP,B,B,B,A,A
Combined Total Key Indicator score,80.2,69.3,75.5,86.2,83.3,81.7,84.8,75.5,.,89.5,88.1,76.0,77.1,.,79.0,77.4,78.3,83.1,81.7
Number of records completed: Team-centred post-72h all teams cohort,23,30,23,22,24,20,20,26,24,36,28,23,23,21,25,32,28,34,27
Patient-centred Domain levels: 2) Stroke unit,B,B,A,A,A,A,A,A,Too few to report,A,A,B,A,Too few to report,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,B,A,A,A,C,A,C,Too few to report,A,B,C,C,Too few to report,B,C,C,C,B
Patient-centred Domain levels: 6) Physiotherapy,A,B,B,A,A,B,A,A,Too few to report,A,B,B,B,Too few to report,B,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,B,A,B,B,A,A,A,A,Too few to report,A,A,C,B,Too few to report,C,C,C,B,B
Patient-centred Domain levels: 8) MDT working,D,E,E,B,E,C,D,D,Too few to report,E,E,E,E,Too few to report,E,E,C,C,E
Patient-centred Domain levels: 9) Standards by discharge,B,D,B,B,B,B,B,D,Too few to report,B,A,B,B,Too few to report,C,C,B,B,B
Patient-centred Domain levels: 10) Discharge processes,C,B,C,C,C,B,C,B,Too few to report,A,A,A,A,Too few to report,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,C,B,A,B,B,A,B,TFP,A,A,C,B,TFP,B,B,B,A,B
Patient-centred KI level Patient-centred Total KI score,77.1,68.6,74.3,85.7,80,80,82.9,74.3,.,85.7,82.9,68.6,74.3,.,71.4,71.4,80.0,82.9,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,B,A,B,B,A,B,TFP,A,A,D,C,TFP,C,C,C,B,C
Patient-centred SSNAP level Patient-centred SSNAP score,58.6,58.3,70.6,81.4,80,76,82.9,74.3,.,81.4,82.9,55.4,63.1,.,61.1,60.7,68.0,70.4,68.0
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,C,A,A,A,C,A,C,B,A,A,B,C,C,B,B,C,C,C
Team-centred Domain levels: 6) Physiotherapy,A,B,A,A,A,B,A,A,A,A,A,B,B,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,B,C,E,C,A,A,B,C,C,B,C,C,C,D,C,C,E,C,C
Team-centred Domain levels: 9) Standards by discharge,C,D,B,A,C,B,B,C,Too few to report,B,A,B,B,Too few to report,B,C,B,B,B
Team-centred Domain levels: 10) Discharge processes,C,B,C,C,C,B,C,B,Too few to report,A,A,A,A,Too few to report,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,A,B,B,A,A,A,A,B,TFP,A,A,A,B,TFP,A,A,B,A,A
Team-centred KI level Team-centred Total KI score,83.3,70,76.7,86.7,86.7,83.3,86.7,76.7,.,93.3,93.3,83.3,80.0,.,86.7,83.3,76.7,83.3,83.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,D,B,A,A,B,A,B,TFP,A,A,C,C,TFP,B,B,C,B,B
Team-centred SSNAP level Team-centred SSNAP score,63.3,59.5,72.8,82.3,86.7,79.2,86.7,76.7,.,88.7,93.3,67.3,68.0,.,74.1,70.8,65.2,70.8,70.8
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),30,31,23,43,35,31,38,37,31,47,46,59,54,56,45,36,38,42,53
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.97,0.97,0.74,0.9,0.88,0.97,97%,0.86,0.89,92%,98%,91%,92%,97%,98%,100%,78%,91%,90%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),7,2,10,10,10,9,3,13,9,15,7,7,4,6,15,7,12,8,6
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.23,0.06,0.43,0.23,0.29,0.29,8%,0.35,0.29,32%,15%,12%,7%,11%,33%,19%,32%,19%,11%
