0,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital
SSNAP level,C,C,A,C,B,A,B,C,B,C
SSNAP score,63.8,69.3,80.4,64.1,76.0,83.9,70.3,68.7,77.9,68.0
Case ascertainment band,C,A,A,C,A,A,B,A,A,A
Audit compliance band,B,A,B,B,B,B,D,C,B,D
Combined Total Key Indicator level,B,C,A,B,B,A,A,B,A,B
Combined Total Key Indicator score,79.0,69.3,84.7,79.3,80.0,88.3,87.0,76.3,82.0,80.0
Number of records completed: Team-centred post-72h all teams cohort,27,33,30,30,42,32,31,30,38,36
Patient-centred Domain levels: 1) Scanning,A,B,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,D,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,B,E,C,B,B,C,D,D,D,E
Patient-centred Domain levels: 4) Specialist Assessments,A,B,B,B,C,B,C,D,B,B
Patient-centred Domain levels: 5) Occupational therapy,B,B,A,B,B,A,A,C,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,C,B,B,B,A,A,B,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,B,B,A,B,B,A,A,A,B,B
Patient-centred Domain levels: 8) MDT working,D,E,E,E,E,D,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,A,B,A,B,B,A,A,A,A,B
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,B,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,C,B,B,B,B,B,C,B,B
Patient-centred KI level Patient-centred Total KI score,78.0,62.0,76.0,72.0,70.0,80.0,74.0,66.0,74.0,70.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,B,D,C,B,D,D,B,D
Patient-centred SSNAP level Patient-centred SSNAP score,63.0,62.0,72.2,58.1,66.5,76.0,59.8,59.4,70.3,59.5
Team-centred Domain levels: 2) Stroke unit,A,A,A,B,A,A,A,B,A,A
Team-centred Domain levels: 5) Occupational therapy,B,C,A,A,A,A,A,C,B,B
Team-centred Domain levels: 6) Physiotherapy,D,D,B,B,B,A,A,B,B,A
Team-centred Domain levels: 7) Speech and Language therapy,C,B,B,B,B,A,A,A,B,B
Team-centred Domain levels: 9) Standards by discharge,A,B,A,B,B,A,A,A,A,B
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,B,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,B,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,80.0,76.7,93.3,86.7,90.0,96.7,100.0,86.7,90.0,90.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,B,A,B,A,A,A,B,A,B
Team-centred SSNAP level Team-centred SSNAP score,64.6,76.7,88.7,70.0,85.5,91.8,80.8,78.0,85.5,76.5
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),54,45,47,53,58,75,80,82,73,63
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),100%,100%,100%,88%,92%,96%,98%,99%,96%,97%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),23,22,15,19,33,38,44,31,17,28
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),43%,49%,32%,36%,57%,51%,55%,38%,23%,44%
