0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01
Team,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital,Homerton University Hospital
SSNAP level,C,C,C,TFP,C,TFP,C,B,C,D,B,D,C,A,A,B,D,A,B,A,TFP
SSNAP score,64.1,64,66.4,.,67.5,.,68.6,76.2,62.7,52.1,79,54.3,65.1,86.7,84.2,79.5,59.7,85.5,79.7,86.3,.
Case ascertainment band,B,A,A,A,A,E,A,A,A,C,A,D,A,A,B,B,A,A,B,A,A
Audit compliance band,E,E,E,E,E,X,D,D,E,E,D,D,C,A,A,A,A,B,B,A,C
Combined Total Key Indicator level,A,B,A,TFP,A,TFP,A,A,B,B,A,A,B,A,A,A,D,A,A,A,TFP
Combined Total Key Indicator score,84.3,80,83,.,84.3,.,80.7,89.7,78.3,76.7,93,91.3,72.3,86.7,88.7,83.7,59.7,90.0,88.3,86.3,.
Number of records completed: Team-centred post-72h all teams cohort,24,28,27,25,27,Insufficient records,32,28,35,27,37,27,57,27,33,38,55,32,30,27,21
Patient-centred Domain levels: 1) Scanning,B,A,B,Too few to report,A,Too few to report,B,B,B,A,A,A,A,A,A,A,A,A,A,B,Too few to report
Patient-centred Domain levels: 2) Stroke unit,C,D,C,A,B,Too few to report,C,C,C,E,D,C,D,C,D,D,E,D,C,C,A
Patient-centred Domain levels: 3) Thrombolysis,B,A,B,Too few to report,B,Too few to report,B,A,C,B,A,A,E,D,A,A,A,D,E,D,Too few to report
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,Too few to report,B,Too few to report,B,B,D,D,B,B,C,B,B,B,C,B,B,C,Too few to report
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,Insufficient records,A,A,A,A,A,A,B,A,A,A,C,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,B,A,A,Insufficient records,A,A,A,A,A,A,A,A,A,B,C,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,A,A,A,A,A,Insufficient records,A,B,A,A,A,A,A,A,A,A,C,A,A,A,B
Patient-centred Domain levels: 8) MDT working,C,B,C,E,C,Too few to report,C,B,D,D,D,C,D,C,D,D,D,D,C,D,E
Patient-centred Domain levels: 9) Standards by discharge,B,C,C,B,D,Insufficient records,B,B,D,E,A,B,C,B,A,A,B,A,A,B,D
Patient-centred Domain levels: 10) Discharge processes,B,D,C,C,B,Insufficient records,D,A,B,A,A,B,B,B,B,A,B,A,B,A,B
Patient-centred KI level Patient-centred Total KI level,A,B,B,TFP,A,TFP,B,A,B,B,A,A,C,B,A,A,C,B,B,B,TFP
Patient-centred KI level Patient-centred Total KI score,82,80,76,.,82,.,78,86,70,70,86,86,68,80,84.0,84,66,80.0,80.0,76.0,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,C,TFP,C,TFP,C,B,D,D,B,D,C,B,B,B,C,B,B,B,TFP
Patient-centred SSNAP level Patient-centred SSNAP score,62.3,64,60.8,.,65.6,.,66.3,73.1,56,47.6,73.1,51.2,61.2,80,79.8,79.8,66,76.0,72.2,76.0,.
