0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01
Team,Hull Royal Infirmary,Hull Royal Infirmary,Hull Royal Infirmary,Hull Royal Infirmary,Hull Royal Infirmary,Hull Royal Infirmary,Hull Royal Infirmary,Hull Royal Infirmary,Hull Royal Infirmary,Hull Royal Infirmary,Hull Royal Infirmary,Hull Royal Infirmary,Hull Royal Infirmary
SSNAP level,E,D,D,C,D,D,D,D,C,D,C,B,B
SSNAP score,36.1,41.4,54,60.8,46.2,55.1,54.2,57.8,68.4,59.8,64.1,73.1,78.8
Case ascertainment band,A,A,A,A,B,B,A,B,A,A,B,A,A
Audit compliance band,B,C,C,B,C,B,B,B,B,B,C,B,B
Combined Total Key Indicator level,E,D,C,C,D,C,D,C,B,C,B,B,A
Combined Total Key Indicator score,38,46,60,64,54,61,57,64,72,63,75,77,83
Number of records completed: Team-centred post-72h all teams cohort,220,212,204,210,192,200,195,200,225,198,206,176,203
Patient-centred Domain levels: 1) Scanning,D,C,B,C,C,C,C,B,A,B,B,A,A
Patient-centred Domain levels: 2) Stroke unit,D,C,C,C,C,C,C,B,C,C,C,C,B
Patient-centred Domain levels: 3) Thrombolysis,D,D,B,D,D,C,D,C,C,C,C,B,B
Patient-centred Domain levels: 4) Specialist Assessments,D,C,B,B,C,B,B,B,B,C,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,E,E,D,C,C,C,D,C,A,B,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,C,B,B,A,C,B,B,B,B,D,B,B,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,D,C,C,C,C,E,D,E,C,D,C
Patient-centred Domain levels: 8) MDT working,E,E,E,D,E,E,E,E,D,C,C,C,C
Patient-centred Domain levels: 9) Standards by discharge,D,D,D,C,D,D,D,C,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,C,C,B,B,C,B,A,A,C,B,B,B,B
Patient-centred KI level Patient-centred Total KI level,E,D,C,C,D,C,D,C,B,C,B,B,A
Patient-centred KI level Patient-centred Total KI score,38,46,60,64,52,60,58,64,70,62,74,76,82
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,C,D,D,D,D,C,D,C,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,36.1,41.4,54,60.8,44.5,54.2,55.1,57.8,66.5,58.9,63.3,72.2,77.9
Team-centred Domain levels: 1) Scanning,D,C,B,C,C,C,C,B,A,B,B,A,A
Team-centred Domain levels: 2) Stroke unit,D,C,C,C,C,C,D,B,C,C,C,C,B
Team-centred Domain levels: 3) Thrombolysis,D,D,B,D,D,C,D,C,C,C,B,B,B
Team-centred Domain levels: 4) Specialist Assessments,D,C,B,B,C,B,C,B,B,C,B,B,B
Team-centred Domain levels: 5) Occupational therapy,E,E,D,C,C,D,D,D,A,B,A,A,A
Team-centred Domain levels: 6) Physiotherapy,C,B,B,A,B,B,B,B,B,C,B,A,A
Team-centred Domain levels: 7) Speech and Language therapy,E,E,D,C,C,B,C,E,C,E,C,D,C
Team-centred Domain levels: 8) MDT working,E,E,E,D,D,D,D,D,D,C,C,C,C
Team-centred Domain levels: 9) Standards by discharge,D,D,D,C,D,D,D,C,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,C,C,B,B,C,B,A,A,B,B,B,B,A
Team-centred KI level Team-centred Total KI level,E,D,C,C,D,C,D,C,B,C,B,B,A
Team-centred KI level Team-centred Total KI score,38,46,60,64,56,62,56,64,74,64,76,78,84
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,D,C,D,D,D,D,B,C,C,B,B
Team-centred SSNAP level Team-centred SSNAP score,36.1,41.4,54,60.8,47.9,56,53.2,57.8,70.3,60.8,65,74.1,79.8
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,168,267,334,335,343,347,332,260,228,315,306,298
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,0.99,0.96,0.95,0.93,0.94,0.95,0.96
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,0,0,0,10,84,94,98,87,81,87
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0,0,0,0.03,0.25,0.36,0.43,0.28,0.26,0.29
