0,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01
Team,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU
SSNAP level,A,A,A,A,A,A,A
SSNAP score,88,89,88,91,91,92,89
Case ascertainment band,A,A,A,A,A,A,A
Audit compliance band,A,A,A,A,A,A,A
Combined Total Key Indicator level,A,A,A,A,A,A,A
Combined Total Key Indicator score,88,89,88,91,91,92,89
Number of records completed: Team-centred post-72h all teams cohort,281,305,289,282,316,316,361
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,B,B,B,B,B,B,C
Patient-centred Domain levels: 3) Thrombolysis,A,A,A,A,A,A,A
Patient-centred Domain levels: 4) Specialist Assessments,A,B,B,A,A,A,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,B,B,B,B,A,A,B
Patient-centred Domain levels: 8) MDT working,A,A,A,A,A,A,A
Patient-centred Domain levels: 9) Standards by discharge,B,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,D,C,C,C,C,C,B
Patient-centred KI level Patient-centred Total KI level,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,88,90,90,92,94,94,90
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",A,A,A,A,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,88,90,90,92,94,94,90
Team-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,B,B,B,B,B,B,C
Team-centred Domain levels: 3) Thrombolysis,A,A,A,A,A,A,A
Team-centred Domain levels: 4) Specialist Assessments,A,B,B,A,A,A,B
Team-centred Domain levels: 5) Occupational therapy,A,A,B,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,A,A,A,A,B,A,A
Team-centred Domain levels: 7) Speech and Language therapy,A,A,A,B,A,A,C
Team-centred Domain levels: 8) MDT working,B,B,B,B,B,B,B
Team-centred Domain levels: 9) Standards by discharge,B,B,B,A,B,B,A
Team-centred Domain levels: 10) Discharge processes,D,C,C,C,C,C,A
Team-centred KI level Team-centred Total KI level,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,88,88,86,90,88,90,88
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",A,A,A,A,A,A,A
Team-centred SSNAP level Team-centred SSNAP score,88,88,86,90,88,90,88
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),409,377,394,387,396,377,510
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.95,0.87,0.87,0.9,0.93,0.93,0.97
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),106,90,116,144,157,192,107
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.26,0.24,0.29,0.37,0.4,0.51,0.21
