0,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Noble's Hospital,Noble's Hospital,Noble's Hospital,Noble's Hospital,Noble's Hospital,Noble's Hospital,Noble's Hospital,Noble's Hospital,Noble's Hospital,Noble's Hospital,Noble's Hospital,Noble's Hospital,Noble's Hospital
SSNAP level,E,E,E,E,E,D,E,D,E,E,E,D,E
SSNAP score,16.1,27.0,34.2,35.7,37.8,43.2,27.2,41.8,34.0,36.9,35.1,45.0,27.0
Case ascertainment band,B,A,B,A,A,A,A,A,A,A,A,A,A
Audit compliance band,D,C,C,D,C,C,D,B,D,C,C,C,C
Combined Total Key Indicator level,E,E,D,D,D,D,E,D,D,D,E,D,E
Combined Total Key Indicator score,20.0,30.0,40.0,42.0,42.0,48.0,32.0,44.0,40.0,41.0,39.0,50.0,30.0
Number of records completed: Team-centred post-72h all teams cohort,27,42,24,31,49,46,40,37,41,40,40,39,34
Patient-centred Domain levels: 1) Scanning,E,D,B,C,C,D,D,D,D,C,B,D,D
Patient-centred Domain levels: 2) Stroke unit,E,E,E,C,E,D,E,D,D,D,E,C,E
Patient-centred Domain levels: 3) Thrombolysis,E,D,E,E,D,E,E,D,E,D,E,C,E
Patient-centred Domain levels: 4) Specialist Assessments,E,E,D,E,C,D,E,D,D,C,D,C,E
Patient-centred Domain levels: 5) Occupational therapy,E,E,E,C,E,B,E,D,C,D,D,E,E
Patient-centred Domain levels: 6) Physiotherapy,E,D,D,B,D,B,D,B,B,B,B,B,D
Patient-centred Domain levels: 7) Speech and Language therapy,E,D,D,E,C,E,E,D,E,E,E,D,E
Patient-centred Domain levels: 8) MDT working,E,E,E,E,E,D,E,E,E,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,E,E,B,D,C,B,B,C,D,D,C,A,C
Patient-centred Domain levels: 10) Discharge processes,E,D,D,D,D,D,D,D,D,E,E,E,D
Patient-centred KI level Patient-centred Total KI level,E,E,D,D,D,D,E,D,D,D,D,D,E
Patient-centred KI level Patient-centred Total KI score,20.0,30.0,40.0,42.0,42.0,48.0,32.0,44.0,40.0,42.0,40.0,50.0,30.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,E,E,D,E,D,E,E,E,D,E
Patient-centred SSNAP level Patient-centred SSNAP score,16.1,27.0,34.2,35.7,37.8,43.2,27.2,41.8,34.0,37.8,36.0,45.0,27.0
Team-centred Domain levels: 1) Scanning,E,D,B,C,C,D,D,D,D,C,B,D,D
Team-centred Domain levels: 2) Stroke unit,E,E,E,C,E,D,E,D,D,D,E,C,E
Team-centred Domain levels: 3) Thrombolysis,E,D,E,E,D,E,E,D,E,D,E,C,E
Team-centred Domain levels: 4) Specialist Assessments,E,E,D,E,C,D,E,D,D,C,D,C,E
Team-centred Domain levels: 5) Occupational therapy,E,E,E,C,E,B,E,E,C,E,E,E,E
Team-centred Domain levels: 6) Physiotherapy,E,D,D,B,D,B,D,B,B,B,B,B,D
Team-centred Domain levels: 7) Speech and Language therapy,E,D,D,E,C,E,E,D,E,E,E,D,E
Team-centred Domain levels: 8) MDT working,E,E,E,E,E,D,E,E,E,E,E,E,E
Team-centred Domain levels: 9) Standards by discharge,E,E,B,D,C,B,B,B,D,D,C,A,C
Team-centred Domain levels: 10) Discharge processes,E,D,D,D,D,D,D,D,D,E,E,E,D
Team-centred KI level Team-centred Total KI level,E,E,D,D,D,D,E,D,D,D,E,D,E
Team-centred KI level Team-centred Total KI score,20.0,30.0,40.0,42.0,42.0,48.0,32.0,44.0,40.0,40.0,38.0,50.0,30.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,E,E,E,D,E,D,E,E,E,D,E
Team-centred SSNAP level Team-centred SSNAP score,16.1,27.0,34.2,35.7,37.8,43.2,27.2,41.8,34.0,36.0,34.2,45.0,27.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),45,50,59,55,63,43,79,83,63,44,42,76,75
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),96%,85%,81%,85%,97%,91%,92%,89%,88%,94%,93%,94%,91%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),20,49,41,25,31,21,78,79,60,44,24,32,49
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),44%,98%,69%,45%,49%,49%,99%,95%,95%,100%,57%,42%,65%
