0,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Whiston Hospital HASU,Whiston Hospital HASU,Whiston Hospital HASU,Whiston Hospital HASU,Whiston Hospital HASU
SSNAP level,A,A,A,A,A
SSNAP score,90.0,91.0,94.0,93.0,95.0
Case ascertainment band,A,A,A,A,A
Audit compliance band,A,A,A,A,A
Combined Total Key Indicator level,A,A,A,A,A
Combined Total Key Indicator score,90.0,91.0,94.0,93.0,95.0
Number of records completed: Team-centred post-72h all teams cohort,291,269,295,292,267
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,B,B,B,B,B
Patient-centred Domain levels: 3) Thrombolysis,B,B,A,B,A
Patient-centred Domain levels: 4) Specialist Assessments,B,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,A,A,A,A,A
Patient-centred Domain levels: 8) MDT working,A,A,A,A,A
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,A,A
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,90.0,92.0,94.0,94.0,96.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",A,A,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,90.0,92.0,94.0,94.0,96.0
Team-centred Domain levels: 1) Scanning,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,B,B,B,B,B
Team-centred Domain levels: 3) Thrombolysis,B,B,B,C,B
Team-centred Domain levels: 4) Specialist Assessments,B,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,B,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,A,B,A,A,A
Team-centred Domain levels: 8) MDT working,A,A,A,A,A
Team-centred Domain levels: 9) Standards by discharge,B,B,A,A,A
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,90.0,90.0,94.0,92.0,94.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",A,A,A,A,A
Team-centred SSNAP level Team-centred SSNAP score,90.0,90.0,94.0,92.0,94.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),391,439,441,372,388
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),87%,87%,87%,83%,85%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),249,244,211,242,259
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),64%,56%,48%,65%,67%
