0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01
Team,Broomfield Hospital,Broomfield Hospital,Broomfield Hospital,Broomfield Hospital,Broomfield Hospital,Broomfield Hospital,Broomfield Hospital,Broomfield Hospital,Broomfield Hospital,Broomfield Hospital,Broomfield Hospital,Broomfield Hospital,Broomfield Hospital,Broomfield Hospital,Broomfield Hospital,Broomfield Hospital,Broomfield Hospital
SSNAP level,D,D,D,D,C,C,C,A,B,B,A,A,A,A,A,A,A
SSNAP score,54,46.2,57.8,54.4,62.9,62.1,65.9,84,79,76,84,90,88,88,89.0,92,95
Case ascertainment band,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,C,D,D,D,C,B,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,C,D,C,C,B,C,B,A,B,B,A,A,A,A,A,A,A
Combined Total Key Indicator score,60,54,68,64,74,69,73,84,79,76,84,90,88,88,89.0,92,95
Number of records completed: Team-centred post-72h all teams cohort,130,105,111,127,102,113,100,111,133,126,116,145,156,143,140,135,154
Patient-centred Domain levels: 1) Scanning,B,C,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,B,C,B,B,B,B,B,B,C,C,B,B,B
Patient-centred Domain levels: 3) Thrombolysis,C,C,C,C,A,B,A,A,A,B,A,B,C,B,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,C,D,C,C,B,B,B,B,B,B,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,B,C,A,C,C,C,C,B,B,B,C,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,C,A,B,B,C,C,B,B,B,B,A,A,B,B,B,A
Patient-centred Domain levels: 7) Speech and Language therapy,D,E,D,E,C,D,D,C,C,C,C,C,B,B,B,B,A
Patient-centred Domain levels: 8) MDT working,D,D,D,D,D,C,C,B,D,C,B,B,B,B,B,A,A
Patient-centred Domain levels: 9) Standards by discharge,B,B,C,C,C,B,C,B,B,B,A,A,A,A,B,A,A
Patient-centred Domain levels: 10) Discharge processes,D,D,C,A,B,A,A,A,A,A,B,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,C,D,C,C,B,B,B,A,B,B,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,62,52,66,62,74,72,74,84,80,78,84,90,88,88,88.0,92,96
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,C,C,C,A,B,B,A,A,A,A,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,55.8,44.5,56.1,52.7,62.9,64.8,66.8,84,80,78,84,90,88,88,88.0,92,96
Team-centred Domain levels: 1) Scanning,B,C,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,C,C,C,B,C,B,B,B,B,B,B,C,C,B,B,B
Team-centred Domain levels: 3) Thrombolysis,C,C,C,C,A,B,B,A,A,B,A,B,C,B,B,B,B
Team-centred Domain levels: 4) Specialist Assessments,C,D,C,C,B,B,B,B,B,B,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,A,B,C,E,C,B,B,C,C,A,A,A,B,A,A
Team-centred Domain levels: 6) Physiotherapy,B,B,A,B,B,D,D,B,B,B,C,A,A,B,B,A,A
Team-centred Domain levels: 7) Speech and Language therapy,D,E,D,D,D,D,D,C,C,D,C,C,B,B,A,B,A
Team-centred Domain levels: 8) MDT working,D,C,B,D,C,C,B,B,D,C,B,B,B,B,A,A,B
Team-centred Domain levels: 9) Standards by discharge,B,B,C,C,C,B,C,B,C,B,A,A,A,A,B,B,A
Team-centred Domain levels: 10) Discharge processes,E,D,C,A,B,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,D,B,C,B,C,B,A,B,B,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,58,56,70,66,74,66,72,84,78,74,84,90,88,88,90.0,92,94
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,D,C,D,C,A,B,B,A,A,A,A,A,A,A
Team-centred SSNAP level Team-centred SSNAP score,52.2,47.9,59.5,56.1,62.9,59.4,65,84,78,74,84,90,88,88,90.0,92,94
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,132,162,179,170,194,195,156,152,142,168,168,162,147,206,241,220
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.99,0.99,0.99,1,1,0.98,0.98,0.98,0.98,0.89,0.86,0.82,0.88,92%,0.93,0.89
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,10,21,19,16,20,34,51,59,51,43,57,67,15,8,26,64
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.08,0.13,0.11,0.09,0.1,0.17,0.33,0.39,0.36,0.26,0.34,0.41,0.1,4%,0.11,0.29
