0,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team
SSNAP level,B,B,C,C,C,A,C,B,D,B,B,B,A,B,A,B,D,C,B,B
SSNAP score,77.4,79.9,61.1,69.2,64.3,84.4,69.2,77.1,59.5,72.7,71.2,75.3,85.7,76.7,85.7,70.6,56.4,65.2,71.8,78.9
Case ascertainment band,A,A,C,A,C,A,B,A,C,A,A,A,A,C,A,B,C,A,A,A
Audit compliance band,C,C,D,D,D,B,D,C,D,D,D,D,B,A,B,C,D,D,C,B
Combined Total Key Indicator level,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A
Combined Total Key Indicator score,86,88.8,84.5,81.4,89,88.8,85.7,85.7,82.4,85.5,83.8,88.6,90.2,90.2,90.2,82.6,78.1,76.7,79.8,83.1
Number of records completed: Team-centred post-72h all teams cohort,32,42,31,42,32,46,25,31,28,26,33,30,29,23,30,28,28,30,32,27
Patient-centred Domain levels: 2) Stroke unit,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,B,A,B,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,D,C,E,E,D,C,C,C,B,B,A,A,A,A,A,C,D,E,E,E
Patient-centred Domain levels: 8) MDT working,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A
Patient-centred Domain levels: 9) Standards by discharge,B,A,A,A,A,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A
Patient-centred KI level Patient-centred Total KI score,88.6,94.3,85.7,82.9,91.4,94.3,91.4,91.4,91.4,94.3,94.3,97.1,97.1,97.1,97.1,88.6,82.9,80.0,82.9,82.9
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,A,C,B,C,A,B,A,C,A,A,A,A,A,A,B,D,C,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,79.7,84.9,61.9,70.4,66.1,89.6,73.8,82.3,66.1,80.1,80.1,82.6,92.3,82.6,92.3,75.7,59.9,68.0,74.6,78.7
Team-centred Domain levels: 2) Stroke unit,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,B,C,B,A,A,A,A,B,B,C,B,A
Team-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,B,B,B,C,C,B,A,A,A,A,B,B,B,A,A
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,A,A,B,B,B,A,C,C,B,B,B,B,C,B,C,B
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,A,A,A,B,A,A,B,B,B,B,B,B,A,A,A,B,B,B,B,A
Team-centred KI level Team-centred Total KI score,83.3,83.3,83.3,80.0,86.7,83.3,80.0,80.0,73.3,76.7,73.3,80.0,83.3,83.3,83.3,76.7,73.3,73.3,76.7,83.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,C,C,C,B,C,B,D,C,C,C,B,B,B,C,D,C,C,B
Team-centred SSNAP level Team-centred SSNAP score,75,75,60.2,68.0,62.6,79.2,64.6,72.0,53.0,65.2,62.3,68.0,79.2,70.8,79.2,65.5,53.0,62.3,69.0,79.2
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),47,46,46,41,47,47,43,44,43,45,42,51,38,45,37,47,51,45,56,58
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.85,0.88,0.98,89%,0.9,0.96,93%,96%,96%,94%,89%,96%,93%,96%,97%,96%,98%,98%,95%,95%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),44,42,41,37,43,42,20,18,17,18,21,21,22,30,22,31,30,20,29,33
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.94,0.91,0.89,90%,0.91,0.89,47%,41%,40%,40%,50%,41%,58%,67%,59%,66%,59%,44%,52%,57%
