0,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary
SSNAP level,B,A,A,A,B,B,A,B,B,A,B,B,B,B,B
SSNAP score,77,85.0,87.0,82.0,72.0,76.0,81.0,79.0,80.0,82.0,79.0,73.0,73.0,72.0,79.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,A,A,A,A,B,B,A,B,B,A,B,B,B,B,B
Combined Total Key Indicator score,81,85.0,87.0,82.0,72.0,76.0,81.0,79.0,80.0,82.0,79.0,73.0,73.0,72.0,79.0
Number of records completed: Team-centred post-72h all teams cohort,108,136,127,116,127,134,132,148,187,160,171,196,170,182,149
Patient-centred Domain levels: 1) Scanning,A,B,A,A,B,B,A,A,A,A,A,A,A,B,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,D,D,C,D,C,B,C,C,B,C,B
Patient-centred Domain levels: 3) Thrombolysis,C,C,B,C,D,C,C,C,B,C,B,B,C,C,B
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,C,D,D,C,C,C,B,C,C,C,C,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,A,B,B,B,A,A,A,B,A,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,A,A,A,B,A,B,A,B,C,C,D,C,C,D
Patient-centred Domain levels: 8) MDT working,B,B,B,C,C,C,B,C,B,B,C,C,B,C,C
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,C,B,B,C,C,C,B,C,D,C,C
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A
Patient-centred KI level Patient-centred Total KI level,B,A,A,A,C,B,B,B,B,A,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,80,82.0,86.0,82.0,68.0,74.0,80.0,78.0,80.0,82.0,78.0,76.0,74.0,72.0,78.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,A,A,A,C,B,B,B,B,A,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,76,82.0,86.0,82.0,68.0,74.0,80.0,78.0,80.0,82.0,78.0,76.0,74.0,72.0,78.0
Team-centred Domain levels: 1) Scanning,A,A,A,A,B,B,A,A,A,A,A,A,A,B,A
Team-centred Domain levels: 2) Stroke unit,C,C,C,C,C,D,C,C,C,B,C,C,B,C,B
Team-centred Domain levels: 3) Thrombolysis,C,B,B,C,D,C,C,C,B,C,B,B,C,C,B
Team-centred Domain levels: 4) Specialist Assessments,B,B,B,C,C,C,B,C,C,B,C,D,C,C,B
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,C,A,A,A,A,A,B,A,A,C,C,D,C,C,C
Team-centred Domain levels: 8) MDT working,B,B,B,C,C,C,C,C,C,B,C,D,C,C,C
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,C,B,B,C,C,C,B,D,D,C,B
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,B,A,A,A,B,A,B
Team-centred KI level Team-centred Total KI level,A,A,A,A,B,B,A,B,B,A,B,B,B,B,B
Team-centred KI level Team-centred Total KI score,82,88.0,88.0,82.0,76.0,78.0,82.0,80.0,80.0,82.0,80.0,70.0,72.0,72.0,80.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,A,A,A,B,B,A,B,B,A,B,B,B,B,B
Team-centred SSNAP level Team-centred SSNAP score,77.9,88.0,88.0,82.0,76.0,78.0,82.0,80.0,80.0,82.0,80.0,70.0,72.0,72.0,80.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),137,274,304,293,289,254,226,243,268,312,368,336,332,370,343
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.94,99%,100%,100%,100%,98%,98%,99%,98%,98%,97%,95%,95%,96%,95%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),15,46,51,58,62,29,41,54,66,79,115,109,89,92,65
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.11,17%,17%,20%,21%,11%,18%,22%,25%,25%,31%,32%,27%,25%,19%
