0,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital
SSNAP level,B,B,B,B,B,C,C,D,D,D,D,D,D,D,D,C,C,D,C,C,C
SSNAP score,77,75,70,70,76.0,68,66,57.0,54.0,58.0,59.0,48.0,52.0,55.0,58.0,62.0,68.0,59.0,67.0,61.0,63.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,B,B,B,B,B,C,C,D,D,D,D,D,D,D,D,C,C,D,C,C,C
Combined Total Key Indicator score,77,75,70,70,76.0,68,66,57.0,54.0,58.0,59.0,48.0,52.0,55.0,58.0,62.0,68.0,59.0,67.0,61.0,63.0
Number of records completed: Team-centred post-72h all teams cohort,170,144,190,191,175,156,205,191,187,186,163,205,191,189,207,225,202,185,206,275,246
Patient-centred Domain levels: 1) Scanning,C,C,C,B,B,B,B,C,C,A,B,B,B,B,B,B,A,B,B,B,A
Patient-centred Domain levels: 2) Stroke unit,C,C,D,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,C,C,D,C,B,C,B,D,D,D,C,D,D,D,D,C,C,D,C,B,C
Patient-centred Domain levels: 4) Specialist Assessments,A,A,A,A,A,A,B,C,C,C,B,B,B,A,B,B,B,B,B,B,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,B,C,C,C,E,D,E,D,C,B,C,B,C,C
Patient-centred Domain levels: 6) Physiotherapy,A,A,B,B,B,B,C,C,C,D,C,D,E,D,C,C,C,D,B,C,B
Patient-centred Domain levels: 7) Speech and Language therapy,D,D,D,E,E,E,E,D,D,C,D,E,D,D,C,C,C,D,D,D,E
Patient-centred Domain levels: 8) MDT working,C,D,C,C,C,D,D,E,E,E,E,E,E,E,E,E,D,D,D,E,E
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,A,A,B,B,A,B,B,B,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,A,A,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,C
Patient-centred KI level Patient-centred Total KI level,B,B,C,B,B,C,C,D,D,D,C,D,D,D,C,C,B,C,C,C,C
Patient-centred KI level Patient-centred Total KI score,76,74,68,70,76.0,68,66,58.0,54.0,58.0,60.0,50.0,54.0,56.0,60.0,64.0,70.0,60.0,68.0,62.0,62.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,B,C,B,B,C,C,D,D,D,C,D,D,D,C,C,B,C,C,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,76,74,68,70,76.0,68,66,58.0,54.0,58.0,60.0,50.0,54.0,56.0,60.0,64.0,70.0,60.0,68.0,62.0,62.0
Team-centred Domain levels: 1) Scanning,C,C,C,B,B,B,B,C,C,A,B,B,B,B,B,C,A,B,B,B,A
