0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Diana Princess of Wales Hospital Grimsby,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital,Scunthorpe General Hospital
SSNAP level,D,C,B,C,A,B,B,A,A,A,B,B,B,B,A,B,B,B,B,B,C,D,C,C,D,C,B,B,C,C,B
SSNAP score,42.4,60.4,74.1,68.4,86,76,76,85,83,85,78.8,77.9,77.6,78.8,80.3,75.2,79.8,73.8,71.8,73.8,68.4,57.3,66.6,66.5,59.4,69.3,73.0,74.1,62.7,69.3,74.1
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A
Audit compliance band,E,D,B,B,A,B,B,A,A,A,B,B,B,B,B,C,B,C,C,C,C,D,C,B,C,B,A,B,B,B,B
Combined Total Key Indicator level,D,B,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,C,B,B,B,C,B,B
Combined Total Key Indicator score,53,71,78,72,86,80,80,85,83,85,83,82,86,83,89.0,88,84,82.0,84.0,82.0,80.0,71.0,74.0,70.0,66.0,73.0,73.0,78.0,66.0,73.0,78.0
Number of records completed: Team-centred post-72h all teams cohort,69,149,166,177,194,196,152,147,158,146,147,157,150,179,137,146,160,188,148,155,150,152,171,150,179,192,207,219,217,195,218
Patient-centred Domain levels: 1) Scanning,B,B,A,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,B,B,B,B,C,B,B,B,B,B,B,B,B,B,B,B,C,C,C,E,E,E,E,E,C,C,C,E,C,C
Patient-centred Domain levels: 3) Thrombolysis,D,D,D,E,C,C,D,C,D,D,C,C,C,C,C,C,D,C,C,C,C,E,C,C,D,D,C,C,D,C,C
Patient-centred Domain levels: 4) Specialist Assessments,E,B,A,B,A,B,B,B,B,A,A,B,A,B,A,B,B,B,B,B,A,B,B,B,D,B,B,B,C,C,B
Patient-centred Domain levels: 5) Occupational therapy,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,D,B,B,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,D,D,C,B,B,C,B,B,B,B,C,B,B,A,A,B,C,C,C,C,C,D,E,D,D,D,C,E,E,D
Patient-centred Domain levels: 8) MDT working,D,B,B,B,B,C,C,B,C,B,C,B,B,B,A,A,B,B,B,C,C,C,C,D,D,D,D,D,E,D,D
Patient-centred Domain levels: 9) Standards by discharge,C,C,B,C,B,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,A,A,A,B,C,C,C,B,A,C,C,C,C,C,C,C,B,B,A,A,A,A,A,A,A,B,B,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,B,B,B,A,B,B,A,B,A,A,B,A,A,A,A,A,A,A,A,B,B,B,B,C,B,B,B,C,B,B
Patient-centred KI level Patient-centred Total KI score,58,72,80,72,84,80,76,84,80,84,82,80,86,82,90.0,88,84,82.0,84.0,82.0,80.0,70.0,74.0,70.0,66.0,72.0,74.0,78.0,64.0,72.0,76.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,C,B,C,A,B,B,A,B,A,B,B,B,B,A,B,B,B,B,B,C,D,C,C,D,C,B,B,C,C,B
Patient-centred SSNAP level Patient-centred SSNAP score,46.4,61.2,76,68.4,84,76,72.2,84,80,84,77.9,76,77.6,77.9,81.2,75.2,79.8,73.8,71.8,73.8,68.4,56.5,66.6,66.5,59.4,68.4,74.0,74.1,60.8,68.4,72.2
Team-centred Domain levels: 1) Scanning,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,E,E,E,E,E,C,C,C,E,C,C
Team-centred Domain levels: 3) Thrombolysis,E,D,C,D,B,C,C,C,D,C,C,C,D,C,D,C,D,C,C,C,C,E,C,C,D,D,C,C,D,C,C
Team-centred Domain levels: 4) Specialist Assessments,E,A,A,A,A,B,B,A,A,A,A,A,A,B,A,B,B,B,B,B,A,B,B,B,C,B,B,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,B,D,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,D,D,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,C,E,E,D,B,B,B,B,B,B,B,B,A,A,A,A,B,C,C,C,C,C,D,E,E,D,E,C,E,E,C
Team-centred Domain levels: 8) MDT working,E,A,A,B,B,C,B,C,C,B,B,B,B,B,A,A,B,B,B,C,C,B,C,D,D,C,D,D,D,D,C
Team-centred Domain levels: 9) Standards by discharge,C,B,B,C,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,A,A,A,B,C,D,C,B,A,C,C,C,C,C,C,C,B,B,A,A,A,A,A,A,A,B,B,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,C,B,B,B,C,B,B
Team-centred KI level Team-centred Total KI score,48,70,76,72,88,80,84,86,86,86,84,84,86,84,88.0,88,84,82.0,84.0,82.0,80.0,72.0,74.0,70.0,66.0,74.0,72.0,78.0,68.0,74.0,80.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,B,C,A,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,C,D,C,C,D,B,B,B,C,B,B
Team-centred SSNAP level Team-centred SSNAP score,38.4,59.5,72.2,68.4,88,76,79.8,86,86,86,79.8,79.8,77.6,79.8,79.4,75.2,79.8,73.8,71.8,73.8,68.4,58.1,66.6,66.5,59.4,70.3,72.0,74.1,64.6,70.3,76.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,100,98,172,242,281,334,325,302,246,255,286,256,236,249,256,240,324,311,283,274,256,241,222,246,282,274,259,269,312,334
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,0.99,0.99,0.98,0.98,0.99,1,1,1,1,1,1,99%,0.99,0.98,99%,97%,93%,92%,92%,95%,96%,95%,94%,94%,96%,92%,94%,96%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,10,13,18,37,23,10,17,19,29,53,56,64,76,67,66,57,52,62,65,64,52,75,81,81,76,71,79,66
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0.06,0.05,0.06,0.11,0.07,0.03,0.07,0.07,0.1,0.21,0.24,26%,0.3,0.28,20%,18%,18%,23%,25%,27%,23%,30%,29%,30%,29%,26%,25%,20%
