0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Nottingham City Hospital,Nottingham City Hospital,Nottingham City Hospital,Nottingham City Hospital,Nottingham City Hospital,Nottingham City Hospital,Nottingham City Hospital,Nottingham City Hospital,Nottingham City Hospital,Nottingham City Hospital,Nottingham City Hospital,Nottingham City Hospital,Nottingham City Hospital,Nottingham City Hospital,Nottingham City Hospital,Nottingham City Hospital,Nottingham City Hospital,Queen's Medical Centre - Nottingham,Queen's Medical Centre - Nottingham,Queen's Medical Centre - Nottingham,Queen's Medical Centre - Nottingham,Queen's Medical Centre - Nottingham,Queen's Medical Centre - Nottingham,Queen's Medical Centre - Nottingham,Queen's Medical Centre - Nottingham,Queen's Medical Centre - Nottingham,Queen's Medical Centre - Nottingham,Queen's Medical Centre - Nottingham,Queen's Medical Centre - Nottingham,Queen's Medical Centre - Nottingham,Queen's Medical Centre - Nottingham
SSNAP level,D,D,D,D,D,D,D,D,D,D,A,A,B,B,B,B,B,B,B,B,C,C,C,C,C,D,D,C,B,A,B
SSNAP score,45.2,42,54.7,49,45.5,55.6,56.4,58.9,55.6,48.7,82,82,70.3,78,77.0,77,70,76.0,73.1,73.1,66.5,67.5,60.8,60.8,63.7,57.6,57.6,62.7,70.3,82.0,79.8
Case ascertainment band,B,B,B,C,C,B,B,A,B,B,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B
Audit compliance band,D,D,C,C,D,C,C,B,C,C,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,C,C,B,B,A,A
Combined Total Key Indicator level,D,D,C,C,C,C,C,C,C,D,A,A,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,B,A,A
Combined Total Key Indicator score,56,52,64,64,63,65,66,62,65,57,82,82,74,78,77.0,77,70,76.0,77.0,77.0,70.0,71.0,64.0,64.0,67.0,64.0,64.0,66.0,74.0,82.0,84.0
Number of records completed: Team-centred post-72h all teams cohort,231,260,284,240,234,262,243,263,260,269,301,309,265,300,319,296,301,328,233,313,301,350,342,390,394,410,363,359,318,330,281
Patient-centred Domain levels: 1) Scanning,D,D,D,D,D,D,C,D,D,D,C,C,C,C,C,C,C,A,C,B,C,C,C,B,B,B,B,B,A,A,A
Patient-centred Domain levels: 2) Stroke unit,B,B,B,B,B,B,B,B,B,B,C,B,C,C,C,C,D,C,A,A,B,B,E,D,D,D,D,D,C,C,B
Patient-centred Domain levels: 3) Thrombolysis,B,C,B,B,B,B,B,B,B,C,B,C,C,B,C,B,C,B,B,B,C,C,C,C,C,C,C,D,C,C,C
Patient-centred Domain levels: 4) Specialist Assessments,C,D,B,B,B,B,C,D,C,D,B,B,C,B,B,B,C,C,C,C,C,D,D,D,D,D,E,D,C,B,B
Patient-centred Domain levels: 5) Occupational therapy,B,C,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,C,C,B,B,B,B,B,B,B,B,A,A,A,A,B,B,B,A,A,B,A,B,B,A,B,B,B,A,B,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,D,E,E,E,E,E,E,E,C,C,D,D,C,C,D,D,E,D,D,D,D,E,D,D,D,D,C,C,C
Patient-centred Domain levels: 8) MDT working,C,D,C,D,D,C,C,C,C,C,B,B,C,B,B,C,B,C,C,C,C,C,D,D,D,E,E,D,D,C,B
Patient-centred Domain levels: 9) Standards by discharge,D,B,D,B,B,B,B,B,B,C,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,D,D,D,D,D,D,D,D,C,D,A,A,A,A,A,A,A,A,A,A,C,B,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,C,C,C,C,C,C,C,D,A,A,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,B,A,A
Patient-centred KI level Patient-centred Total KI score,56,52,64,64,62,66,66,62,64,58,82,82,74,80,78.0,78,72,80.0,76.0,80.0,72.0,70.0,64.0,66.0,68.0,64.0,64.0,68.0,76.0,82.0,86.0
