0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01
Team,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital,Peterborough City Hospital
SSNAP level,E,E,E,E,E,D,D,D,D,D
SSNAP score,26.4,33.6,32.8,33.6,36.8,44.2,41.6,49.3,51.3,43.2
Case ascertainment band,A,A,A,A,A,A,A,A,A,A
Audit compliance band,E,E,E,E,E,D,D,D,C,C
Combined Total Key Indicator level,E,D,D,D,D,D,D,D,D,D
Combined Total Key Indicator score,33,42,41,42,46,52,49,58,57,48
Number of records completed: Team-centred post-72h all teams cohort,140,129,129,132,138,147,125,139,144,151
Patient-centred Domain levels: 1) Scanning,C,B,C,C,C,B,C,C,C,C
Patient-centred Domain levels: 2) Stroke unit,C,D,D,D,D,D,C,C,C,D
Patient-centred Domain levels: 3) Thrombolysis,E,D,D,D,E,D,D,C,C,D
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,D,C,C,C,B,C,D
Patient-centred Domain levels: 5) Occupational therapy,E,C,C,C,C,C,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,E,D,D,D,D,D,E,D,C,D
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,D,E,D,D,E
Patient-centred Domain levels: 8) MDT working,D,D,D,E,D,D,D,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,E,D,D,C,B,B,C,B,C,C
Patient-centred Domain levels: 10) Discharge processes,E,E,E,E,E,D,C,C,C,C
Patient-centred KI level Patient-centred Total KI level,E,D,D,D,D,D,D,D,D,D
Patient-centred KI level Patient-centred Total KI score,32,42,40,40,44,52,48,58,56,46
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,E,E,D,D,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,25.6,33.6,32,32,35.2,44.2,40.8,49.3,50.4,41.4
Team-centred Domain levels: 1) Scanning,C,B,C,B,C,B,C,C,C,C
Team-centred Domain levels: 2) Stroke unit,C,D,D,D,C,D,C,C,C,D
Team-centred Domain levels: 3) Thrombolysis,E,D,D,D,E,D,D,C,C,D
Team-centred Domain levels: 4) Specialist Assessments,D,D,D,D,C,C,C,B,C,D
Team-centred Domain levels: 5) Occupational therapy,E,D,C,C,C,C,C,C,C,C
Team-centred Domain levels: 6) Physiotherapy,E,D,D,D,D,D,E,D,C,D
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,D,E,D,D,D
Team-centred Domain levels: 8) MDT working,C,C,C,D,C,D,C,D,C,C
Team-centred Domain levels: 9) Standards by discharge,E,D,D,C,B,B,C,B,C,C
Team-centred Domain levels: 10) Discharge processes,E,E,E,E,E,D,C,C,C,C
Team-centred KI level Team-centred Total KI level,E,D,D,D,D,D,D,D,D,D
Team-centred KI level Team-centred Total KI score,34,42,42,44,48,52,50,58,58,50
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,E,E,E,D,D,D,D,D
Team-centred SSNAP level Team-centred SSNAP score,27.2,33.6,33.6,35.2,38.4,44.2,42.5,49.3,52.2,45
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,199,201,200,215,226,252,257,220,193
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,0.98,0.98,0.98,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,0,0,0,1,0,1,1
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0,0,0,0,0,0,0.01
