0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital,Royal Berkshire Hospital
SSNAP level,C,B,B,B,B,C,B,B,B,B,A,A,A,B,B,A,A,A,A,A,A,B,B,A,A,A,A,A,B,A,A
SSNAP score,69.5,71,73.1,75.8,75.8,63.8,78.8,76.7,76.7,74,87,84,85,74.1,74.1,84,84,87.0,85.0,84.0,84.0,74.1,77.0,85.0,83.0,81.0,82.0,81.7,78.0,80.8,88.0
Case ascertainment band,B,B,B,B,B,C,B,B,B,B,A,A,A,B,A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,B,A
Audit compliance band,B,C,B,B,B,B,A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,B,A,A,A,A,B,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A
Combined Total Key Indicator score,77,83,81,84,84,79,83,85,85,82,87,84,85,78,78.0,84,84,87.0,85.0,84.0,84.0,78.0,81.0,85.0,83.0,81.0,82.0,86.0,78.0,85.0,88.0
Number of records completed: Team-centred post-72h all teams cohort,165,159,170,158,152,148,168,150,149,168,205,178,176,163,192,199,180,194,183,175,175,162,160,201,177,176,179,156,190,165,168
Patient-centred Domain levels: 1) Scanning,B,B,B,B,B,B,B,B,B,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,B,C,C,C,C,D,C,C,C,D,C,C,C,D,D,D,D,C,D,D,C,E,D,D,D,D,C,D,E,C,C
