0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford,Princess Royal Hospital Telford
SSNAP level,E,E,D,D,E,E,E,E,D,E,D,C,D,D,C,D,C,B,B,C,C,D,D,C,C,C,D,D,D,D,C
SSNAP score,29.9,36.5,42.5,44.2,34,23.8,28.1,36.9,42.3,34.9,54.2,66.5,47.5,50.3,62.7,59.8,62.7,73.1,72.0,68.0,62.0,48.7,53.1,62.0,60.0,66.0,57.0,56.0,47.0,52.2,66.5
Case ascertainment band,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,B,A,A
Audit compliance band,C,D,D,D,D,D,D,C,C,D,B,B,B,B,B,B,B,B,A,A,A,B,C,A,A,A,A,A,C,C,B
Combined Total Key Indicator level,E,D,D,D,D,E,E,D,D,D,D,B,D,D,C,C,C,B,B,C,C,D,D,C,C,C,D,D,D,D,B
Combined Total Key Indicator score,35,43,50,52,40,28,33,41,47,41,57,70,50,53,66.0,63,66,77.0,72.0,68.0,62.0,54.0,59.0,62.0,60.0,66.0,57.0,59.0,55.0,58.0,70.0
Number of records completed: Team-centred post-72h all teams cohort,183,203,199,233,239,262,246,260,258,256,221,216,231,229,265,226,211,280,243,219,214,161,218,214,230,230,212,190,199,218,226
Patient-centred Domain levels: 1) Scanning,D,D,C,C,D,E,E,D,C,C,C,B,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C,B,C,B,A
Patient-centred Domain levels: 2) Stroke unit,B,B,B,B,C,D,C,B,C,D,D,C,E,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,C,C,C,C,D,D,C,C,C,C,C,C,D,C,C,D,C,C,C,D,E,D,D,D,D,D,E,D,D,D,C
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,D,E,E,E,D,D,D,C,C,D,D,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
