0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01
Team,Torbay Hospital,Torbay Hospital,Torbay Hospital,Torbay Hospital,Torbay Hospital,Torbay Hospital,Torbay Hospital,Torbay Hospital
SSNAP level,D,E,D,D,C,D,D,C
SSNAP score,46.8,38.9,51.3,58,62,59,57,66
Case ascertainment band,A,A,A,A,A,A,A,A
Audit compliance band,C,B,B,A,A,A,A,A
Combined Total Key Indicator level,D,D,D,D,C,D,D,C
Combined Total Key Indicator score,52,41,54,58,62,59,57,66
Number of records completed: Team-centred post-72h all teams cohort,132,138,156,175,140,150,168,153
Patient-centred Domain levels: 1) Scanning,D,E,E,E,D,D,D,D
Patient-centred Domain levels: 2) Stroke unit,C,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,E,D,D,D,D,D,C
Patient-centred Domain levels: 4) Specialist Assessments,C,D,D,D,D,D,D,D
Patient-centred Domain levels: 5) Occupational therapy,B,B,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,D,D,B,B,A,B,B,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,D,C,C,C,B,C,B
Patient-centred Domain levels: 8) MDT working,C,D,C,C,C,C,C,C
Patient-centred Domain levels: 9) Standards by discharge,C,C,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,C,B,B,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,C,C,C,C,C
Patient-centred KI level Patient-centred Total KI score,56,44,58,60,64,64,62,68
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,C,C,C,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,50.4,41.8,55.1,60,64,64,62,68
Team-centred Domain levels: 1) Scanning,D,E,E,E,D,D,D,D
Team-centred Domain levels: 2) Stroke unit,D,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,D,E,D,D,D,E,D,C
Team-centred Domain levels: 4) Specialist Assessments,C,D,D,D,D,D,D,D
Team-centred Domain levels: 5) Occupational therapy,C,C,B,A,A,A,B,A
Team-centred Domain levels: 6) Physiotherapy,D,D,C,B,B,D,D,B
Team-centred Domain levels: 7) Speech and Language therapy,D,E,E,D,C,C,D,C
Team-centred Domain levels: 8) MDT working,C,D,C,C,C,C,C,C
Team-centred Domain levels: 9) Standards by discharge,C,C,B,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,D,C,B,B,B,B,B,A
Team-centred KI level Team-centred Total KI level,D,E,D,D,C,D,D,C
Team-centred KI level Team-centred Total KI score,48,38,50,56,60,54,52,64
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,E,D,D,C,D,D,C
Team-centred SSNAP level Team-centred SSNAP score,43.2,36.1,47.5,56,60,54,52,64
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,268,265,224,219,272,292,262
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,0,0,1,1,1
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0,0,0,0,0
