0,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital,Sunderland Royal Hospital
SSNAP level,B,B,B,B,B,B,B,B,B,B,C,C,B,B,B,B,B
SSNAP score,72.0,76,72,75.0,76.0,75.0,77.0,70.0,70.0,71.0,69.0,65.0,73.0,70.0,76.0,73.0,71.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,B,B,B,B,B,B,B,B,B,B,C,C,B,B,B,B,B
Combined Total Key Indicator score,72.0,76,72,75.0,76.0,75.0,77.0,70.0,70.0,71.0,69.0,65.0,73.0,70.0,76.0,73.0,71.0
Number of records completed: Team-centred post-72h all teams cohort,190,163,171,191,173,177,175,186,190,213,206,218,196,221,207,197,220
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,C,C,C,D,D,E,E,E,D,E,E,D,D
Patient-centred Domain levels: 3) Thrombolysis,C,C,C,C,D,C,C,C,C,C,C,C,C,D,C,D,D
Patient-centred Domain levels: 4) Specialist Assessments,A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,B,B,C,C,C,C,A,B,C,C,D,D,C,B,A,B,C
Patient-centred Domain levels: 6) Physiotherapy,C,B,C,B,B,B,B,B,B,B,B,D,B,A,A,A,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,D,C,D,D,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 8) MDT working,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,A,B,B,B,B,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,B,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,B,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,72.0,76,72,76.0,76.0,74.0,78.0,72.0,70.0,72.0,70.0,66.0,74.0,70.0,76.0,74.0,70.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,B,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,72.0,76,72,76.0,76.0,74.0,78.0,72.0,70.0,72.0,70.0,66.0,74.0,70.0,76.0,74.0,70.0
Team-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,C,C,C,C,C,D,D,D,E,E,E,D,E,E,D,D
Team-centred Domain levels: 3) Thrombolysis,C,C,C,C,D,C,C,D,D,C,C,C,C,D,C,D,C
Team-centred Domain levels: 4) Specialist Assessments,A,A,A,B,A,A,A,B,B,A,A,A,A,B,A,B,A
Team-centred Domain levels: 5) Occupational therapy,B,B,C,C,C,C,A,C,C,C,D,D,C,B,A,B,C
Team-centred Domain levels: 6) Physiotherapy,C,B,C,B,B,B,B,B,B,B,B,D,B,A,A,A,B
Team-centred Domain levels: 7) Speech and Language therapy,E,D,C,D,D,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 8) MDT working,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,A,A,B,B,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,B,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,B,B,B,B,B,B,C,B,B,C,C,B,B,B,B,B
Team-centred KI level Team-centred Total KI score,72.0,76,72,74.0,76.0,76.0,76.0,68.0,70.0,70.0,68.0,64.0,72.0,70.0,76.0,72.0,72.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,B,B,B,B,B,C,B,B,C,C,B,B,B,B,B
Team-centred SSNAP level Team-centred SSNAP score,72.0,76,72,74.0,76.0,76.0,76.0,68.0,70.0,70.0,68.0,64.0,72.0,70.0,76.0,72.0,72.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),357,385,248,182,183,195,159,126,193,252,188,189,175,103,99,230,309
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),99%,0.95,0.76,71%,67%,66%,61%,58%,81%,95%,62%,63%,60%,37%,35%,71%,93%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),22,122,157,182,183,193,155,92,35,10,177,175,159,94,59,76,55
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),6%,0.32,0.63,100%,100%,99%,97%,73%,18%,4%,94%,93%,91%,91%,60%,33%,18%
