0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01
Team,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Warwick Hospital,Feldon Stroke Rehabilitation Unit SWFT,Feldon Stroke Rehabilitation Unit SWFT
SSNAP level,E,E,E,D,E,E,E,D,D,D,C,C,C,D,C,C,D,C,C,D,C,D,X,C,B
SSNAP score,26.1,26.1,38,43,36.1,30.4,36.9,49.9,58.1,56.9,67,61.1,64.2,55.9,60.1,63.3,58,61.2,63.3,56.0,61.1,59.2,.,60.0,75.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,C,A
Audit compliance band,C,C,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,X,D,C
Combined Total Key Indicator level,E,E,D,D,E,E,E,D,C,D,C,C,C,D,C,C,D,C,C,D,C,D,X,A,A
Combined Total Key Indicator score,29,29,40,43,38,32,38.9,52.6,61.1,56.9,67,61.1,64.2,55.9,60.1,63.3,58,61.2,63.3,56.0,61.1,59.2,.,83.1,83.3
Number of records completed: Team-centred post-72h all teams cohort,87,62,80,66,65,70,81,84,88,86,76,68,91,80,84,80,88,75,79,87,98,68,Insufficient records,36,42
Patient-centred Domain levels: 1) Scanning,E,E,D,E,E,E,E,D,E,D,D,D,C,D,D,D,D,D,D,E,D,E,Insufficient records,,
Patient-centred Domain levels: 2) Stroke unit,E,E,D,D,E,E,E,D,D,E,D,E,D,E,E,E,E,E,E,E,E,E,Insufficient records,B,A
Patient-centred Domain levels: 3) Thrombolysis,E,D,C,D,E,E,C,B,C,C,C,E,C,E,C,C,D,E,E,E,D,E,Insufficient records,,
Patient-centred Domain levels: 4) Specialist Assessments,E,E,D,D,D,E,E,D,D,C,C,D,D,D,D,E,E,E,E,E,E,E,Insufficient records,,
Patient-centred Domain levels: 5) Occupational therapy,D,E,D,C,D,D,C,B,A,C,A,A,B,C,C,B,C,B,B,C,B,C,Insufficient records,B,A
Patient-centred Domain levels: 6) Physiotherapy,B,C,C,B,B,D,B,B,B,B,A,A,B,B,C,B,B,B,B,B,B,B,Insufficient records,B,B
