0,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Feldon Stroke Rehabilitation Unit SWFT,Feldon Stroke Rehabilitation Unit SWFT,Feldon Stroke Rehabilitation Unit SWFT,Feldon Stroke Rehabilitation Unit SWFT,Feldon Stroke Rehabilitation Unit SWFT,Feldon Stroke Rehabilitation Unit SWFT
SSNAP level,C,B,B,C,B,A
SSNAP score,60.1,79.3,76.7,64.8,75.0,85.0
Case ascertainment band,C,A,B,B,B,A
Audit compliance band,C,C,B,D,B,A
Combined Total Key Indicator level,B,A,A,A,A,A
Combined Total Key Indicator score,78.6,88.1,85.0,80.2,83.1,85.0
Number of records completed: Team-centred post-72h all teams cohort,34,25,39,26,31,36
Patient-centred Domain levels: 2) Stroke unit,A,A,A,A,A,B
Patient-centred Domain levels: 5) Occupational therapy,B,A,A,B,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,B,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,A,A,B,B,B,B
Patient-centred Domain levels: 8) MDT working,E,E,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,C,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,A,B,B,A,B
Patient-centred KI level Patient-centred Total KI score,77.1,82.9,80.0,77.1,82.9,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,B,B,C,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,59.0,74.6,72.2,62.3,74.8,80.0
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,B,A,A,B,A,A
Team-centred Domain levels: 6) Physiotherapy,B,A,A,B,B,A
Team-centred Domain levels: 7) Speech and Language therapy,B,B,C,C,D,C
Team-centred Domain levels: 9) Standards by discharge,D,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,80.0,93.3,90.0,83.3,83.3,90.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,A,A,C,B,A
Team-centred SSNAP level Team-centred SSNAP score,61.2,84.0,81.2,67.3,75.2,90.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),82,88,79,65,51,49
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),100%,99%,93%,87%,81%,79%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),3,11,13,21,18,10
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),4%,13%,16%,32%,35%,20%
