0,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2024-01-01,2024-07-01
Team,Kendray Hospital,Kendray Hospital,Kendray Hospital,Kendray Hospital,Kendray Hospital,Kendray Hospital,Kendray Hospital,Kendray Hospital,Kendray Hospital,Kendray Hospital,Kendray Hospital,Kendray Hospital,Kendray Hospital,Kendray Hospital,Kendray Hospital,Kendray Hospital,Kendray Hospital,Kendray Hospital,Kendray Hospital,Kendray Hospital,Kendray Hospital
SSNAP level,A,A,A,B,B,B,C,C,B,B,A,A,A,A,A,A,A,A,A,A,A
SSNAP score,82.6,84.5,81.7,73.7,75,71,68.4,65.4,72.3,70.4,81.9,89.1,83.6,92.4,92.4,91.0,89.3,83.2,87.6,84.3,90.7
Case ascertainment band,A,A,A,B,A,A,B,A,B,A,A,B,A,A,A,A,A,A,A,A,A
Audit compliance band,A,A,B,C,C,D,C,D,C,D,B,A,D,A,A,A,A,B,A,A,A
Combined Total Key Indicator level,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator score,82.6,84.5,86,86.2,83.3,83.6,80,76.9,84.5,82.9,86.2,93.8,98.3,92.4,92.4,91.0,89.3,87.6,87.6,84.3,90.7
Number of records completed: Team-centred post-72h all teams cohort,41,41,43,29,40,38,31,40,30,31,34,23,30,34,26,27,28,29,30,26,33
Patient-centred Domain levels: 2) Stroke unit,A,A,A,A,A,B,A,B,A,A,A,B,A,A,B,A,B,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,B,B,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,B,B,B,B,B,B,C,C,B,A,C,B,A,B,B,B,A,A,B,C,B
Patient-centred Domain levels: 8) MDT working,A,A,A,B,C,C,A,A,A,A,B,A,A,B,B,C,B,C,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,A,B,A,A,B,B,B,B,B,B,B,A,A,B,A,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,C,C,C,C,C,C,D,D,C,C,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,88.6,85.7,88.6,85.7,80,77.1,80,77.1,85.7,85.7,85.7,94.3,100.0,91.4,91.4,88.6,88.6,88.6,88.6,88.6,91.4
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",A,A,A,B,B,C,C,C,B,B,A,A,A,A,A,A,A,A,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,88.6,85.7,84.1,73.3,72,65.6,68.4,65.6,73.3,72.9,81.4,89.6,85.0,91.4,91.4,88.6,88.6,84.1,88.6,88.6,91.4
Team-centred Domain levels: 2) Stroke unit,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,C,A,A,B,B,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,D,B,B,B,B,A,B,B,B,B,B,A,A,A,A,A,B,B,B,C,B
Team-centred Domain levels: 7) Speech and Language therapy,B,B,C,B,A,B,C,C,B,A,C,C,A,B,C,C,B,C,C,D,B
Team-centred Domain levels: 9) Standards by discharge,A,B,A,A,B,A,A,B,B,B,B,A,A,A,A,A,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,C,C,C,C,C,C,D,D,C,C,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,B,A
Team-centred KI level Team-centred Total KI score,76.7,83.3,83.3,86.7,86.7,90,80,76.7,83.3,80,86.7,93.3,96.7,93.3,93.3,93.3,90.0,86.7,86.7,80.0,90.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,A,B,B,B,B,C,C,B,C,A,A,A,A,A,A,A,A,A,B,A
Team-centred SSNAP level Team-centred SSNAP score,76.7,83.3,79.2,74.1,78,76.5,68.4,65.2,71.3,68,82.3,88.7,82.2,93.3,93.3,93.3,90.0,82.3,86.7,80.0,90.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),4,8,95,230,247,175,110,104,131,150,30,34,44,43,26,41,28,33,33,29,31
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,0.89,0.86,0.88,0.88,0.84,0.83,85%,0.9,0.88,91%,94%,92%,91%,84%,89%,85%,85%,87%,94%,91%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,6,89,215,231,170,104,90,112,133,24,29,36,37,23,35,24,30,23,23,22
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0.75,0.94,0.93,0.94,0.97,0.95,87%,0.85,0.89,80%,85%,82%,86%,88%,85%,86%,91%,70%,79%,71%
