0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01
Team,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU
SSNAP level,D,D,B,A,B,B,B,A,A,A
SSNAP score,53.2,57,76,85,78.8,73.1,71.3,82.6,80.8,83.6
Case ascertainment band,B,A,A,A,B,B,B,A,A,A
Audit compliance band,B,A,A,A,A,B,B,B,B,B
Combined Total Key Indicator level,D,D,B,A,A,A,B,A,A,A
Combined Total Key Indicator score,59,57,76,85,83,81,79,87,85,88
Number of records completed: Team-centred post-72h all teams cohort,294,289,297,302,290,273,291,308,309,309
Patient-centred Domain levels: 1) Scanning,A,B,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,D,C,C,D,D,D,C,C,C
Patient-centred Domain levels: 3) Thrombolysis,B,C,B,B,B,B,B,A,B,B
Patient-centred Domain levels: 4) Specialist Assessments,D,D,C,B,C,C,C,B,C,B
Patient-centred Domain levels: 5) Occupational therapy,C,D,C,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,C,D,C,A,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,D,B,B,A,A,B,A,A,A
Patient-centred Domain levels: 8) MDT working,D,C,B,A,B,A,B,B,B,C
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,B,B,B,B,A
Patient-centred Domain levels: 10) Discharge processes,B,B,B,B,A,B,B,B,A,A
Patient-centred KI level Patient-centred Total KI level,C,D,B,A,A,A,B,A,A,A
Patient-centred KI level Patient-centred Total KI score,64,56,74,86,84,84,80,88,86,88
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,B,A,B,B,B,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,57.8,56,74,86,79.8,75.8,72.2,83.6,81.7,83.6
Team-centred Domain levels: 1) Scanning,A,B,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,D,C,C,C,D,D,D,C,C,D
Team-centred Domain levels: 3) Thrombolysis,B,C,B,B,B,B,B,A,B,B
Team-centred Domain levels: 4) Specialist Assessments,D,D,C,B,C,C,C,B,C,B
Team-centred Domain levels: 5) Occupational therapy,D,D,B,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,D,D,B,A,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,D,D,A,A,A,A,A,A,A,A
Team-centred Domain levels: 8) MDT working,D,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,B,B,B,B,A
Team-centred Domain levels: 10) Discharge processes,D,C,C,C,B,D,D,C,B,A
Team-centred KI level Team-centred Total KI level,D,D,B,A,A,B,B,A,A,A
Team-centred KI level Team-centred Total KI score,54,58,78,84,82,78,78,86,84,88
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,B,A,B,B,B,A,B,A
Team-centred SSNAP level Team-centred SSNAP score,48.7,58,78,84,77.9,70.4,70.4,81.7,79.8,83.6
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,452,456,461,445,435,444,432,439,423
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.98,0.96,0.94,0.95,0.92,0.89,0.91,0.94,0.93
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,43,37,54,65,72,58,56,47,55
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.1,0.08,0.12,0.15,0.17,0.13,0.13,0.11,0.13
