0,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU,St George's Hospital HASU
SSNAP level,A,A,A,A,A,A,A,A,A,X,D,B,A,B,A,A,A,A,A,A,A
SSNAP score,90,88,88,89,87.0,89,82.6,82.6,84.5,.,57.3,71.3,80.8,72.2,84.0,83.6,87.4,89.0,86.0,87.0,89.0
Case ascertainment band,A,A,A,A,A,A,B,B,B,D,B,B,A,B,A,A,A,A,A,A,A
Audit compliance band,A,A,A,A,A,A,A,A,A,X,C,B,B,B,A,B,B,A,A,A,A
Combined Total Key Indicator level,A,A,A,A,A,A,A,A,A,X,C,B,A,B,A,A,A,A,A,A,A
Combined Total Key Indicator score,90,88,88,89,87.0,89,87,87.0,89.0,.,67.0,79.0,85.0,80.0,84.0,88.0,92.0,89.0,86.0,87.0,89.0
Number of records completed: Team-centred post-72h all teams cohort,299,339,321,342,323,308,308,285,284,Insufficient records,254,246,260,300,353,319,307,321,348,322,324
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,Insufficient records,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,D,C,C,D,C,C,Insufficient records,E,D,C,D,D,C,C,D,C,C,C
Patient-centred Domain levels: 3) Thrombolysis,B,B,B,B,B,B,B,C,B,Insufficient records,B,C,C,C,C,B,B,B,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,B,B,C,B,B,B,B,B,B,Insufficient records,C,B,B,B,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,Insufficient records,B,B,A,A,A,A,A,A,B,B,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,A,B,B,A,A,A,Insufficient records,C,B,A,A,B,A,A,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,A,A,A,A,B,B,A,B,B,Insufficient records,C,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 8) MDT working,A,A,A,A,B,A,A,A,A,Insufficient records,B,B,B,B,B,B,A,A,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,A,A,A,A,Insufficient records,A,A,A,B,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,A,B,A,A,A,A,A,A,A,Insufficient records,C,B,A,B,B,B,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,A,A,A,A,A,A,A,A,A,Insufficient records,B,B,A,B,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,92,90,90,90,86.0,88,90,88.0,90.0,.,70.0,78.0,86.0,80.0,82.0,88.0,92.0,88.0,86.0,86.0,88.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",A,A,A,A,A,A,A,A,A,X,D,B,A,B,A,A,A,A,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,92,90,90,90,86.0,88,85.5,83.6,85.5,.,59.8,70.4,81.7,72.2,82.0,83.6,87.4,88.0,86.0,86.0,88.0
Team-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,Insufficient records,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,C,C,D,C,C,D,C,C,Insufficient records,E,D,C,D,D,C,B,D,C,C,C
Team-centred Domain levels: 3) Thrombolysis,B,B,B,B,B,B,C,D,C,Insufficient records,C,C,C,C,C,B,B,B,B,C,C
Team-centred Domain levels: 4) Specialist Assessments,B,B,C,B,B,B,B,B,B,Insufficient records,C,B,B,B,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,Insufficient records,C,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,A,A,A,A,Insufficient records,D,C,A,A,A,A,A,A,B,A,A
Team-centred Domain levels: 7) Speech and Language therapy,A,A,A,A,A,A,A,A,A,Insufficient records,C,A,A,B,B,B,A,B,C,B,A
Team-centred Domain levels: 8) MDT working,B,B,B,B,B,B,B,B,B,Insufficient records,B,B,B,B,B,B,B,A,B,B,B
Team-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,A,A,A,A,Insufficient records,A,A,B,B,A,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,B,C,B,A,B,A,B,A,A,Insufficient records,C,B,B,B,A,B,B,A,A,A,A
Team-centred KI level Team-centred Total KI level,A,A,A,A,A,A,A,A,A,Insufficient records,C,B,A,B,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,88,86,86,88,88.0,90,84,86.0,88.0,.,64.0,80.0,84.0,80.0,86.0,88.0,92.0,90.0,86.0,88.0,90.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",A,A,A,A,A,A,B,A,A,X,D,B,B,B,A,A,A,A,A,A,A
Team-centred SSNAP level Team-centred SSNAP score,88,86,86,88,88.0,90,79.8,81.7,83.6,.,54.7,72.2,79.8,72.2,86.0,83.6,87.4,90.0,86.0,88.0,90.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),486,490,490,518,545,523,508,369,394,378,458,453,403,388,379,384,432,474,456,451,462
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.97,0.98,0.96,0.96,95%,0.96,0.95,95%,96%,95%,97%,96%,95%,94%,94%,93%,91%,89%,81%,82%,85%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),45,46,57,54,71,65,67,80,64,54,79,93,55,54,60,61,89,125,168,142,128
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.09,0.09,0.12,0.1,13%,0.12,0.13,22%,16%,14%,17%,21%,14%,14%,16%,16%,21%,26%,37%,31%,28%
