0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01
Team,Whiston Hospital,Whiston Hospital,Whiston Hospital,Whiston Hospital,Whiston Hospital,Whiston Hospital,Whiston Hospital,Whiston Hospital,Whiston Hospital,Whiston Hospital,Whiston Hospital HASU,Whiston Hospital HASU,Whiston Hospital HASU,Whiston Hospital HASU,Whiston Hospital HASU,Whiston Hospital HASU,Whiston Hospital HASU,Whiston Hospital HASU,Whiston Hospital HASU,Whiston Hospital HASU,Whiston Hospital HASU,Whiston Hospital HASU,Whiston Hospital HASU,Whiston Hospital HASU,Whiston Hospital HASU,Whiston Hospital HASU
SSNAP level,E,E,E,D,D,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A
SSNAP score,35.7,34,28.9,40.8,57.6,66.5,71.3,88,86,88,92,93,89,90,90.0,88,91,83.0,82.0,82.0,78.0,85.0,86.0,88.0,89.0,89.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,D,D,D,D,C,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,D,D,E,D,C,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A
Combined Total Key Indicator score,42,40,34,48,64,70,75,88,86,88,92,93,89,90,90.0,88,91,83.0,82.0,82.0,78.0,85.0,86.0,88.0,89.0,89.0
Number of records completed: Team-centred post-72h all teams cohort,138,131,173,151,171,176,162,163,155,178,229,190,206,190,285,259,249,250,235,277,245,262,274,277,298,293
Patient-centred Domain levels: 1) Scanning,C,C,C,C,B,B,C,B,B,A,A,A,B,B,B,B,A,B,B,B,B,B,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,D,E,B,B,B,B,B,B,B,B,C,C,B,B,B,B,C,C,C,C,C,C,C,C,B
Patient-centred Domain levels: 3) Thrombolysis,C,D,D,C,B,B,B,A,B,A,A,A,B,B,B,B,B,C,C,B,C,B,B,C,B,B
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,C,B,B,B,A,B,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,E,D,E,D,C,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,C,C,E,E,D,C,B,B,B,B,B,A,A,A,A,A,A,B,B,B,C,B,B,B,B,C
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,D,B,C,C,A,A,A,B,B,B,B,A,B,B,B,A,B,A,A,A
