0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01
Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team,Staffordshire Rehabilitation Team
SSNAP level,E,D,D,D,D,D,D,C,C,C,A
SSNAP score,37.2,46.3,58,53.1,59.1,54.8,58,64.2,61.9,64.4,80.1
Case ascertainment band,D,C,B,A,A,B,B,B,A,B,A
Audit compliance band,E,E,C,E,D,D,C,D,C,D,B
Combined Total Key Indicator level,C,C,C,C,C,C,C,B,C,B,A
Combined Total Key Indicator score,66.4,68.1,67.9,66.4,69.5,67.9,67.9,79.5,68.8,79.8,84.3
Number of records completed: Team-centred post-72h all teams cohort,38,42,31,36,36,35,38,36,30,36,28
Patient-centred Domain levels: 2) Stroke unit,A,B,A,B,B,A,A,B,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,C,B,C,C,A,A,B,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,B,B,B,B,A,B,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,D,D
Patient-centred Domain levels: 8) MDT working,E,E,E,E,E,E,D,A,A,B,A
Patient-centred Domain levels: 9) Standards by discharge,C,B,B,B,B,B,C,A,B,B,B
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,D,A,A
Patient-centred KI level Patient-centred Total KI level,C,C,C,C,C,C,C,A,B,A,A
Patient-centred KI level Patient-centred Total KI score,62.9,62.9,65.7,62.9,65.7,65.7,65.7,85.7,74.3,82.9,88.6
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,D,D,D,D,C,C,C,A
Patient-centred SSNAP level Patient-centred SSNAP score,35.2,42.7,56.2,50.3,55.9,53.1,56.2,69.2,66.9,66.9,84.1
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,D,C,C,D,C,C,C,B,A
Team-centred Domain levels: 6) Physiotherapy,A,B,C,B,B,C,B,B,B,A,A
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 9) Standards by discharge,D,B,A,C,B,A,C,B,B,C,C
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,D,A,A
Team-centred KI level Team-centred Total KI level,B,B,B,B,B,B,B,B,C,B,B
Team-centred KI level Team-centred Total KI score,70,73.3,70,70,73.3,70,70,73.3,63.3,76.7,80
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,D,D,C,D,D,D,D,C,B
Team-centred SSNAP level Team-centred SSNAP score,39.2,49.9,59.8,56,62.3,56.5,59.8,59.2,57,61.9,76
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,63,70,69,61,34,42,56,35,55,37
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.93,0.92,0.85,0.64,0.58,0.64,0.77,0.69,0.85,0.9
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,16,14,5,27,20,28,30,14,37,32
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.25,0.2,0.07,0.44,0.59,0.67,0.54,0.4,0.67,0.86
