0,2015-04-01,2015-07-01,2015-10-01,2016-01-01
Team,Crawley Hospital Stroke Rehab Ward,Crawley Hospital Stroke Rehab Ward,Crawley Hospital Stroke Rehab Ward,Crawley Hospital Stroke Rehab Ward
SSNAP level,D,C,C,D
SSNAP score,56.1,65.4,60.8,48.5
Case ascertainment band,A,A,B,C
Audit compliance band,D,B,B,D
Combined Total Key Indicator level,C,C,C,C
Combined Total Key Indicator score,66,68.8,67.4,67.1
Number of records completed: Team-centred post-72h all teams cohort,27,26,26,28
Patient-centred Domain levels: 2) Stroke unit,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,C,B,C
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,B,C,C,B
Patient-centred Domain levels: 8) MDT working,D,A,C,B
Patient-centred Domain levels: 9) Standards by discharge,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,E,E,E,E
Patient-centred KI level Patient-centred Total KI level,C,B,B,B
Patient-centred KI level Patient-centred Total KI score,68.6,74.3,71.4,74.3
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,B,C,D
Patient-centred SSNAP level Patient-centred SSNAP score,58.3,70.6,64.5,53.7
Team-centred Domain levels: 2) Stroke unit,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,C,D
Team-centred Domain levels: 6) Physiotherapy,B,C,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,D,E,E
Team-centred Domain levels: 9) Standards by discharge,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,E,E,E,E
Team-centred KI level Team-centred Total KI level,C,C,C,C
Team-centred KI level Team-centred Total KI score,63.3,63.3,63.3,60
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,C,D,D
Team-centred SSNAP level Team-centred SSNAP score,53.8,60.2,57.2,43.4
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),29,36,49,43
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),4,2,0,0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.14,0.06,0,0
