0,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital
SSNAP level,B,B,B,C,C,D,D,D,D,D,C,D,C,C,D,C,C
SSNAP score,76.0,71,71,65.0,61.0,59.0,59.0,56.0,59.0,52.0,60.0,59.0,60.0,62.0,59.0,65.0,60.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,B,B,B,C,C,D,D,D,D,D,C,D,C,C,D,C,C
Combined Total Key Indicator score,76.0,71,71,65.0,61.0,59.0,59.0,56.0,59.0,52.0,60.0,59.0,60.0,62.0,59.0,65.0,60.0
Number of records completed: Team-centred post-72h all teams cohort,140,150,155,183,144,143,146,137,151,166,160,161,145,133,157,140,159
Patient-centred Domain levels: 1) Scanning,A,A,B,C,C,C,C,C,C,D,B,C,B,C,B,A,C
Patient-centred Domain levels: 2) Stroke unit,C,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,B,B,C,C,D,D,D,D,D,E,D,D,D,D,D,E,E
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,C,B,B,B,B,B,B,B,A,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,C,C,C,B,B,C,C,C,C,B,B,C,B,B
Patient-centred Domain levels: 6) Physiotherapy,B,C,B,A,B,B,C,B,B,B,C,B,C,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,C,C,C,C,C,C,D,C,D,C,B,B,B,C,C,C
Patient-centred Domain levels: 8) MDT working,B,A,B,C,C,D,D,D,D,D,D,D,D,C,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,A,B,A,A,B,B,B,B,B,B,B,B,C,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,D,D,D,C,D,C,D,D,C,D,C,C,C,D,C,C,B
Patient-centred KI level Patient-centred Total KI level,B,B,B,C,D,D,D,D,D,D,D,C,C,C,C,C,C
Patient-centred KI level Patient-centred Total KI score,74.0,72,72,66.0,58.0,58.0,56.0,54.0,58.0,50.0,58.0,60.0,60.0,62.0,60.0,64.0,60.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,B,B,C,D,D,D,D,D,D,D,C,C,C,C,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,74.0,72,72,66.0,58.0,58.0,56.0,54.0,58.0,50.0,58.0,60.0,60.0,62.0,60.0,64.0,60.0
Team-centred Domain levels: 1) Scanning,A,A,B,C,C,C,C,C,C,D,C,C,B,C,B,B,C
Team-centred Domain levels: 2) Stroke unit,C,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,B,B,C,D,D,D,D,D,D,E,D,D,D,D,D,E,E
Team-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,C,B,B,B,C,B,B,B,A,B
Team-centred Domain levels: 5) Occupational therapy,A,A,A,C,B,C,A,B,C,C,C,C,B,A,C,A,A
Team-centred Domain levels: 6) Physiotherapy,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,C,C,D,C,B,C,C,D,C,C,B,B,B,C,D,D,D
Team-centred Domain levels: 8) MDT working,B,B,B,B,B,B,C,B,B,B,B,C,C,C,C,B,C
Team-centred Domain levels: 9) Standards by discharge,A,B,A,A,B,B,B,B,B,B,B,B,D,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,D,E,D,D,D,D,D,D,D,E,D,D,D,D,D,C,C
Team-centred KI level Team-centred Total KI level,B,B,B,C,C,C,C,D,C,D,C,D,C,C,D,C,C
Team-centred KI level Team-centred Total KI score,78.0,70,70,64.0,64.0,60.0,62.0,58.0,60.0,54.0,62.0,58.0,60.0,62.0,58.0,66.0,60.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,B,C,C,C,C,D,C,D,C,D,C,C,D,C,C
Team-centred SSNAP level Team-centred SSNAP score,78.0,70,70,64.0,64.0,60.0,62.0,58.0,60.0,54.0,62.0,58.0,60.0,62.0,58.0,66.0,60.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),156,122,125,106,178,191,126,213,245,193,119,224,326,186,136,113,134
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),83%,0.73,0.73,91%,97%,93%,86%,96%,97%,89%,84%,95%,99%,96%,93%,95%,94%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),80,55,62,40,33,64,15,1,27,69,38,63,94,82,106,87,118
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),51%,0.45,0.5,38%,19%,34%,12%,0%,11%,36%,32%,28%,29%,44%,78%,77%,88%
