0,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital
SSNAP level,C,C,C,C,B,C,B,C,D,D,C,B,C,A,A,A,A,B,A,A,A
SSNAP score,62.7,64.3,65.2,61.7,77.3,63.3,75.3,66.8,54.7,56.7,69.3,75.3,69.7,89.0,85.0,81.3,83.7,79.7,80.3,84.0,82.7
Case ascertainment band,A,A,B,A,A,A,A,B,A,B,A,A,B,A,A,A,A,A,A,A,A
Audit compliance band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,C,C,C,C,B,C,B,B,D,D,C,B,B,A,A,A,A,B,A,A,A
Combined Total Key Indicator score,62.7,64.3,68.7,61.7,77.3,63.3,75.3,70.3,54.7,59.7,69.3,75.3,73.3,89.0,85.0,81.3,83.7,79.7,80.3,84.0,82.7
Number of records completed: Team-centred post-72h all teams cohort,62,55,49,60,71,56,60,55,49,36,54,49,48,56,50,58,61,68,64,57,57
Patient-centred Domain levels: 1) Scanning,B,C,B,C,A,C,A,A,A,C,B,A,A,A,A,A,A,B,B,A,B
Patient-centred Domain levels: 2) Stroke unit,E,D,E,E,D,D,D,D,E,E,E,E,E,C,D,D,C,D,E,C,C
Patient-centred Domain levels: 3) Thrombolysis,D,C,D,D,C,E,C,B,D,C,D,C,C,B,B,D,B,C,C,B,B
Patient-centred Domain levels: 4) Specialist Assessments,D,E,D,D,D,E,C,D,E,E,E,D,D,B,C,D,C,D,D,B,C
Patient-centred Domain levels: 5) Occupational therapy,A,B,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,C,A,B,A,A,B,B,B,B,B,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,D,D,E,C,C,C,D,A,C,C,C,C,C,A,C,B,B,C,B,A,B
Patient-centred Domain levels: 8) MDT working,D,C,C,C,B,C,C,C,D,D,D,B,C,B,C,C,C,B,C,B,C
Patient-centred Domain levels: 9) Standards by discharge,B,B,A,A,A,B,B,B,B,B,B,A,B,B,A,A,A,A,A,B,A
