0,2013-10-01,2014-01-01,2014-04-01,2014-07-01
Team,University Hospital of North Staffordshire,University Hospital of North Staffordshire,University Hospital of North Staffordshire,University Hospital of North Staffordshire
SSNAP level,D,D,D,D
SSNAP score,55.1,51.3,45.5,51.9
Case ascertainment band,A,A,C,A
Audit compliance band,B,C,D,D
Combined Total Key Indicator level,D,D,C,C
Combined Total Key Indicator score,58,57,63,61
Number of records completed: Team-centred post-72h all teams cohort,272,270,221,255
Patient-centred Domain levels: 1) Scanning,B,B,B,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C
Patient-centred Domain levels: 3) Thrombolysis,B,B,B,C
Patient-centred Domain levels: 4) Specialist Assessments,D,E,D,E
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E
Patient-centred Domain levels: 8) MDT working,E,E,D,D
Patient-centred Domain levels: 9) Standards by discharge,C,C,C,C
Patient-centred Domain levels: 10) Discharge processes,C,C,C,C
Patient-centred KI level Patient-centred Total KI level,C,D,C,C
Patient-centred KI level Patient-centred Total KI score,60,58,64,62
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,57,52.2,46.2,52.7
Team-centred Domain levels: 1) Scanning,B,B,B,A
Team-centred Domain levels: 2) Stroke unit,C,C,C,C
Team-centred Domain levels: 3) Thrombolysis,B,B,B,C
Team-centred Domain levels: 4) Specialist Assessments,D,E,D,E
Team-centred Domain levels: 5) Occupational therapy,B,A,A,A
Team-centred Domain levels: 6) Physiotherapy,B,B,A,A
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E
Team-centred Domain levels: 8) MDT working,E,E,D,D
Team-centred Domain levels: 9) Standards by discharge,C,C,C,C
Team-centred Domain levels: 10) Discharge processes,D,D,D,D
Team-centred KI level Team-centred Total KI level,D,D,C,C
Team-centred KI level Team-centred Total KI score,56,56,62,60
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,D
Team-centred SSNAP level Team-centred SSNAP score,53.2,50.4,44.8,51
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,327,393,400
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.91,0.97,0.95
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,109,25,14
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.33,0.06,0.04
