0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01
Team,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital
SSNAP level,D,D,D,D,D,D,D,D,D,C
SSNAP score,44.1,42.3,51.3,54.8,54.9,46.4,52.6,55.5,51.6,61.3
Case ascertainment band,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,C,C,C,B,C,C,C,C,A
Combined Total Key Indicator level,D,D,D,C,D,D,D,C,D,C
Combined Total Key Indicator score,49,47,57,60.9,57.8,51.6,58.4,61.7,57.3,61.3
Number of records completed: Team-centred post-72h all teams cohort,120,97,117,112,116,126,92,102,86,75
Patient-centred Domain levels: 1) Scanning,D,D,D,D,D,D,C,C,D,D
Patient-centred Domain levels: 2) Stroke unit,D,D,D,C,D,E,D,D,D,E
Patient-centred Domain levels: 3) Thrombolysis,D,D,C,C,C,C,D,E,C,E
Patient-centred Domain levels: 4) Specialist Assessments,D,D,C,C,D,D,B,B,C,D
Patient-centred Domain levels: 5) Occupational therapy,C,C,B,C,C,C,B,A,A,B
Patient-centred Domain levels: 6) Physiotherapy,D,C,B,B,C,D,C,B,C,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,C,C,C,C,B,B,B,C
Patient-centred Domain levels: 8) MDT working,D,D,C,C,B,C,B,B,B,C
Patient-centred Domain levels: 9) Standards by discharge,B,D,C,B,B,C,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,C,B,B,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI level,D,D,C,C,C,D,C,B,C,D
Patient-centred KI level Patient-centred Total KI score,50,50,62,64,60,52,68,70,68,56
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D,C,C,C,D
Patient-centred SSNAP level Patient-centred SSNAP score,45,45,55.8,57.6,57,46.8,61.2,63,61.2,56
Team-centred Domain levels: 1) Scanning,E,E,E,E,E,D,E,E,E,
Team-centred Domain levels: 2) Stroke unit,D,E,D,C,E,E,E,E,E,D
Team-centred Domain levels: 3) Thrombolysis,E,E,E,.,.,.,.,.,.,
Team-centred Domain levels: 4) Specialist Assessments,D,E,D,D,D,D,E,E,E,
Team-centred Domain levels: 5) Occupational therapy,C,C,B,C,C,C,C,B,C,C
Team-centred Domain levels: 6) Physiotherapy,D,C,C,C,C,D,D,C,D,B
Team-centred Domain levels: 7) Speech and Language therapy,C,C,C,C,C,C,C,C,C,C
Team-centred Domain levels: 8) MDT working,C,C,C,C,B,C,C,C,D,
Team-centred Domain levels: 9) Standards by discharge,B,D,C,B,B,C,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,C,B,B,B,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI level,D,D,D,D,D,D,D,D,D,C
Team-centred KI level Team-centred Total KI score,48,44,52,57.8,55.6,51.1,48.9,53.3,46.7,66.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,E,D,D,D,D,D,D,D,C
Team-centred SSNAP level Team-centred SSNAP score,43.2,39.6,46.8,52,52.8,46,44,48,42,66.7
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,138,148,156,156,161,150,155,163,132
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,0.99,0.99,0.97,0.96,0.92
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,4,2,2,7,24,22,29,28,14
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.03,0.01,0.01,0.04,0.15,0.15,0.19,0.17,0.11
