0,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01
Team,University Hospitals Bristol Inpatient Team,University Hospitals Bristol Inpatient Team,University Hospitals Bristol Inpatient Team,University Hospitals Bristol Inpatient Team,University Hospitals Bristol Inpatient Team,University Hospitals Bristol Inpatient Team,University Hospitals Bristol Inpatient Team,University Hospitals Bristol Inpatient Team,Weston General Hospital
SSNAP level,D,D,D,D,D,D,X,X,C
SSNAP score,57.9,53.2,51.4,51.3,45.2,51.3,.,.,62.1
Case ascertainment band,A,B,B,B,C,A,D,E,B
Audit compliance band,B,B,B,A,B,B,X,X,C
Combined Total Key Indicator level,C,D,D,D,D,D,X,X,B
Combined Total Key Indicator score,61.0,59.0,57.0,54.0,56.0,54.0,.,.,72.6
Number of records completed: Team-centred post-72h all teams cohort,136,104,105,112,95,117,Insufficient records,Insufficient records,35
Patient-centred Domain levels: 1) Scanning,A,A,B,B,B,A,Insufficient records,Insufficient records,
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,Insufficient records,Insufficient records,B
Patient-centred Domain levels: 3) Thrombolysis,E,D,E,D,E,E,Insufficient records,Insufficient records,
Patient-centred Domain levels: 4) Specialist Assessments,D,D,E,E,E,E,Insufficient records,Insufficient records,
Patient-centred Domain levels: 5) Occupational therapy,A,C,B,C,B,B,Insufficient records,Insufficient records,C
Patient-centred Domain levels: 6) Physiotherapy,B,B,C,C,B,D,Insufficient records,Insufficient records,D
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,B,B,C,B,Insufficient records,Insufficient records,C
Patient-centred Domain levels: 8) MDT working,D,D,E,E,E,E,Insufficient records,Insufficient records,D
Patient-centred Domain levels: 9) Standards by discharge,B,C,B,C,B,B,Insufficient records,Insufficient records,A
Patient-centred Domain levels: 10) Discharge processes,B,B,A,A,A,B,Insufficient records,Insufficient records,A
Patient-centred KI level Patient-centred Total KI level,C,D,D,D,D,D,Insufficient records,Insufficient records,C
Patient-centred KI level Patient-centred Total KI score,62.0,58.0,56.0,54.0,56.0,54.0,.,.,68.6
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D,X,X,D
Patient-centred SSNAP level Patient-centred SSNAP score,58.9,52.3,50.5,51.3,45.2,51.3,.,.,58.6
Team-centred Domain levels: 1) Scanning,A,A,A,B,B,A,Insufficient records,Insufficient records,
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,Insufficient records,Insufficient records,B
Team-centred Domain levels: 3) Thrombolysis,E,D,E,D,E,E,Insufficient records,Insufficient records,
Team-centred Domain levels: 4) Specialist Assessments,D,D,E,E,E,E,Insufficient records,Insufficient records,
Team-centred Domain levels: 5) Occupational therapy,B,C,B,C,C,C,Insufficient records,Insufficient records,B
Team-centred Domain levels: 6) Physiotherapy,B,B,C,C,B,D,Insufficient records,Insufficient records,D
Team-centred Domain levels: 7) Speech and Language therapy,C,B,B,B,C,B,Insufficient records,Insufficient records,C
Team-centred Domain levels: 8) MDT working,D,D,E,E,D,D,Insufficient records,Insufficient records,
Team-centred Domain levels: 9) Standards by discharge,B,C,B,C,B,B,Insufficient records,Insufficient records,A
Team-centred Domain levels: 10) Discharge processes,B,B,A,A,A,B,Insufficient records,Insufficient records,A
Team-centred KI level Team-centred Total KI level,C,C,D,D,D,D,Insufficient records,Insufficient records,B
Team-centred KI level Team-centred Total KI score,60.0,60.0,58.0,54.0,56.0,54.0,.,.,76.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D,X,X,C
Team-centred SSNAP level Team-centred SSNAP score,57.0,54.2,52.3,51.3,45.2,51.3,.,.,65.5
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),216,194,190,203,191,183,177,176,71
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),99%,100%,100%,100%,100%,99%,99%,99%,91%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),2,3,4,3,3,11,24,25,42
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),1%,2%,2%,1%,2%,6%,14%,14%,59%
