0,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital
SSNAP level,C,C,C,C,C,C,C,D,C,D,D,C,C,D,C,C,D,D,D,D
SSNAP score,66.5,69.3,62,60.8,64,63,63.0,57.0,63.0,56.0,58.0,64.0,60.0,58.9,63.0,61.8,51.3,57.0,47.5,49.4
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,B,B,A,B,A,A,A,B,A,B,A,A,A,B,A,B,B,B,B,B
Combined Total Key Indicator level,B,B,C,C,C,C,C,C,C,D,D,C,C,C,C,C,D,C,D,D
Combined Total Key Indicator score,70,73,62,64.0,64,63,63.0,60.0,63.0,59.0,58.0,64.0,60.0,62.0,63.0,65.0,54.0,60.0,50.0,52.0
Number of records completed: Team-centred post-72h all teams cohort,225,241,254,242,259,264,328,348,319,326,323,330,339,349,336,356,324,325,311,288
Patient-centred Domain levels: 1) Scanning,C,C,C,C,C,D,C,C,C,C,C,C,C,B,A,B,C,A,C,B
Patient-centred Domain levels: 2) Stroke unit,C,C,D,D,D,E,E,D,E,E,E,E,E,E,D,D,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,C,C,C,D,C,C,D,D,C,C,D,C,C,C,C,C,D,C,D,D
Patient-centred Domain levels: 4) Specialist Assessments,B,B,C,C,C,C,D,C,D,D,D,C,D,B,B,B,C,C,D,C
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,C,A,A,A,A,B,B,C,C,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,A,B,B,A,B,A,B,B,B,B,B,B,B,C,C,C,C
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,E,D,D,C,C,D,D,D,D,C,C,C,C,B,C,C,C,C
Patient-centred Domain levels: 8) MDT working,C,C,C,B,C,C,D,D,D,D,D,D,D,E,E,E,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,C,B,C,C,C,C,A,B,B,B,A,B,B,B,B,C,B,B,C,B
Patient-centred Domain levels: 10) Discharge processes,B,B,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI level,B,B,C,C,C,C,C,D,C,C,C,C,C,C,C,C,D,C,D,D
Patient-centred KI level Patient-centred Total KI score,70,72,62,64.0,64,62,64.0,58.0,62.0,60.0,60.0,64.0,60.0,64.0,66.0,64.0,54.0,60.0,50.0,56.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,C,C,C,C,C,D,C,D,C,C,C,C,C,C,D,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,66.5,68.4,62,60.8,64,62,64.0,55.1,62.0,57.0,60.0,64.0,60.0,60.8,66.0,60.8,51.3,57.0,47.5,53.2
Team-centred Domain levels: 1) Scanning,C,C,C,C,C,D,C,C,C,C,C,C,C,B,B,B,C,A,C,C
Team-centred Domain levels: 2) Stroke unit,C,C,D,D,D,E,E,D,E,E,E,E,E,E,D,D,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,C,C,C,D,C,C,D,D,C,C,D,C,C,D,C,C,D,C,D,D
Team-centred Domain levels: 4) Specialist Assessments,B,B,C,C,C,C,D,C,D,D,D,C,D,C,B,B,C,C,D,D
Team-centred Domain levels: 5) Occupational therapy,B,A,A,A,A,A,A,C,A,A,B,A,B,B,C,B,C,C,C,C
Team-centred Domain levels: 6) Physiotherapy,B,B,B,A,B,B,A,A,A,B,B,B,B,B,C,B,C,C,C,D
Team-centred Domain levels: 7) Speech and Language therapy,C,C,E,D,D,C,C,D,D,E,E,C,C,C,C,B,C,C,C,D
Team-centred Domain levels: 8) MDT working,B,B,C,B,C,B,D,C,C,D,D,D,D,E,E,E,E,E,E,E
Team-centred Domain levels: 9) Standards by discharge,C,B,C,C,C,C,B,B,B,B,A,B,B,B,C,C,B,B,C,B
Team-centred Domain levels: 10) Discharge processes,B,B,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI level,B,B,C,C,C,C,C,C,C,D,D,C,C,C,C,C,D,C,D,D
Team-centred KI level Team-centred Total KI score,70,74,62,64.0,64,64,62.0,62.0,64.0,58.0,56.0,64.0,60.0,60.0,60.0,66.0,54.0,60.0,50.0,48.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,B,C,C,C,C,C,D,C,D,D,C,C,D,C,C,D,D,D,D
Team-centred SSNAP level Team-centred SSNAP score,66.5,70.3,62,60.8,64,64,62.0,58.9,64.0,55.1,56.0,64.0,60.0,57.0,60.0,62.7,51.3,57.0,47.5,45.6
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),366,371,383,399,436,442,544,555,545,582,617,582,587,568,561,586,543,586,637,607
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,1,100%,1,1,99%,98%,96%,98%,99%,99%,99%,98%,98%,98%,99%,99%,99%,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,1,0,0,0,1,12,8,6,4,2,4,5,22,38,36,25,34,26,29
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0,0,0%,0,0,2%,1%,1%,1%,0%,1%,1%,4%,7%,6%,5%,6%,4%,5%
