0,2019-04-01,2019-10-01,2021-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Farnham Hospital Inpatient Rehab Team,Farnham Hospital Inpatient Rehab Team,Farnham Hospital Inpatient Rehab Team,St Martin's Hospital - Sulis Unit,Farnham Hospital Inpatient Rehab Team,Farnham Hospital Inpatient Rehab Team,Farnham Hospital Inpatient Rehab Team,Farnham Hospital Inpatient Rehab Team,Farnham Hospital Inpatient Rehab Team,Sapphire Unit - Gravesham Community Hospital,Farnham Hospital Inpatient Rehab Team
SSNAP level,B,B,TFP,D,D,C,C,B,B,TFP,B
SSNAP score,77.6,76.1,.,55.3,57.3,62.5,61.5,73.1,78.9,.,70.3
Case ascertainment band,A,A,A,A,A,A,A,A,B,,A
Audit compliance band,C,C,D,D,D,D,D,C,B,TFP,C
Combined Total Key Indicator level,A,A,TFP,C,C,B,B,A,A,TFP,B
Combined Total Key Indicator score,86.2,84.5,.,65.0,67.4,73.6,72.4,81.2,87.4,.,78.1
Number of records completed: Team-centred post-72h all teams cohort,23,28,20,20,24,21,27,24,20,Too few to report,24
Patient-centred Domain levels: 2) Stroke unit,A,A,Too few to report,A,B,A,C,B,A,E,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,Too few to report,D,B,C,A,A,A,E,B
Patient-centred Domain levels: 6) Physiotherapy,A,A,Too few to report,D,A,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,A,B,Too few to report,C,B,B,B,A,B,E,B
Patient-centred Domain levels: 8) MDT working,C,B,Too few to report,E,B,B,E,A,A,D,B
Patient-centred Domain levels: 9) Standards by discharge,B,B,Too few to report,A,D,C,B,C,B,A,B
Patient-centred Domain levels: 10) Discharge processes,C,C,Too few to report,C,D,C,C,C,B,B,C
Patient-centred KI level Patient-centred Total KI level,A,A,TFP,C,B,B,B,A,A,Not included in scoring,A
Patient-centred KI level Patient-centred Total KI score,85.7,85.7,.,60.0,71.4,77.1,71.4,85.7,91.4,.,82.9
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,B,TFP,D,C,C,C,B,A,,B
Patient-centred SSNAP level Patient-centred SSNAP score,77.1,77.1,.,51.0,60.7,65.6,60.7,77.1,82.5,.,74.6
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,B,A,A,Too few to report,A
Team-centred Domain levels: 5) Occupational therapy,A,A,C,C,C,C,B,A,A,Too few to report,C
Team-centred Domain levels: 6) Physiotherapy,A,A,A,D,A,A,A,A,A,Too few to report,A
Team-centred Domain levels: 7) Speech and Language therapy,B,C,D,C,C,D,C,C,C,Too few to report,C
Team-centred Domain levels: 9) Standards by discharge,B,B,Too few to report,A,E,C,C,D,C,Too few to report,C
Team-centred Domain levels: 10) Discharge processes,C,C,Too few to report,C,D,C,C,C,B,Too few to report,C
Team-centred KI level Team-centred Total KI level,A,A,TFP,B,C,B,B,B,A,Too few to report,B
Team-centred KI level Team-centred Total KI score,86.7,83.3,.,70.0,63.3,70.0,73.3,76.7,83.3,.,73.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,TFP,D,D,D,C,C,B,,C
Team-centred SSNAP level Team-centred SSNAP score,78.0,75,.,59.5,53.8,59.5,62.3,69.0,75.2,.,66.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),37,36,24,19,31,27,37,45,41,15,38
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),100%,0.97,100%,86%,100%,96%,95%,90%,87%,79%,86%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),5,16,8,13,2,1,3,4,2,2,1
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),14%,0.44,33%,68%,6%,4%,8%,9%,5%,13%,3%
