0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital,Altnagelvin Hospital
SSNAP level,E,E,E,X,E,E,E,E,E,E,D,D,D,E,D,D,C,D,D,D,E,E,D,E,D,D,D,D,D,D,D
SSNAP score,13.7,21.4,16.3,.,24.5,15.1,27.9,28.8,30.6,27,46.5,50,44.6,38.9,40.9,53.2,62,56.0,58.0,51.3,32.5,38.7,41.8,38.7,41.4,45.0,49.5,57.9,54.2,54.2,58.9
Case ascertainment band,E,C,E,E,C,D,A,A,A,A,A,A,A,A,A,A,A,A,A,B,C,A,A,A,A,A,A,A,A,A,A
Audit compliance band,B,C,D,,C,C,C,C,C,C,B,A,B,B,B,B,A,A,A,A,D,C,B,C,C,C,C,B,B,B,B
Combined Total Key Indicator level,E,E,E,X,E,E,E,E,E,E,D,D,D,D,D,D,C,D,D,D,D,D,D,D,D,D,D,C,D,D,C
Combined Total Key Indicator score,24,28,32,.,32,24,31,32,34,30,49,50,47,41,43.0,56,62,56.0,58.0,54.0,45.0,43.0,44.0,43.0,46.0,50.0,55.0,61.0,57.0,57.0,62.0
Number of records completed: Team-centred post-72h all teams cohort,Insufficient records,38,Insufficient records,Insufficient records,Insufficient records,Insufficient records,51,56,63,48,43,48,56,54,51,54,67,58,68,44,41,73,50,65,71,73,66,73,67,66,63
Patient-centred Domain levels: 1) Scanning,E,E,E,Insufficient records,D,E,E,D,D,E,B,C,A,B,C,A,B,B,A,B,C,C,B,C,C,C,B,B,A,A,A
Patient-centred Domain levels: 2) Stroke unit,E,E,E,Insufficient records,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,C,B,Insufficient records,C,D,D,D,D,C,D,B,B,D,C,B,C,D,C,D,E,D,D,E,D,C,D,C,C,C,D
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,Insufficient records,E,E,D,D,E,E,E,D,D,E,E,D,B,D,B,D,D,E,D,D,D,D,D,C,D,C,C
Patient-centred Domain levels: 5) Occupational therapy,Insufficient records,E,Insufficient records,Insufficient records,Insufficient records,Insufficient records,E,E,D,D,C,A,E,D,D,C,B,B,B,C,C,D,E,D,E,D,A,A,B,C,A
Patient-centred Domain levels: 6) Physiotherapy,Insufficient records,E,Insufficient records,Insufficient records,Insufficient records,Insufficient records,E,E,E,E,C,B,D,D,D,D,C,D,C,B,C,D,D,D,E,D,D,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,Insufficient records,E,Insufficient records,Insufficient records,Insufficient records,Insufficient records,E,E,E,E,C,C,C,C,C,C,B,B,D,C,C,C,C,D,C,D,D,E,E,E,E
Patient-centred Domain levels: 8) MDT working,E,E,E,Insufficient records,E,E,E,E,E,E,E,E,E,E,E,E,D,E,D,E,E,E,E,E,E,E,D,E,E,E,D
Patient-centred Domain levels: 9) Standards by discharge,Insufficient records,E,Insufficient records,Insufficient records,Insufficient records,Insufficient records,D,D,D,D,B,E,E,E,C,C,D,A,B,B,B,B,D,C,B,B,B,B,B,B,A
Patient-centred Domain levels: 10) Discharge processes,Insufficient records,C,Insufficient records,Insufficient records,Insufficient records,Insufficient records,C,C,B,D,C,D,C,C,C,B,B,C,C,C,C,C,A,A,A,A,B,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,E,E,E,Insufficient records,E,E,E,E,E,E,D,D,D,D,D,D,C,D,C,D,D,D,D,D,D,D,D,C,C,C,C
Patient-centred KI level Patient-centred Total KI score,24,28,32,.,32,24,30,32,34,30,50,52,46,40,44.0,56,62,56.0,62.0,54.0,48.0,44.0,46.0,44.0,46.0,50.0,56.0,62.0,60.0,60.0,66.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,,E,E,E,E,E,E,D,D,D,E,D,D,C,D,C,D,E,E,D,E,D,D,D,D,D,D,C
Patient-centred SSNAP level Patient-centred SSNAP score,13.7,21.4,16.3,.,24.5,15.1,27,28.8,30.6,27,47.5,52,43.7,38,41.8,53.2,62,56.0,62.0,51.3,34.7,39.6,43.7,39.6,41.4,45.0,50.4,58.9,57.0,57.0,62.7
Team-centred Domain levels: 1) Scanning,E,E,E,Insufficient records,D,E,E,D,D,E,B,C,A,B,C,A,B,B,A,B,D,C,B,C,C,C,B,A,B,B,A
Team-centred Domain levels: 2) Stroke unit,E,E,E,Insufficient records,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,D,C,B,Insufficient records,C,D,D,D,D,C,D,B,B,D,C,B,C,D,C,D,E,D,E,E,D,C,D,C,D,C,E
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,Insufficient records,E,E,D,D,E,E,E,E,D,E,E,D,B,D,C,D,E,E,D,D,D,D,D,D,D,C,C
Team-centred Domain levels: 5) Occupational therapy,Insufficient records,E,Insufficient records,Insufficient records,Insufficient records,Insufficient records,E,E,D,D,C,B,E,C,D,C,B,B,C,C,C,E,E,E,E,E,A,A,C,D,B
Team-centred Domain levels: 6) Physiotherapy,Insufficient records,E,Insufficient records,Insufficient records,Insufficient records,Insufficient records,E,E,E,E,C,B,D,D,D,D,C,D,D,B,C,D,E,D,E,D,D,C,C,C,D
Team-centred Domain levels: 7) Speech and Language therapy,Insufficient records,E,Insufficient records,Insufficient records,Insufficient records,Insufficient records,E,E,E,E,D,C,C,C,D,C,B,B,D,C,D,C,C,D,C,D,E,E,E,E,E
Team-centred Domain levels: 8) MDT working,E,E,E,Insufficient records,E,E,E,E,E,E,E,E,D,E,E,E,D,E,E,E,E,E,E,E,E,D,D,E,D,E,D
