0,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01
Team,St Richards Hospital,St Richards Hospital,St Richards Hospital,St Richards Hospital,St Richards Hospital,St Richards Hospital,St Richards Hospital
SSNAP level,B,B,B,B,B,C,B
SSNAP score,71,76,76,76,74.0,62,74
Case ascertainment band,A,A,A,A,A,A,A
Audit compliance band,A,A,A,A,A,A,A
Combined Total Key Indicator level,B,B,B,B,B,C,B
Combined Total Key Indicator score,71,76,76,76,74.0,62,74
Number of records completed: Team-centred post-72h all teams cohort,100,107,128,94,108,94,127
Patient-centred Domain levels: 1) Scanning,A,B,A,A,A,C,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,D,D,C
Patient-centred Domain levels: 3) Thrombolysis,B,B,B,B,C,D,A
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,C,B
Patient-centred Domain levels: 5) Occupational therapy,C,B,A,A,A,B,B
Patient-centred Domain levels: 6) Physiotherapy,C,B,B,B,B,C,C
Patient-centred Domain levels: 7) Speech and Language therapy,C,B,C,C,B,C,C
Patient-centred Domain levels: 8) MDT working,C,B,B,B,C,C,C
Patient-centred Domain levels: 9) Standards by discharge,A,A,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,C,D,D,D,D,C,C
Patient-centred KI level Patient-centred Total KI level,B,B,B,B,B,C,B
Patient-centred KI level Patient-centred Total KI score,72,76,76,76,72.0,60,74
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,B,B,B,B,C,B
Patient-centred SSNAP level Patient-centred SSNAP score,72,76,76,76,72.0,60,74
Team-centred Domain levels: 1) Scanning,B,B,A,A,A,C,A
Team-centred Domain levels: 2) Stroke unit,C,C,C,C,C,D,C
Team-centred Domain levels: 3) Thrombolysis,B,B,B,B,C,D,A
Team-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,C,B
Team-centred Domain levels: 5) Occupational therapy,C,B,A,A,A,B,B
Team-centred Domain levels: 6) Physiotherapy,C,B,B,B,B,B,C
Team-centred Domain levels: 7) Speech and Language therapy,C,B,C,C,B,C,C
Team-centred Domain levels: 8) MDT working,C,B,B,B,B,B,C
Team-centred Domain levels: 9) Standards by discharge,A,A,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,C,D,D,D,D,C,C
Team-centred KI level Team-centred Total KI level,B,B,B,B,B,C,B
Team-centred KI level Team-centred Total KI score,70,76,76,76,76.0,64,74
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,B,B,B,C,B
Team-centred SSNAP level Team-centred SSNAP score,70,76,76,76,76.0,64,74
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),202,196,186,172,186,198,180
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,1,1,100%,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,0,0,0,0,0,0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0,0,0,0%,0,0
