0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01
Team,St Richards Hospital,St Richards Hospital,St Richards Hospital,St Richards Hospital,St Richards Hospital,St Richards Hospital,St Richards Hospital,St Richards Hospital,St Richards Hospital,St Richards Hospital
SSNAP level,E,E,D,D,C,C,C,B,B,B
SSNAP score,35.1,36.1,41.5,59.8,63,67,65,73,78,73
Case ascertainment band,A,A,B,A,A,A,A,A,A,A
Audit compliance band,B,B,B,B,A,A,A,A,A,A
Combined Total Key Indicator level,E,E,D,C,C,C,C,B,B,B
Combined Total Key Indicator score,37,38,46,63,63,67,65,73,78,73
Number of records completed: Team-centred post-72h all teams cohort,92,92,72,93,90,112,114,103,98,91
Patient-centred Domain levels: 1) Scanning,E,E,E,D,C,B,C,C,C,C
Patient-centred Domain levels: 2) Stroke unit,E,E,D,C,C,C,C,C,C,C
Patient-centred Domain levels: 3) Thrombolysis,B,B,C,A,C,A,B,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,E,E,D,B,C,C,B,C,B,B
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,B,A,A,B,A,A,B
Patient-centred Domain levels: 6) Physiotherapy,D,D,D,C,B,C,D,B,A,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,C,C,C,C,C,B,B
Patient-centred Domain levels: 8) MDT working,E,E,D,D,C,C,D,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,C,B,B,B,B,B,A,B,B,B
Patient-centred Domain levels: 10) Discharge processes,D,D,D,D,D,D,D,D,C,C
Patient-centred KI level Patient-centred Total KI level,E,D,D,C,C,B,C,B,B,B
Patient-centred KI level Patient-centred Total KI score,38,40,44,64,66,70,64,70,78,74
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,C,C,B,C,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,36.1,38,39.7,60.8,66,70,64,70,78,74
Team-centred Domain levels: 1) Scanning,E,E,E,D,D,C,C,C,C,C
Team-centred Domain levels: 2) Stroke unit,E,E,D,C,C,C,C,C,C,C
Team-centred Domain levels: 3) Thrombolysis,C,C,B,A,C,B,B,A,B,B
Team-centred Domain levels: 4) Specialist Assessments,E,E,D,C,C,D,B,C,B,C
Team-centred Domain levels: 5) Occupational therapy,C,D,C,B,A,A,B,A,A,B
Team-centred Domain levels: 6) Physiotherapy,D,D,C,C,C,C,D,B,A,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,C,C,C,C,B,B,B
Team-centred Domain levels: 8) MDT working,E,E,D,D,D,C,C,A,B,B
Team-centred Domain levels: 9) Standards by discharge,C,B,B,B,B,B,A,B,B,B
Team-centred Domain levels: 10) Discharge processes,D,D,D,D,D,D,D,D,C,C
Team-centred KI level Team-centred Total KI level,E,E,D,C,C,C,C,B,B,B
Team-centred KI level Team-centred Total KI score,36,36,48,62,60,64,66,76,78,72
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,D,D,C,C,C,B,B,B
Team-centred SSNAP level Team-centred SSNAP score,34.2,34.2,43.3,58.9,60,64,66,76,78,72
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,103,108,144,143,141,145,161,182,153
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.87,0.89,1,1,1,1,1,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,1,3,0,1,1,0,0,0,0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.01,0.03,0,0.01,0.01,0,0,0,0
