0,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01
Team,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit,Worcestershire Stroke Rehabilitation Unit
SSNAP level,C,B,B,C,C,C,B
SSNAP score,60.5,73.5,72,66.6,67.8,60.9,74.6
Case ascertainment band,B,A,A,A,A,C,A
Audit compliance band,C,C,D,D,D,D,C
Combined Total Key Indicator level,B,A,A,B,B,A,A
Combined Total Key Indicator score,70.7,81.7,84.8,78.3,79.8,84.3,82.9
Number of records completed: Team-centred post-72h all teams cohort,55,54,57,52,53,39,47
Patient-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,B,B,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,D,C,B,C,B,B,C
Patient-centred Domain levels: 8) MDT working,E,E,E,D,C,C,D
Patient-centred Domain levels: 9) Standards by discharge,C,B,B,B,B,B,A
Patient-centred Domain levels: 10) Discharge processes,B,A,A,A,B,A,A
Patient-centred KI level Patient-centred Total KI level,B,B,A,B,A,A,A
Patient-centred KI level Patient-centred Total KI score,71.4,80,82.9,80,82.9,88.6,85.7
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,B,B,C,B,C,B
Patient-centred SSNAP level Patient-centred SSNAP score,61.1,72,70.4,68,70.4,64,77.1
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,B,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,B,A,A,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E
Team-centred Domain levels: 9) Standards by discharge,C,B,A,C,B,B,B
Team-centred Domain levels: 10) Discharge processes,B,A,A,A,B,A,A
Team-centred KI level Team-centred Total KI level,B,A,A,B,B,B,B
Team-centred KI level Team-centred Total KI score,70,83.3,86.7,76.7,76.7,80,80
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,B,B,C,C,D,B
Team-centred SSNAP level Team-centred SSNAP score,59.8,75,73.7,65.2,65.2,57.8,72
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),105,123,122,93,78,91,86
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.85,0.92,0.93,0.8,79%,0.88,0.91
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),4,7,8,12,13,28,36
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.04,0.06,0.07,0.13,17%,0.31,0.42
