SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,E,D,D,D,D,D,D,D,B,D,C,C,C,C,B,C,B,C,D,D,C,B,C,A,A,A,A,B,A,A
SSNAP score,39,43,48.4,51,41,48,45.6,43,74.3,56.7,62.7,64.3,65.2,61.7,77.3,63.3,75.3,66.8,54.7,56.7,69.3,75.3,69.7,89.0,85.0,81.3,83.7,79.7,80.3,84.0
Case ascertainment band,A,A,B,A,A,B,A,A,A,C,A,A,B,A,A,A,A,B,A,B,A,A,B,A,A,A,A,A,A,A
Audit compliance band,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,E,D,D,D,D,D,D,D,B,C,C,C,C,C,B,C,B,B,D,D,C,B,B,A,A,A,A,B,A,A
Combined Total Key Indicator score,39,43,51,51,41,50.6,48,43,74.3,66.7,62.7,64.3,68.7,61.7,77.3,63.3,75.3,70.3,54.7,59.7,69.3,75.3,73.3,89.0,85.0,81.3,83.7,79.7,80.3,84.0
Number of records completed: Team-centred post-72h all teams cohort,78,73,61,86,72,59,57,55,59,39,62,55,49,60,71,56,60,55,49,36,54,49,48,56,50,58,61,68,64,57
Patient-centred Domain levels: 1) Scanning,C,C,C,D,D,D,C,B,A,B,B,C,B,C,A,C,A,A,A,C,B,A,A,A,A,A,A,B,B,A
Patient-centred Domain levels: 2) Stroke unit,D,D,D,D,E,E,D,E,D,D,E,D,E,E,D,D,D,D,E,E,E,E,E,C,D,D,C,D,E,C
Patient-centred Domain levels: 3) Thrombolysis,D,D,C,C,D,D,D,C,C,C,D,C,D,D,C,E,C,B,D,C,D,C,C,B,B,D,B,C,C,B
Patient-centred Domain levels: 4) Specialist Assessments,E,E,D,E,E,E,D,E,C,C,D,E,D,D,D,E,C,D,E,E,E,D,D,B,C,D,C,D,D,B
Patient-centred Domain levels: 5) Occupational therapy,E,C,B,A,B,B,B,C,A,B,A,B,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,E,D,C,C,C,B,D,D,B,C,B,B,B,C,A,B,A,A,B,B,B,B,B,A,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,C,D,D,E,C,C,C,D,A,C,C,C,C,C,A,C,B,B,C,B,A
Patient-centred Domain levels: 8) MDT working,D,D,C,D,D,D,C,D,B,C,D,C,C,C,B,C,C,C,D,D,D,B,C,B,C,C,C,B,C,B
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,C,B,C,B,B,A,B,B,A,A,A,B,B,B,B,B,B,A,B,B,A,A,A,A,A,B
Patient-centred Domain levels: 10) Discharge processes,C,B,B,B,C,B,A,B,A,A,A,A,A,A,A,B,A,D,E,D,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,D,D,D,D,B,B,C,C,C,C,B,C,B,B,D,D,C,B,B,A,B,B,A,B,B,A
Patient-centred KI level Patient-centred Total KI score,40,48,58,54,44,50,54,50,72,70,62,62,64,60,78.0,60,74,74.0,56.0,56.0,62.0,74.0,70.0,88.0,80.0,76.0,84.0,76.0,74.0,88.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D,D,D,B,D,C,C,C,C,B,C,B,B,D,D,C,B,C,A,B,B,A,B,B,A
Patient-centred SSNAP level Patient-centred SSNAP score,40,48,55.1,54,44,47.5,51.3,50,72,59.5,62,62,60.8,60,78.0,60,74,70.3,56.0,53.2,62.0,74.0,66.5,88.0,80.0,76.0,84.0,76.0,74.0,88.0
Team-centred Domain levels: 1) Scanning,C,E,D,D,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,C,D,D,D,D,D,C,D,C,C,E,E,D,D,C,B,B,B,B,C,C,B
Team-centred Domain levels: 3) Thrombolysis,E,E,E,E,E,.,E,E,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 5) Occupational therapy,D,C,C,A,B,A,B,C,A,B,A,B,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,E,D,D,C,D,B,C,D,A,D,B,B,B,C,B,B,A,A,B,A,B,B,A,A,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,C,D,E,C,C,D,E,D,C,E
Team-centred Domain levels: 8) MDT working,D,E,C,D,D,D,E,E,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,C,B,C,C,B,A,D,B,A,A,A,B,B,B,B,B,B,A,B,A,A,A,A,A,A,B
Team-centred Domain levels: 10) Discharge processes,C,B,B,B,C,B,A,B,A,A,A,A,A,A,A,B,A,D,E,D,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,E,E,D,D,E,D,D,E,B,C,C,C,B,C,B,C,B,C,D,C,B,B,B,A,A,A,A,A,A,B
Team-centred KI level Team-centred Total KI score,38,38,44,48,38,51.1,42,36,76.7,63.3,63.3,66.7,73.3,63.3,76.7,66.7,76.7,66.7,53.3,63.3,76.7,76.7,76.7,90.0,90.0,86.7,83.3,83.3,86.7,80.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,D,D,E,D,E,E,B,D,C,C,C,C,B,C,B,C,D,C,B,B,B,A,A,A,A,A,A,B
Team-centred SSNAP level Team-centred SSNAP score,38,38,41.8,48,38,48.6,39.9,36,76.7,53.8,63.3,66.7,69.7,63.3,76.7,66.7,76.7,63.3,53.3,60.2,76.7,76.7,72.8,90.0,90.0,86.7,83.3,83.3,86.7,80.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,99,106,124,123,122,140,139,116,88,110,104,85,84,78,78,94,80,68,55,56,54,57,71,80,77,80,74,67,77
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,0.99,0.99,0.99,1,1,0.99,1,0.98,0.98,99%,0.98,0.98,82%,71%,62%,66%,74%,76%,76%,85%,88%,87%,82%,79%,75%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,1,1,0,0,0,0,2,1,1,2,3,0,2,4,5,9,35,30,27,31,22,25,24,24,17,17,20,29,37
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.01,0.01,0,0,0,0,0.01,0.01,0.01,0.02,0.03,0,0.02,5%,0.06,0.1,44%,44%,49%,55%,41%,44%,34%,30%,22%,21%,27%,43%,48%
