SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,E,D,D,C,D,C,B,C,A,B,A,B,B,B,A,A,A,B,A,B,B,B,B,B,B,C,B,A,B
  SSNAP score,32.7,47.9,57.9,60.1,54.9,66.9,78,67,80.3,74.7,81.7,78.7,75.5,79.3,91,91,86.0,74.0,82.7,75.3,78.2,73.8,80.0,76.7,75.0,63.3,77.3,81.0,78.3
  Case ascertainment band,B,A,B,A,C,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
  Audit compliance band,E,D,D,D,D,E,C,C,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,C,A,A,A
  Combined Total Key Indicator level,D,D,B,B,B,A,A,B,A,B,A,B,A,B,A,A,A,B,A,B,A,B,B,B,B,B,B,A,B
  Combined Total Key Indicator score,43,56.3,71.7,70.7,76,83.7,86.7,78.3,80.3,74.7,81.7,78.7,83.7,79.3,91,91,86.0,74.0,82.7,75.3,82.3,77.7,80.0,76.7,79.0,70.3,77.3,81.0,78.3
Number of records completed: Team-centred post-72h all teams cohort,35,39,27,42,23,31,31,35,45,33,36,30,35,37,36,30,74,58,51,54,56,52,44,56,53,59,70,57,62
Patient-centred Domain levels: 1) Scanning,E,C,C,C,C,A,A,B,B,B,C,C,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,B,B,B,B,B,B,B,B,C,C,C,C,C,D,B,C,C,D,D,E,D,E,D,D,D,D,E,D,D
Patient-centred Domain levels: 3) Thrombolysis,C,D,B,C,E,C,C,C,B,D,C,E,D,D,C,B,C,E,B,D,D,C,C,B,C,D,C,B,B
