SSNAP Scoring Summary:,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,X,X,X,X,X,X,X,X,D,C,C,C,C,B,C,B,C,C,C,D,C,B,B,B,B,C,D,C,C
  SSNAP score,.,.,.,.,.,.,.,.,43.3,62,62,69,65,75.0,68,72,63.0,66.0,67.0,59.0,66.0,70.0,73.0,72.0,70.0,61.0,54.0,60.0,65.0
  Case ascertainment band,X,X,X,X,E,X,X,E,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Audit compliance band,X,X,,X,X,X,X,X,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator level,X,X,X,X,X,X,X,X,D,C,C,C,C,B,C,B,C,C,C,D,C,B,B,B,B,C,D,C,C
  Combined Total Key Indicator score,.,.,.,.,.,.,.,.,48,62,62,69,65,75.0,68,72,63.0,66.0,67.0,59.0,66.0,70.0,73.0,72.0,70.0,61.0,54.0,60.0,65.0
Number of records completed: Team-centred post-72h all teams cohort,None completed,None completed,None completed,None completed,Too few to report,None completed,None completed,Insufficient records,101,122,126,116,127,119,111,112,141,150,126,130,138,124,142,140,126,126,148,149,131
Patient-centred Domain levels: 1) Scanning,None entered,None entered,None entered,None entered,Too few to report,None entered,None entered,Insufficient records,D,D,C,B,C,B,C,C,B,B,B,C,B,B,A,A,A,B,C,B,A
Patient-centred Domain levels: 2) Stroke unit,None entered,None entered,None entered,None entered,Too few to report,None entered,None entered,Insufficient records,E,E,E,E,E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,None entered,None entered,None entered,None entered,Too few to report,None entered,None entered,Insufficient records,C,D,C,C,C,D,D,A,C,C,C,C,B,B,B,A,B,C,E,C,C
Patient-centred Domain levels: 4) Specialist Assessments,None entered,None entered,None entered,None entered,Too few to report,None entered,None entered,Insufficient records,E,E,E,D,D,B,D,D,D,D,E,E,E,D,D,D,D,E,E,E,E
Patient-centred Domain levels: 5) Occupational therapy,None entered,None entered,None entered,None entered,Too few to report,None entered,None entered,Insufficient records,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,None entered,None entered,None entered,None entered,Too few to report,None entered,None entered,Insufficient records,D,B,C,C,C,B,B,B,D,C,B,C,B,B,A,B,B,B,C,C,B
Patient-centred Domain levels: 7) Speech and Language therapy,None entered,None entered,None entered,None entered,Too few to report,None entered,None entered,Insufficient records,C,B,C,C,B,C,B,C,B,B,B,C,C,C,C,B,C,B,B,B,B
Patient-centred Domain levels: 8) MDT working,None entered,None entered,None entered,None entered,Too few to report,None entered,None entered,Insufficient records,E,C,D,C,C,C,C,C,D,D,D,E,E,D,C,D,D,D,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,None entered,None entered,None entered,None entered,Too few to report,None entered,None entered,Insufficient records,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,C,C,B,B
Patient-centred Domain levels: 10) Discharge processes,None entered,None entered,None entered,None entered,Too few to report,None entered,None entered,Insufficient records,C,A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,No records,No records,No records,No records,Insufficient records,No records,No records,Insufficient records,D,C,C,C,C,B,C,B,C,C,C,C,C,B,B,B,B,C,D,C,C
Patient-centred KI level Patient-centred Total KI score,.,.,.,.,.,.,.,.,48,62,62,68,66,76.0,68,72,64.0,66.0,68.0,60.0,66.0,70.0,74.0,74.0,70.0,64.0,54.0,62.0,66.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",,,,X,X,X,X,X,D,C,C,C,C,B,C,B,C,C,C,C,C,B,B,B,B,C,D,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,.,.,.,.,.,.,.,.,43.3,62,62,68,66,76.0,68,72,64.0,66.0,68.0,60.0,66.0,70.0,74.0,74.0,70.0,64.0,54.0,62.0,66.0
Team-centred Domain levels: 1) Scanning,None entered,None entered,None entered,None entered,Too few to report,None entered,None entered,Insufficient records,D,D,C,B,C,B,C,C,B,B,B,C,B,A,A,A,A,C,C,B,A
Team-centred Domain levels: 2) Stroke unit,None entered,None entered,None entered,None entered,Too few to report,None entered,None entered,Insufficient records,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
