SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,E,D,D,C,C,C,B,B,B,C,B,B,B,C,B,B,B,C,C,C,D,C,B,B,C,A,A,A,A,A
SSNAP score,29.9,48.4,58.5,68.4,66.8,66.5,72.2,71.3,74,68,70,72,78,66,70.0,79,78,64.0,64.0,66.0,54.0,65.0,71.0,71.0,67.0,82.0,94.0,91.0,88.0,90.0
Case ascertainment band,C,B,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,E,D,C,C,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,D,C,C,B,B,B,B,B,B,C,B,B,B,C,B,B,B,C,C,C,D,C,B,B,C,A,A,A,A,A
Combined Total Key Indicator score,44,60,65,76,74,70,76,75,74,68,70,72,78,66,70.0,79,78,64.0,64.0,66.0,54.0,65.0,71.0,71.0,67.0,82.0,94.0,91.0,88.0,90.0
Number of records completed: Team-centred post-72h all teams cohort,90,92,117,125,96,134,118,102,111,122,110,111,128,139,141,133,133,112,134,119,133,133,161,327,317,346,363,361,403,384
Patient-centred Domain levels: 1) Scanning,D,C,C,B,C,C,B,B,C,C,B,B,A,B,C,B,A,B,C,B,C,B,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,E,C,C,C,D,D,D,D,D,E,E,D,C,D,D,D,D,E,E,E,E,E,E,E,E,C,A,A,A,A
Patient-centred Domain levels: 3) Thrombolysis,D,C,D,A,A,B,B,C,B,C,C,C,C,C,D,A,C,C,D,C,D,D,C,C,C,B,B,B,A,A
Patient-centred Domain levels: 4) Specialist Assessments,D,A,B,A,A,B,A,A,B,A,B,B,B,B,A,B,B,B,C,B,D,C,B,B,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,D,C,A,A,B,A,A,A,A,C,A,A,A,C,B,A,A,C,B,B,C,B,A,A,C,B,A,A,A,A
