SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,E,E,E,E,E,D,D,D,D,D,C,B,B,C,B,B,C,B,C,C,C,D,C,C,C,B,A,B,B,B
  SSNAP score,30.8,30.8,36.9,38.9,39.9,41.8,44.6,44.6,53.2,51,67.5,75,74,64,71.0,74,68,73.0,66.0,64.0,60.0,58.0,68.0,63.0,66.0,74.0,84.0,78.0,75.0,74.0
  Case ascertainment band,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Audit compliance band,C,C,C,B,B,B,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator level,E,E,D,D,D,D,D,D,D,D,B,B,B,C,B,B,C,B,C,C,C,D,C,C,C,B,A,B,B,B
  Combined Total Key Indicator score,36,36,41,41,42,44,47,47,56,51,71,75,74,64,71.0,74,68,73.0,66.0,64.0,60.0,58.0,68.0,63.0,66.0,74.0,84.0,78.0,75.0,74.0
Number of records completed: Team-centred post-72h all teams cohort,96,118,125,122,148,140,132,149,143,154,154,158,165,143,166,144,161,198,201,179,176,179,184,199,185,174,178,176,171,193
Patient-centred Domain levels: 1) Scanning,B,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,B,B,B,B,C,B,C,C,A,B,A,A,A,B
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,D,E,D,C,C,E,D,D,E,E,E,E,E,E,E,E,E,C,C,C,C,D
Patient-centred Domain levels: 3) Thrombolysis,E,E,D,E,D,D,D,D,D,C,C,D,C,D,C,D,C,D,D,E,E,E,E,D,D,D,D,C,C,D
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,E,E,D,D,E,C,B,C,D,D,C,D,D,D,E,E,E,D,E,D,C,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,E,E,E,E,D,D,D,E,D,E,C,C,C,C,C,B,B,A,B,B,B,C,A,A,C,A,A,B,C,B
Patient-centred Domain levels: 6) Physiotherapy,E,E,D,D,D,D,D,E,D,D,B,B,B,B,A,A,B,A,A,A,B,B,B,A,B,A,A,A,B,B
