SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,D,D,D,D,D,D,D,D,B,A,B,B,B,B,B,A,A,B,B,B,B,A,B,B,B,B,B,B
SSNAP score,44.4,41.2,53,52.2,51.9,57,57,56,57.9,58.9,75,88,77,74,78.0,79,75,92.0,84.0,73.0,80.0,80.0,80.0,86.0,80.0,74.0,73.0,79.0,76.0,77.0
Case ascertainment band,B,C,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,D,D,C,C,D,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,D,D,C,C,C,C,C,D,C,C,B,A,A,B,B,B,B,A,A,B,B,B,B,A,B,B,B,B,B,B
Combined Total Key Indicator score,55,57,62,61,61,60,60,59,61,62,75,88,81,74,78.0,79,75,92.0,84.0,73.0,80.0,80.0,80.0,86.0,80.0,74.0,73.0,79.0,76.0,77.0
Number of records completed: Team-centred post-72h all teams cohort,112,105,102,105,120,137,139,129,135,137,178,159,131,158,171,165,175,179,152,159,155,175,169,180,147,150,160,129,154,151
Patient-centred Domain levels: 1) Scanning,E,E,E,E,E,E,E,E,D,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B
Patient-centred Domain levels: 2) Stroke unit,A,A,A,A,B,B,A,B,B,B,B,A,B,B,B,B,B,A,B,B,B,B,B,B,B,C,B,B,B,B
Patient-centred Domain levels: 3) Thrombolysis,C,A,B,C,C,D,C,B,B,B,B,A,B,B,B,A,B,A,B,A,A,B,B,B,A,B,B,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,B,A,A,A,B,B,B,B,B,B,B,A,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,C,B,C,C,C,C,C,C,B,C,C,A,A,B,B,B,B,A,A,B,A,A,A,A,A,A,A,B,B,A
Patient-centred Domain levels: 6) Physiotherapy,B,D,C,D,C,C,C,D,E,D,D,B,B,C,B,B,C,A,B,C,B,B,B,B,B,B,B,C,D,C
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,D,E,E,E,E,D,E,E,E,E,E,E,E,B,B,D,C,C,B,B,C,C,D,B,B,D
Patient-centred Domain levels: 8) MDT working,C,D,B,B,B,C,C,C,C,B,B,B,B,C,C,B,B,B,B,C,C,B,C,B,C,D,C,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,D,C,C,C,D,A,B,B,B,B,A,A,B,B,B,B,B,B,C,D,D,C,D,B,D,C,D,C,D,C
Patient-centred Domain levels: 10) Discharge processes,D,E,D,B,B,B,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,C,C,C,C,C,D,C,C,B,A,B,B,B,B,B,A,A,B,B,A,B,A,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,56,58,62,62,60,60,60,58,60,62,74,88,80,74,78.0,80,76,92.0,84.0,74.0,80.0,82.0,80.0,86.0,80.0,74.0,74.0,80.0,76.0,76.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D,D,D,D,D,B,A,B,B,B,B,B,A,A,B,B,A,B,A,B,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,45.2,41.9,53,53,51,57,57,55.1,57,58.9,74,88,76,74,78.0,80,76,92.0,84.0,74.0,80.0,82.0,80.0,86.0,80.0,74.0,74.0,80.0,76.0,76.0
Team-centred Domain levels: 1) Scanning,E,E,E,E,E,E,E,E,D,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,B,B,A,B,B,B,B,A,B,B,B,B,B,A,B,B,B,B,B,B,B,C,B,B,B,B
Team-centred Domain levels: 3) Thrombolysis,C,A,A,C,C,D,B,B,B,B,B,A,B,B,B,A,A,A,B,A,A,C,B,B,A,B,B,B,B,B
Team-centred Domain levels: 4) Specialist Assessments,B,A,A,A,A,B,B,B,B,B,A,A,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,C,C,C,C,C,C,C,C,B,C,C,A,A,B,B,B,B,A,A,B,A,A,A,A,A,A,A,B,B,A
Team-centred Domain levels: 6) Physiotherapy,B,D,C,D,B,C,C,C,E,D,D,B,B,C,B,B,D,A,A,D,B,B,B,B,B,B,C,C,D,C
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,D,D,E,E,E,E,E,E,E,B,B,D,C,C,B,B,C,C,D,B,B,D
Team-centred Domain levels: 8) MDT working,D,D,C,C,B,C,D,C,C,B,B,B,B,C,C,C,C,B,C,C,C,B,C,B,C,D,C,B,B,B
Team-centred Domain levels: 9) Standards by discharge,D,C,C,C,D,A,B,B,B,B,A,A,B,B,B,B,B,B,C,D,D,D,D,B,D,C,D,D,D,C
Team-centred Domain levels: 10) Discharge processes,D,E,D,B,B,B,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,D,C,C,C,C,C,C,C,C,B,A,A,B,B,B,B,A,A,B,B,B,B,A,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI score,54,56,62,60,62,60,60,60,62,62,76,88,82,74,78.0,78,74,92.0,84.0,72.0,80.0,78.0,80.0,86.0,80.0,74.0,72.0,78.0,76.0,78.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D,D,D,D,D,B,A,B,B,B,B,B,A,A,B,B,B,B,A,B,B,B,B,B,B
Team-centred SSNAP level Team-centred SSNAP score,43.6,40.5,53,51.3,52.7,57,57,57,58.9,58.9,76,88,77.9,74,78.0,78,74,92.0,84.0,72.0,80.0,78.0,80.0,86.0,80.0,74.0,72.0,78.0,76.0,78.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,165,186,185,186,190,204,191,200,211,210,184,209,206,174,164,206,168,157,154,208,145,152,146,165,193,180,165,178,154
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.99,0.99,0.99,0.96,0.94,0.97,0.98,0.97,0.95,0.88,0.89,0.88,0.84,79%,0.84,0.9,89%,89%,91%,91%,78%,81%,82%,83%,84%,85%,80%,81%,86%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,16,67,126,146,123,129,157,168,145,155,160,145,141,178,156,142,133,172,135,139,134,155,178,165,152,159,137
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0.09,0.36,0.66,0.72,0.64,0.65,0.74,0.8,0.79,0.74,0.78,83%,0.86,0.86,93%,90%,86%,83%,93%,91%,92%,94%,92%,92%,92%,89%,89%
