SSNAP Scoring Summary:,2018-04-01,2018-10-01,2019-01-01,2019-04-01,2021-04-01,2021-10-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,D,C,D,D,D,E,D,D,D,D,D,D,D
  SSNAP score,57.7,61.3,44.4,52.4,56.9,38.4,55.0,57.7,55.0,56.1,54.8,58.9,50.9
  Case ascertainment band,A,A,C,A,B,D,A,A,A,A,B,A,B
  Audit compliance band,E,D,D,D,D,D,D,D,D,D,D,D,D
  Combined Total Key Indicator level,B,B,C,C,B,C,C,C,C,C,C,C,C
  Combined Total Key Indicator score,72.1,72.1,61.4,61.7,70.5,64.5,64.8,67.9,64.8,66.0,67.9,69.3,63.1
Number of records completed: Team-centred post-72h all teams cohort,25,26,23,27,21,20,28,26,29,30,24,27,27
Patient-centred Domain levels: 2) Stroke unit,A,A,A,B,A,B,A,B,A,A,A,B,A
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,C,D,D,C,C,D,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,C,C,D,D,B,C,D,D,D,C,C,C,D
Patient-centred Domain levels: 7) Speech and Language therapy,D,C,C,C,C,C,C,C,C,C,D,C,D
Patient-centred Domain levels: 8) MDT working,A,C,B,C,B,D,E,D,D,C,E,D,D
Patient-centred Domain levels: 9) Standards by discharge,B,A,C,B,B,B,B,A,B,B,B,A,B
Patient-centred Domain levels: 10) Discharge processes,B,B,D,D,B,A,B,B,B,C,A,B,B
Patient-centred KI level Patient-centred Total KI level,B,B,C,C,B,C,C,C,C,C,C,C,C
Patient-centred KI level Patient-centred Total KI score,74.3,74.3,62.9,60.0,74.3,65.7,62.9,65.7,62.9,68.6,65.7,68.6,62.9
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,C,D,D,C,E,D,D,D,D,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,59.4,63.1,45.4,51.0,60.0,39.1,53.4,55.9,53.4,58.3,53.1,58.3,50.8
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,C,C,E,E,C,C,C,C,C,C,C
Team-centred Domain levels: 6) Physiotherapy,C,C,D,C,B,C,D,C,C,D,D,C,D
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,D,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 9) Standards by discharge,A,A,A,B,A,B,A,A,B,A,A,A,B
Team-centred Domain levels: 10) Discharge processes,B,B,D,D,B,A,B,B,B,C,A,B,B
Team-centred KI level Team-centred Total KI level,B,B,C,C,C,C,C,B,C,C,B,B,C
Team-centred KI level Team-centred Total KI score,70,70,60,63.3,66.7,63.3,66.7,70.0,66.7,63.3,70.0,70.0,63.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,D,D,E,D,D,D,D,D,D,D
Team-centred SSNAP level Team-centred SSNAP score,56,59.5,43.4,53.8,53.8,37.7,56.7,59.5,56.7,53.8,56.5,59.5,51.1
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),48,55,50,52,37,51,41,24,45,60,52,54,57
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,0,1,0,3,0,0,0,0,0,0,0,0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0,0.02,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%
