SSNAP Scoring Summary:,2018-10-01,2019-01-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-10-01,2024-04-01
  SSNAP level,C,C,C,D,B,D,C,B,A,B,B,B,B
  SSNAP score,65.1,65.4,69.8,54.8,73.8,57.5,66.2,72.6,81.4,73.1,74.4,75.8,75.2
  Case ascertainment band,A,A,A,C,A,A,A,A,A,A,A,A,A
  Audit compliance band,C,D,A,A,A,D,A,A,A,B,B,B,A
  Combined Total Key Indicator level,B,B,C,C,B,C,C,B,A,B,B,B,B
  Combined Total Key Indicator score,72.4,76.9,69.8,64.5,73.8,67.6,66.2,72.6,81.4,76.9,78.3,79.8,75.2
Number of records completed: Team-centred post-72h all teams cohort,22,33,23,22,21,21,23,22,21,20,21,25,25
Patient-centred Domain levels: 2) Stroke unit,B,A,A,A,A,B,B,B,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,B,C,C,A,A,B,A,A,A,A,A,B
Patient-centred Domain levels: 6) Physiotherapy,A,B,B,B,B,B,B,B,A,B,A,A,B
Patient-centred Domain levels: 7) Speech and Language therapy,B,B,B,B,C,D,D,E,D,D,D,D,E
Patient-centred Domain levels: 8) MDT working,D,C,E,E,C,B,B,C,B,C,C,A,A
Patient-centred Domain levels: 9) Standards by discharge,D,B,D,C,B,C,D,B,A,A,A,B,A
Patient-centred Domain levels: 10) Discharge processes,C,C,C,C,D,D,C,C,C,C,C,C,C
Patient-centred KI level Patient-centred Total KI level,B,B,C,C,B,C,C,C,A,B,B,A,B
Patient-centred KI level Patient-centred Total KI score,71.4,77.1,62.9,65.7,74.3,68.6,65.7,68.6,82.9,77.1,80.0,82.9,77.1
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,C,D,B,D,C,C,A,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,64.3,65.6,62.9,55.9,74.3,58.3,65.7,68.6,82.9,73.3,76.0,78.7,77.1
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,B,C,D,A,B,B,A,A,A,A,A,B
Team-centred Domain levels: 6) Physiotherapy,A,B,B,D,B,B,B,B,A,B,B,A,B
Team-centred Domain levels: 7) Speech and Language therapy,C,C,B,B,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 9) Standards by discharge,E,B,B,B,A,B,C,A,A,A,A,B,A
Team-centred Domain levels: 10) Discharge processes,C,C,C,D,D,D,C,C,C,C,C,C,C
Team-centred KI level Team-centred Total KI level,B,B,B,C,B,C,C,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI score,73.3,76.7,76.7,63.3,73.3,66.7,66.7,76.7,80.0,76.7,76.7,76.7,73.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,C,B,D,B,D,C,B,B,B,B,B,B
Team-centred SSNAP level Team-centred SSNAP score,66,65.2,76.7,53.8,73.3,56.7,66.7,76.7,80.0,72.8,72.8,72.8,73.3
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),19,37,31,22,10,25,25,21,31,25,22,18,23
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,0.95,0.72,0.73,71%,93%,81%,88%,89%,76%,79%,67%,79%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),3,10,27,19,10,25,23,21,31,25,21,18,16
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.16,0.27,0.87,0.86,100%,100%,92%,100%,100%,100%,95%,100%,70%
