SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,E,E,D,D,D,D,C,C,C,C,C,C,D,C,D,D,D,D,D,E,E,D,D,E,D,D,D,D,D,D
  SSNAP score,37.6,34.4,45.9,51.3,53,49.4,62,65,64,69,62,66,57,63,53.0,54.2,52,57.6,55.4,38.5,36.8,45.0,50.7,39.9,47.5,45.3,43.5,59.1,42.0,40.9
  Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,B
  Audit compliance band,E,E,D,B,A,B,A,A,A,A,A,A,A,A,A,B,A,B,B,A,D,A,C,B,A,B,C,C,A,D
  Combined Total Key Indicator level,D,D,D,D,D,D,C,C,C,C,C,C,D,C,D,D,D,C,D,D,D,D,D,D,D,D,D,C,D,D
  Combined Total Key Indicator score,47,43,54,54,53,52,62,65,64,69,62,66,57,63,53.0,57,52,60.7,58.3,40.5,43.3,45.0,56.3,42.0,50.0,47.7,48.3,65.7,42.0,50.7
Number of records completed: Team-centred post-72h all teams cohort,38,50,54,54,68,68,69,64,55,67,57,53,66,46,57,79,51,53,41,27,36,53,53,46,47,29,32,31,21,41
Patient-centred Domain levels: 1) Scanning,D,C,C,C,C,D,C,B,C,B,C,B,C,B,C,A,D,C,B,B,C,C,C,A,B,A,A,A,B,B
Patient-centred Domain levels: 2) Stroke unit,C,D,C,C,C,D,C,B,C,D,D,C,E,D,E,E,E,C,D,E,E,E,E,E,E,D,C,D,D,E
Patient-centred Domain levels: 3) Thrombolysis,E,E,D,E,E,E,D,C,D,D,D,D,E,D,E,E,E,D,C,C,E,D,E,E,D,B,E,B,C,D
Patient-centred Domain levels: 4) Specialist Assessments,D,D,E,D,D,E,D,D,D,D,D,D,E,D,E,E,E,E,D,E,E,E,E,E,E,D,D,D,D,E
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,C,D,C,B,D,B,E,E,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,A,B,B,B,C,B,B,A,A,A,B,B,A,A,B,B,B,B,B,C,B,C,B,D,B,D,D,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,D,E,C,E,E,D,C,D,B,B,B,C,D,C,C,C,C,C,C,D,C,D,D,E,C,E,E,C,E,C
Patient-centred Domain levels: 8) MDT working,E,E,D,D,D,D,D,C,C,C,D,C,D,D,E,D,D,C,B,D,C,D,C,D,C,D,D,C,C,D
Patient-centred Domain levels: 9) Standards by discharge,E,E,D,B,C,B,B,B,B,B,A,B,A,A,A,A,B,A,B,B,C,B,B,B,B,C,B,B,D,B
Patient-centred Domain levels: 10) Discharge processes,E,E,D,D,C,C,C,E,E,C,D,C,C,D,D,D,B,A,A,A,B,A,A,A,B,B,B,B,C,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,D,D,C,C,C,C,C,C,D,C,D,D,D,C,B,D,D,D,D,D,C,D,D,C,D,D
Patient-centred KI level Patient-centred Total KI score,46,42,54,54,52,52,62,66,64,68,62,66,56,64,52.0,58,52,68.0,70.0,56.0,50.0,52.0,56.0,48.0,60.0,52.0,50.0,68.0,54.0,58.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,D,D,D,D,C,C,C,C,C,C,D,C,D,D,D,C,C,D,D,D,D,D,D,D,D,C,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,36.8,33.6,45.9,51.3,52,49.4,62,66,64,68,62,66,56,64,52.0,55.1,52,64.6,66.5,53.2,42.5,52.0,50.4,45.6,57.0,49.4,45.0,61.2,54.0,46.8
