SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,D,C,B,B,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  SSNAP score,59.4,65,74.7,73.8,81.7,73.1,77.9,77,81,84,86,84,84,82,88.0,88,91,88.0,91.0,89.0,85.0,85.0,92.0,91.0,91.0,90.0,90.0,90.0,91.0,90.0
  Case ascertainment band,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Audit compliance band,C,C,C,C,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator level,C,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator score,66,76,83,82,86,77,82,81,81,84,86,84,84,82,88.0,88,91,88.0,91.0,89.0,85.0,85.0,92.0,91.0,91.0,90.0,90.0,90.0,91.0,90.0
Number of records completed: Team-centred post-72h all teams cohort,97,80,91,104,113,130,104,106,109,110,126,117,143,152,116,137,149,128,135,156,163,137,124,125,148,136,150,145,146,180
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,B,B,B,B,B,C,B,B,B,C,C,C,C,C,C,C,B,B,B,C,C,C,C,B,C,B,B,B,B,C
Patient-centred Domain levels: 3) Thrombolysis,D,D,B,B,A,C,C,B,C,C,C,C,B,D,B,B,C,B,B,B,C,C,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,A,B,B,B,B,B,B,A,A,A,B,A,B,A,B,A,A,A,A,A,A,A,A,A,B,A,A
Patient-centred Domain levels: 5) Occupational therapy,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,C,C,C,B,D,D,E,E,C,A,A,A,B,A,A,A,B,A,B,B,C,B,B,A,A,B,A,B,B
Patient-centred Domain levels: 8) MDT working,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,A,B,A,A,A,B,B,B,B,B
