SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,E,E,D,D,D,D,D,D,D,D,D,D,C,D,D,C,D,D,D,C,C,D,C,X,E,D,C,D,D,D
SSNAP score,26,30.6,40.9,50,49.4,46.5,47.5,54.2,56,51.3,53,58.9,61.8,55.1,57.0,68.6,56.9,59.0,57.8,63.2,64.6,51.4,61.8,.,34.7,50.3,62.0,55.1,52.3,59.0
Case ascertainment band,C,A,A,A,B,A,A,A,A,A,A,A,B,B,A,B,B,A,C,B,A,B,A,E,C,A,A,A,A,A
Audit compliance band,C,C,B,A,A,B,B,B,A,B,A,B,A,B,B,B,B,A,A,B,B,B,B,X,B,B,A,B,B,A
Combined Total Key Indicator level,E,E,D,D,D,D,D,D,D,D,D,C,C,C,C,B,C,D,C,B,C,D,C,X,D,D,C,D,D,D
Combined Total Key Indicator score,34,34,43,50,52,49,50,57,56,54,53,62,65,61,60.0,76,63,59.0,68.0,70.0,68.0,57.0,65.0,.,43.0,53.0,62.0,58.0,55.0,59.0
Number of records completed: Team-centred post-72h all teams cohort,Insufficient records,65,64,49,46,53,62,48,69,69,48,50,45,46,63,44,46,56,43,51,50,42,57,Insufficient records,31,65,46,49,55,66
Patient-centred Domain levels: 1) Scanning,B,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Insufficient records,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,E,E,E,C,E,C,C,C,E,E,E,E,E,E,E,Insufficient records,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,D,D,E,D,D,D,D,D,D,C,B,C,D,D,B,C,C,D,C,D,E,C,Insufficient records,E,D,D,E,E,E
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,E,D,D,D,D,D,D,C,C,B,B,B,B,B,B,B,B,B,D,D,Insufficient records,E,D,B,D,D,E
Patient-centred Domain levels: 5) Occupational therapy,Insufficient records,E,E,C,C,D,D,C,A,C,D,D,D,E,D,B,C,C,C,C,C,C,C,Insufficient records,D,C,B,A,B,B
Patient-centred Domain levels: 6) Physiotherapy,Insufficient records,E,D,D,D,D,D,D,C,D,C,D,C,D,D,B,C,D,B,B,B,D,B,Insufficient records,D,C,D,B,B,C
Patient-centred Domain levels: 7) Speech and Language therapy,Insufficient records,E,E,D,D,E,E,E,E,E,E,E,D,C,D,B,C,D,C,C,B,C,C,Insufficient records,E,E,C,C,D,C
Patient-centred Domain levels: 8) MDT working,E,E,D,C,C,C,C,B,D,C,D,C,B,B,B,B,C,D,B,B,B,C,C,Insufficient records,E,D,C,D,D,C
Patient-centred Domain levels: 9) Standards by discharge,Insufficient records,C,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,Insufficient records,A,A,A,B,B,B
Patient-centred Domain levels: 10) Discharge processes,Insufficient records,D,D,D,E,D,D,C,C,C,D,C,C,D,D,D,D,D,C,C,D,C,C,Insufficient records,D,D,D,D,C,A
Patient-centred KI level Patient-centred Total KI level,E,E,D,D,D,D,D,D,D,D,D,C,C,C,C,B,C,D,C,B,C,D,C,Insufficient records,D,D,C,D,D,C
Patient-centred KI level Patient-centred Total KI score,36,34,42,50,50,48,50,56,58,54,52,62,64,62,62.0,76,64,58.0,68.0,70.0,68.0,56.0,64.0,.,42.0,52.0,62.0,58.0,56.0,60.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,D,D,D,D,D,D,D,D,D,C,D,D,C,D,D,D,C,C,D,C,X,E,D,C,D,D,C
Patient-centred SSNAP level Patient-centred SSNAP score,27.5,30.6,39.9,50,47.5,45.6,47.5,53.2,58,51.3,52,58.9,60.8,56,58.9,68.6,57.8,58.0,57.8,63.2,64.6,50.5,60.8,.,33.9,49.4,62.0,55.1,53.2,60.0
Team-centred Domain levels: 1) Scanning,C,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Insufficient records,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,E,E,E,C,E,C,C,C,E,E,E,E,E,E,E,Insufficient records,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,D,D,D,E,D,D,D,D,D,D,C,B,C,D,D,B,C,C,D,C,D,E,C,Insufficient records,E,D,D,E,E,E
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,E,D,D,D,C,D,D,C,C,B,B,B,B,B,B,B,B,B,D,D,Insufficient records,E,D,B,D,D,E
Team-centred Domain levels: 5) Occupational therapy,Insufficient records,E,E,C,C,D,D,C,B,C,D,D,C,E,D,B,C,C,C,C,C,C,C,Insufficient records,D,C,C,B,C,C
Team-centred Domain levels: 6) Physiotherapy,Insufficient records,E,D,D,D,D,D,D,D,D,D,D,C,D,D,B,D,D,B,B,B,C,B,Insufficient records,D,C,C,B,B,D
Team-centred Domain levels: 7) Speech and Language therapy,Insufficient records,E,E,E,C,E,E,E,E,E,D,E,D,D,D,B,C,D,C,C,B,C,C,Insufficient records,D,E,D,D,E,D
Team-centred Domain levels: 8) MDT working,E,E,C,B,B,B,C,B,D,C,D,C,B,B,C,B,C,C,B,B,B,C,B,Insufficient records,E,C,B,C,D,B
Team-centred Domain levels: 9) Standards by discharge,Insufficient records,C,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,Insufficient records,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,Insufficient records,D,D,D,E,D,D,C,C,C,D,C,C,D,E,D,D,D,C,C,D,C,C,Insufficient records,D,D,D,D,C,A
Team-centred KI level Team-centred Total KI level,E,E,D,D,D,D,D,D,D,D,D,C,C,C,D,B,C,C,C,B,C,D,C,Insufficient records,D,D,C,D,D,D
Team-centred KI level Team-centred Total KI score,32,34,44,50,54,50,50,58,54,54,54,62,66,60,58.0,76,62,60.0,68.0,70.0,68.0,58.0,66.0,.,44.0,54.0,62.0,58.0,54.0,58.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,D,D,D,D,D,D,D,D,D,D,C,D,D,C,D,C,D,C,C,D,C,X,E,D,C,D,D,D
Team-centred SSNAP level Team-centred SSNAP score,24.5,30.6,41.8,50,51.3,47.5,47.5,55.1,54,51.3,54,58.9,62.7,54.2,55.1,68.6,56,60.0,57.8,63.2,64.6,52.3,62.7,.,35.5,51.3,62.0,55.1,51.3,58.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,31,74,78,50,39,47,34,42,55,41,63,64,46,41,24,40,45,29,40,37,42,33,46,74,65,20,48,54,33
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,0.97,0.93,0.76,0.62,0.81,0.6,0.61,0.65,0.56,0.82,0.73,0.65,58%,0.5,0.55,48%,39%,53%,45%,59%,49%,63%,95%,77%,28%,58%,57%,35%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,8,27,51,41,36,23,33,33,52,20,4,49,43,36,21,38,38,29,17,14,12,5,4,1,19,11,1,20,22
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.26,0.36,0.65,0.82,0.92,0.49,0.97,0.79,0.95,0.49,0.06,0.77,0.93,88%,0.88,0.95,84%,100%,43%,38%,29%,15%,9%,1%,29%,55%,2%,37%,67%
