SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01
  SSNAP level,E,E,E,E,D,D,D,D,D,C,C,C,D,D,D,D,D,D,C,D,D,C,C,C,D,C
  SSNAP score,39.7,38.9,39.1,38,51.3,59,57.9,50,54,67,66,60.8,50.1,48.4,47.6,41.6,56,56.0,62.7,54.2,59.0,63.7,65.0,60.0,58.0,62.1
  Case ascertainment band,B,B,C,C,B,A,B,A,A,A,A,B,C,C,C,C,A,A,A,A,A,A,A,A,A,B
  Audit compliance band,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,A,A,A,C
  Combined Total Key Indicator level,D,D,D,D,D,D,C,D,D,C,C,C,D,D,D,D,D,D,C,D,D,C,C,C,D,B
  Combined Total Key Indicator score,44,41,46,47,54,59,61,50,54,67,66,64,59,57,56.0,49,56,56.0,66.0,57.0,59.0,67.0,65.0,60.0,58.0,72.6
Number of records completed: Team-centred post-72h all teams cohort,59,62,62,56,53,75,59,69,48,65,57,59,57,50,56,48,78,51,48,48,51,54,56,67,58,35
Patient-centred Domain levels: 1) Scanning,D,D,D,C,C,C,C,C,B,A,B,A,B,C,C,C,B,B,A,C,B,A,A,B,B,
Patient-centred Domain levels: 2) Stroke unit,D,E,E,D,C,D,C,C,D,C,C,C,C,E,E,E,E,E,E,E,E,E,E,E,E,B
Patient-centred Domain levels: 3) Thrombolysis,B,D,D,B,B,B,B,D,A,A,B,C,B,D,B,B,B,D,A,D,E,B,D,C,D,
Patient-centred Domain levels: 4) Specialist Assessments,E,E,D,D,C,D,D,D,D,C,B,B,C,C,B,C,B,D,C,C,B,B,B,C,C,
Patient-centred Domain levels: 5) Occupational therapy,D,D,C,C,C,C,C,D,C,C,B,B,C,A,C,C,C,B,B,A,B,C,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,D,C,B,D,D,C,C,C,D,D,B,D,D,B,B,D,D,C,C,B,C,D,D,D,E,D
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,D,C,C,D,E,D,E,E,E,D,E,E,D,C,C,E,E,C,C,D,D,C
Patient-centred Domain levels: 8) MDT working,E,D,E,D,D,D,D,D,D,D,D,D,D,D,E,D,D,C,C,C,D,D,C,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,C,C,B,A,A,B,B,B,A,A,B,A,B,B,B,B,A,A,B,B,A,A,A
Patient-centred Domain levels: 10) Discharge processes,C,D,D,D,D,C,D,E,D,C,C,C,C,C,C,C,C,C,B,C,B,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,D,D,C,D,D,C,C,C,C,D,D,D,D,D,B,C,D,C,C,C,D,C
Patient-centred KI level Patient-centred Total KI score,44,40,44,48,54,58,60,50,54,64,66,64,60,58,58.0,52,58,58.0,70.0,60.0,58.0,66.0,64.0,60.0,56.0,68.6
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,E,D,D,D,D,D,C,C,C,D,D,D,D,D,D,C,D,D,C,C,C,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,39.7,38,37.4,38.8,51.3,58,57,50,54,64,66,60.8,51,49.3,49.3,44.2,58,58.0,66.5,57.0,58.0,62.7,64.0,60.0,56.0,58.6
Team-centred Domain levels: 1) Scanning,D,D,D,D,C,C,C,C,B,B,C,C,C,C,D,D,C,B,A,C,B,A,B,B,B,
Team-centred Domain levels: 2) Stroke unit,D,E,E,D,C,D,C,C,D,C,C,C,C,E,E,E,E,E,E,E,E,E,E,E,E,B
Team-centred Domain levels: 3) Thrombolysis,B,C,D,B,B,B,B,D,A,A,A,B,B,D,B,C,B,D,B,D,E,B,C,C,C,
Team-centred Domain levels: 4) Specialist Assessments,E,E,D,D,C,D,D,D,D,B,B,B,D,C,B,C,B,C,C,C,B,B,B,D,B,
Team-centred Domain levels: 5) Occupational therapy,D,D,C,C,C,C,C,D,C,B,B,C,C,A,C,D,D,C,B,B,B,C,B,C,C,B
Team-centred Domain levels: 6) Physiotherapy,D,C,B,D,D,C,C,C,D,D,B,D,D,B,C,D,D,D,D,C,C,D,D,D,E,D
Team-centred Domain levels: 7) Speech and Language therapy,E,E,D,E,D,C,C,D,E,D,E,E,E,D,E,E,D,E,D,E,E,D,D,D,D,C
Team-centred Domain levels: 8) MDT working,E,C,D,D,D,C,C,D,C,B,D,B,C,E,E,D,D,B,C,D,C,C,C,C,D,
Team-centred Domain levels: 9) Standards by discharge,B,C,B,C,C,B,A,A,C,B,B,A,A,B,A,B,B,B,B,A,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,C,D,D,D,D,C,D,E,D,C,C,C,C,C,C,C,C,C,C,C,B,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,D,D,D,D,C,C,D,D,B,C,C,D,D,D,D,D,D,C,D,C,C,C,C,C,B
Team-centred KI level Team-centred Total KI score,44,42,48,46,54,60,62,50,54,70,66,64,58,56,54.0,46,54,54.0,62.0,54.0,60.0,68.0,66.0,60.0,60.0,76.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,D,E,D,C,D,D,D,B,C,C,D,D,D,E,D,D,D,D,C,C,C,C,C,C
Team-centred SSNAP level Team-centred SSNAP score,39.7,39.9,40.8,37.1,51.3,60,58.9,50,54,70,66,60.8,49.3,47.6,45.9,39.1,54,54.0,58.9,51.3,60.0,64.6,66.0,60.0,60.0,65.5
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,87,91,91,83,80,74,71,94,80,85,79,48,53,67,55,66,66,68,72,90,84,77,75,69,71
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,0.86,0.88,0.91,0.94,0.94,0.91,0.88,0.69,0.69,74%,0.75,0.84,99%,99%,99%,98%,97%,94%,93%,91%,91%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,27,24,27,28,33,22,17,32,34,40,40,29,31,50,40,43,6,6,5,5,8,23,29,37,42
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.31,0.26,0.3,0.34,0.41,0.3,0.24,0.34,0.43,0.47,0.51,0.6,0.58,75%,0.73,0.65,9%,9%,7%,6%,10%,30%,39%,54%,59%
